sector,okved2,year,factoriescap_s,RDcosts_s,RDsalary_s,RDequip_s
Производство резиновых и пластмассовых изделий,22,2017.0,0.020534974136802622,0.0038777715264717203,0.5249345208764763,0.14758518477367955
Производство резиновых и пластмассовых изделий,22,2018.0,0.02234738645979862,0.00362276813007952,0.3712063547601268,0.37047374366620556
Производство резиновых и пластмассовых изделий,22,2019.0,0.022697018190626157,0.003868026829433267,0.40269649538320446,0.2428899094540842
Производство резиновых и пластмассовых изделий,22,2020.0,0.02702257664669504,0.002472651332217863,0.49621805098527605,0.08610663200073189
Производство резиновых и пластмассовых изделий,22,2021.0,0.02873919226447822,0.0022349567903222284,0.48015381932058576,0.08667155428893981
Производство резиновых и пластмассовых изделий,22,2022.0,0.026988412796258947,0.0019273002491065083,0.43306883327070855,0.04524936284867958
Производство резиновых и пластмассовых изделий,22,2023.0,0.026734253218935456,0.002888778943500767,0.4823534888427866,0.08482245333045248
Производство резиновых и пластмассовых изделий,22,2024.0,0.02566757181644488,0.0031005415034174966,0.5829331854422642,0.05546523105741172
Производство резиновых изделий,22.1,2017.0,0.004221159689604475,0.015790587937498803,0.4138452883265184,0.17631491748946299
Производство резиновых изделий,22.1,2018.0,0.004565573963364753,0.016830268801200646,0.34767245061216184,0.3903357029259933
Производство резиновых изделий,22.1,2019.0,0.004285237892833883,0.019517469515978603,0.3789224946630985,0.25495839127912656
Производство резиновых изделий,22.1,2020.0,0.0045891009718522025,0.013897932107160555,0.47824582573999197,0.08986012973753378
Производство резиновых изделий,22.1,2021.0,0.005010587817594832,0.012475638216120797,0.4677206714582037,0.08905715631623908
Производство резиновых изделий,22.1,2022.0,0.004673903251642465,0.010719679214131375,0.41222850622385837,0.04697617830970607
Производство резиновых изделий,22.1,2023.0,0.004733735527114028,0.013820654672995841,0.41690710414185456,0.10012916408108685
Производство прочей неметаллической минеральной продукции,23,2017.0,0.02907558928115758,0.011959799617543971,0.4204545390417148,0.008877691695366794
Производство прочей неметаллической минеральной продукции,23,2018.0,0.0308673199654262,0.005738575786143833,0.3248518328822632,0.0923956665547946
Производство прочей неметаллической минеральной продукции,23,2021.0,0.033285602409982906,0.015177973229044267,0.4430275770478878,0.1780921218916537
Производство прочей неметаллической минеральной продукции,23,2022.0,0.034711274449080634,0.010777033621115302,0.45914159574211294,0.16478338749498908
Производство прочей неметаллической минеральной продукции,23,2024.0,0.03373709837574197,0.004228022250012665,0.5503990614160871,0.05569202581983743
Производство металлургическое,24,2017.0,0.1040253147362895,0.009968543655604862,0.41086980949513136,0.01728298044163537
Производство металлургическое,24,2018.0,0.11745593975876892,0.007813407843625199,0.5185899605117958,0.02718230445812008
Производство металлургическое,24,2019.0,0.1320116645533964,0.007096384426914388,0.4938497039350272,0.023077303394059875
Производство металлургическое,24,2020.0,0.1387381583481242,0.006680586140315808,0.4327425837766865,0.0436189412196949
Производство металлургическое,24,2021.0,0.17025450458604302,0.00627718801496635,0.3509612378529039,0.2106731776577152
Производство металлургическое,24,2022.0,0.14155628178782448,0.009300563226489932,0.3514993368290785,0.03395117859639028
Производство металлургическое,24,2023.0,0.1364476904687533,0.007858949634444156,0.4319171832123728,0.03082682123016794
Производство металлургическое,24,2024.0,0.12307736589521369,0.008981552974665644,0.46169538093879114,0.11028800376708849
"Производство чугуна, стали и ферросплавов",24.1,2017.0,0.04641163135359879,0.0020385201478283032,0.944986275073365,0.015817539369251645
"Производство чугуна, стали и ферросплавов",24.1,2018.0,0.054628196339423035,0.002206094501682334,1.0,0.01455314331980702
"Производство стальных труб, полых профилей и фитингов",24.2,2017.0,0.012428886286968342,0.02230511389368783,0.16518187558469788,0.00445047828060211
"Производство стальных труб, полых профилей и фитингов",24.2,2018.0,0.01357321194091346,0.007698365012478071,0.49475409280917065,0.0026810538242232787
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2017.0,0.039773998861870774,0.016723038680024692,0.43729752912228,0.022839946634268245
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2018.0,0.04325746295439549,0.01601399181056324,0.43843334091672165,0.03560707724076492
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2019.0,0.06219673606666924,0.010027810308554961,0.44669422549202037,0.027488182727491414
