sector,okved2,year,factoriescap_s,RDcosts_s,RDsalary_s,RDequip_s
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2024.0,0.008856468026919853,0.0666699110794728,0.7542466410633916,0.003517052836460825
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2018.0,0.0007199740395885394,0.22064174228962655,0.4377946673200305,0.598766699151207
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2019.0,0.0007114837851497128,0.15964642280117894,0.420356018318364,0.48089197928050775
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2020.0,0.0006983625098797454,0.12047959300457917,0.512256853000474,0.2349502243081974
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2021.0,0.0007704907932987435,0.3616682161992419,0.40409972011821393,0.489648603672219
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2022.0,0.0006547674490328475,0.0908052221839871,0.6032195401728642,0.7083954336923838
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2023.0,0.0008469790651913964,0.13182341241698334,0.5438805975048172,0.8981411277516452
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2024.0,0.0009427768612023846,0.09701221407168312,0.5096825432414818,1.0
Производство кабелей и кабельной арматуры,27.3,2018.0,0.005128397286510433,0.025322349199354593,0.676015072053136,0.02737602923194457
Производство кабелей и кабельной арматуры,27.3,2020.0,0.005392676646789361,0.002999068452267968,0.4086707815415825,0.4394452028215333
Производство кабелей и кабельной арматуры,27.3,2021.0,0.00677320221461322,0.0013905752198213122,0.7111350573296322,0.31238608250634337
Производство кабелей и кабельной арматуры,27.3,2024.0,0.006628750750237968,0.031796277746815385,0.4888021222454343,0.13473838155557583
Производство прочего электрического оборудования,27.9,2017.0,0.0022515791891312233,0.03287610755704018,0.6478522971061674,0.24710398971935832
Производство прочего электрического оборудования,27.9,2018.0,0.0021864187963572587,0.07333422500348445,0.7146000640755843,1.535820299767638e-05
"Производство машин и оборудования, не включенных в другие группировки",28,2017.0,0.022664212253763798,0.06505261093429818,0.636467205478731,0.016266852338876512
"Производство машин и оборудования, не включенных в другие группировки",28,2018.0,0.024056441420765795,0.04167380934553221,0.6507865132930248,0.007845609739835717
"Производство машин и оборудования, не включенных в другие группировки",28,2019.0,0.024848251756935023,0.07967884036796803,0.5070888441513645,0.042117646014921725
"Производство машин и оборудования, не включенных в другие группировки",28,2020.0,0.028261886991315068,0.08653521957398853,0.5100199125051695,0.0044887068653333495
"Производство машин и оборудования, не включенных в другие группировки",28,2021.0,0.027344912607632756,0.1361384118033003,0.5025010799679436,0.10231858890798029
"Производство машин и оборудования, не включенных в другие группировки",28,2022.0,0.026962788253124988,0.1218142026690078,0.506521534038495,0.01321938224267984
