region,okato,year,VDS_r,ITusage_r,AIusage_r,BDusage_r
Забайкальский край,76,2023,0.06828093522291029,0.17685267198110421,0.13975155279503104,0.12578616352201258
Забайкальский край,76,2024,0.07023013026277726,0.18344651117016042,0.11645962732919254,0.057343692193858674
Чукотский автономный округ,77,2021,0.01740664172155274,0.036610569825804545,0.03260869565217391,0.05401405845357011
Чукотский автономный округ,77,2022,0.015219503227119624,0.037496309418364335,0.029503105590062112,0.0680725120236774
Чукотский автономный округ,77,2023,0.017365554139819068,0.03907095758291507,0.009316770186335404,0.026637069922308545
Чукотский автономный округ,77,2024,0.01731050912055728,0.040350359216612536,0.017080745341614908,0.003699593044765076
Ярославская область,78,2021,0.08854887125161877,0.23767345733687628,0.3416149068322981,0.26970033296337403
Ярославская область,78,2022,0.07917588827862879,0.23787028835744514,0.40993788819875776,0.3958564557898631
Ярославская область,78,2023,0.08148100719759747,0.22852081488042517,0.30434782608695654,0.19385867554568997
Ярославская область,78,2024,0.07941681269265485,0.2381655348882984,0.20652173913043478,0.03588605253422124
Республика Адыгея (Адыгея),79,2021,0.021444971449135257,0.08070071843322507,0.11180124223602485,0.09618941916389197
Республика Адыгея (Адыгея),79,2022,0.020158635001718068,0.08571990945773054,0.16770186335403728,0.14465408805031446
Республика Адыгея (Адыгея),79,2023,0.020561512973429,0.0865072335400059,0.14751552795031056,0.07214206437291898
Республика Адыгея (Адыгея),79,2024,0.02196021012293219,0.08562149394744611,0.10714285714285714,0.048094709581945984
Хабаровский край,8,2021,0.12954841282914747,0.24948331857100678,0.19254658385093168,0.30965593784683687
Хабаровский край,8,2022,0.11392132377563148,0.24731817734474953,0.13043478260869565,0.29633740288568255
Хабаровский край,8,2023,0.11973341787842169,0.2420037397893908,0.09316770186335403,0.13910469848316684
Хабаровский край,8,2024,0.12220259845795012,0.2529278614309615,0.14285714285714285,0.06770255271920089
Республика Башкортостан,80,2021,0.2546775591883208,0.5173703375652002,0.5170807453416149,0.636330003699593
Республика Башкортостан,80,2022,0.23554522191508598,0.5168782600137781,0.656832298136646,0.72881982981872
Республика Башкортостан,80,2023,0.2310579606983139,0.512646393071548,0.5124223602484472,0.363669996300407
Республика Башкортостан,80,2024,0.23160267593508452,0.5370534396220844,0.6071428571428571,0.219385867554569
Республика Бурятия,81,2021,0.045051537724142006,0.15579175278023816,0.10403726708074534,0.20199778024417314
Республика Бурятия,81,2022,0.047401372297328354,0.15716956992422007,0.17857142857142858,0.23640399556048836
Республика Бурятия,81,2023,0.047204084732794666,0.15106780828658598,0.19254658385093168,0.11986681465038845
Республика Бурятия,81,2024,0.04464965542758997,0.15962995768133056,0.15838509316770186,0.07917129115797263
Республика Дагестан,82,2021,0.09979513803945773,0.2428894793819506,0.2251552795031056,0.3044765075841657
Республика Дагестан,82,2022,0.09199120180386029,0.269166420627891,0.2329192546583851,0.3518312985571587
Республика Дагестан,82,2023,0.09284222936398843,0.27389036512154313,0.2251552795031056,0.1849796522382538
Республика Дагестан,82,2024,0.08750381881937361,0.27438244267296524,0.25,0.12134665186829449
Кабардино-Балкарская Республика,83,2021,0.02668065586460581,0.08611357149886822,0.07453416149068323,0.08842027376988532
Кабардино-Балкарская Республика,83,2022,0.026016345185802862,0.08877079027654758,0.10869565217391304,0.09729929707732149
Кабардино-Балкарская Республика,83,2023,0.02719934910452629,0.09497096742446609,0.13043478260869565,0.06104328523862375
Кабардино-Балкарская Республика,83,2024,0.026727958315293315,0.09378998130105305,0.14130434782608695,0.057343692193858674
Республика Алтай,84,2021,0.009371071198145647,0.06544631433913985,0.06366459627329192,0.057343692193858674
Республика Алтай,84,2022,0.009460279005228613,0.06485582127743332,0.08074534161490683,0.060673325934147246
Республика Алтай,84,2023,0.010034714447580181,0.06682413148312175,0.059006211180124224,0.02885682574916759
Республика Алтай,84,2024,0.010131838583381193,0.06633205393169964,0.05124223602484472,0.012948575656677765
Республика Калмыкия,85,2021,0.01280223231862491,0.06515106780828658,0.05124223602484472,0.057343692193858674
Республика Калмыкия,85,2022,0.012606846921378218,0.06574156086999311,0.09006211180124224,0.07695153533111358
Республика Калмыкия,85,2023,0.01557087022090768,0.06544631433913985,0.10559006211180125,0.0392156862745098
Республика Калмыкия,85,2024,0.016782831128814044,0.07007184332250763,0.09161490683229814,0.026637069922308545
Республика Карелия,86,2021,0.05616643421917068,0.15559492175966932,0.17080745341614906,0.1368849426563078
Республика Карелия,86,2022,0.04157692342457688,0.15372502706426533,0.11801242236024845,0.06141324454310026
Республика Карелия,86,2023,0.039872011139301396,0.14201358134041925,0.12888198757763975,0.0440251572327044
Республика Карелия,86,2024,0.03702930420048889,0.1431945674638323,0.15527950310559005,0.029966703662597113
Республика Коми,87,2021,0.10873209047096906,0.20155496506249385,0.18633540372670807,0.1320754716981132
Республика Коми,87,2022,0.10227184392844091,0.19742151363054816,0.12888198757763975,0.17721050684424713
Республика Коми,87,2023,0.0955362810434772,0.18689105403011513,0.09937888198757763,0.08620051794302627
Республика Коми,87,2024,0.09268188684244373,0.1924023226060427,0.10248447204968944,0.048834628190899
Республика Марий Эл,88,2021,0.028575646054440237,0.10382836335006397,0.11645962732919254,0.09692933777284499
Республика Марий Эл,88,2022,0.026786264020844414,0.10520618049404586,0.19409937888198758,0.1368849426563078
Республика Марий Эл,88,2023,0.028567766885747494,0.10746973723058754,0.14906832298136646,0.0684424713281539
Республика Марий Эл,88,2024,0.027400625147007654,0.11239051274480859,0.17701863354037267,0.05327413984461709
