sector,okved2,year,VDS_s,ITcosts_s,skvozcosts_s,trainingcosts_s,RDcosts_s,RDsalary_s
ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,G,2020,0.6802445902803719,0.14554503208012712,0.5581455213798767,0.028284927723902183,0.0013799915829759133,0.0004843441374597538
ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,G,2021,0.8466474962155207,0.2547817298858037,0.0633022568591392,0.053669790362737425,0.0012204116697481916,0.0005245789632916497
ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,G,2022,0.8356003023505163,0.18976980882699757,0.06369086832740957,0.01876167688197996,0.0011163838889655447,0.0012703796812615377
ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,G,2023,0.7884937842619798,0.1256913027652111,0.1860692170981934,0.01341199771151131,0.0013696402219059351,0.0015765089093906905
ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,G,2024,0.7247331360136582,0.13615891028868604,0.05218771023085022,0.01423700960440174,0.0020999790986691545,0.0013441055240382192
ТРАНСПОРТИРОВКА И ХРАНЕНИЕ,H,2021,0.3932097659984628,0.16350832523709488,0.23338594374531565,0.01606892474929999,0.009863839118233807,0.008258407981051942
ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,J,2020,0.17012343446147588,0.5808737382913863,1.0,0.08468733470453324,0.013478393455430976,0.0190738707065047
ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,J,2021,0.19139216135492032,0.8218794518153423,0.3575896312592603,0.15074657821947152,0.008883761386054963,0.01684254409548102
ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,J,2022,0.18865122070165194,0.7163592646916748,0.2573166836498027,0.14320957751180102,0.01054024416737946,0.019392182446803307
ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,J,2023,0.2140836501271964,0.8356941855161588,0.26626600046709337,0.15597819459931955,0.010024569955210503,0.016885884380832075
ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,J,2024,0.2206810451462459,1.0,0.17000993649702403,0.16910979857770814,0.01022231086479695,0.012976980184787346
ДЕЯТЕЛЬНОСТЬ ФИНАНСОВАЯ И СТРАХОВАЯ,K,2023,0.2555581701205051,0.5703180335992541,0.23578148197708737,0.29996313413294606,6.841406134087456e-06,3.821414030251951e-06
ДЕЯТЕЛЬНОСТЬ ФИНАНСОВАЯ И СТРАХОВАЯ,K,2024,0.21691977591143236,0.6494909164910376,0.12952257985814147,0.3613130216869483,1.7450219274206533e-06,3.2099292799576597e-06
ДЕЯТЕЛЬНОСТЬ ПО ОПЕРАЦИЯМ С НЕДВИЖИМЫМ ИМУЩЕСТВОМ,L,2020,0.5452995206126502,0.04424151051693866,0.007134246583361791,0.0020032563630508517,0.0015543260233368027,0.0004645759663367583
ДЕЯТЕЛЬНОСТЬ ПО ОПЕРАЦИЯМ С НЕДВИЖИМЫМ ИМУЩЕСТВОМ,L,2021,0.599787259538265,0.08557393415655357,0.005916976968982399,0.0247195916189408,0.000667530088629109,0.0005137840779240276
ДЕЯТЕЛЬНОСТЬ ПО ОПЕРАЦИЯМ С НЕДВИЖИМЫМ ИМУЩЕСТВОМ,L,2022,0.6077295461678884,0.043180344722611015,0.10281277875090519,0.0021064812392997487,0.00012678939802763416,0.00018085790909515116
ДЕЯТЕЛЬНОСТЬ ПО ОПЕРАЦИЯМ С НЕДВИЖИМЫМ ИМУЩЕСТВОМ,L,2023,0.602213107212415,0.023830623087420667,0.02217481596576525,0.002443374229713541,9.549757021453433e-05,0.00010026500341524994
ДЕЯТЕЛЬНОСТЬ ПО ОПЕРАЦИЯМ С НЕДВИЖИМЫМ ИМУЩЕСТВОМ,L,2024,0.5951929188109657,0.018055369584833364,0.005851724171028382,0.0011843324709088626,3.63707596264618e-05,4.8388995210085055e-05
"ДЕЯТЕЛЬНОСТЬ ПРОФЕССИОНАЛЬНАЯ, НАУЧНАЯ И ТЕХНИЧЕСКАЯ",M,2020,0.23988519960484395,0.19718751874830678,0.2763557840430544,0.030498420541258685,1.0,1.0
"ДЕЯТЕЛЬНОСТЬ ПРОФЕССИОНАЛЬНАЯ, НАУЧНАЯ И ТЕХНИЧЕСКАЯ",M,2021,0.2582912606026696,0.3038331265853815,0.16458288078742322,0.06129914406332966,0.9600878937093312,0.9848851387283898
"ДЕЯТЕЛЬНОСТЬ ПРОФЕССИОНАЛЬНАЯ, НАУЧНАЯ И ТЕХНИЧЕСКАЯ",M,2022,0.2607441323302087,0.2751517385691319,0.2406073661766131,0.13148982210475335,0.8833955004110757,0.9066377776783003
"ДЕЯТЕЛЬНОСТЬ ПРОФЕССИОНАЛЬНАЯ, НАУЧНАЯ И ТЕХНИЧЕСКАЯ",M,2023,0.27487722110092305,0.13726374027767113,0.2260896558144639,0.040928649088243785,0.8944928706275306,0.9065202452309263
"ДЕЯТЕЛЬНОСТЬ ПРОФЕССИОНАЛЬНАЯ, НАУЧНАЯ И ТЕХНИЧЕСКАЯ",M,2024,0.27531402375703434,0.165446550859065,0.11843812451655254,0.037936966715364825,0.7900075601403692,0.8222854530221242
ДЕЯТЕЛЬНОСТЬ АДМИНИСТРАТИВНАЯ И СОПУТСТВУЮЩИЕ ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ,N,2020,0.12049574787179114,0.015107067557705639,0.005924751734170065,0.0005134558455869466,0.0012077184062358525,0.0023573978309010335
ДЕЯТЕЛЬНОСТЬ АДМИНИСТРАТИВНАЯ И СОПУТСТВУЮЩИЕ ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ,N,2021,0.1307577495144307,0.028697312764995278,0.025980332060412354,0.00826216365206204,0.0008715401418128695,0.0010118711933770768
ДЕЯТЕЛЬНОСТЬ АДМИНИСТРАТИВНАЯ И СОПУТСТВУЮЩИЕ ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ,N,2022,0.13297478106185068,0.03663469698997632,0.01916121884351828,0.05749969379031517,0.0020131401379567763,0.003014941660589321
ДЕЯТЕЛЬНОСТЬ АДМИНИСТРАТИВНАЯ И СОПУТСТВУЮЩИЕ ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ,N,2023,0.12604171191909516,0.03853722567733576,0.04355395095984005,0.0011063233722214988,0.00021970557611432616,0.000447919712402362
ДЕЯТЕЛЬНОСТЬ АДМИНИСТРАТИВНАЯ И СОПУТСТВУЮЩИЕ ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ,N,2024,0.12098151337929793,0.03717838984381565,0.005305568324444187,0.024301539377783635,0.00029061509184273777,0.0005718247863082617
ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ЗДРАВООХРАНЕНИЯ И СОЦИАЛЬНЫХ УСЛУГ,Q,2020,0.2304281683639488,0.05531070447546251,0.03322618545977307,0.008375896448259519,0.005616542062591497,0.009363497058904238
ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ЗДРАВООХРАНЕНИЯ И СОЦИАЛЬНЫХ УСЛУГ,Q,2021,0.18870874019430406,0.08051610079746231,0.027733063599138776,0.005932755947326012,0.00469327804869163,0.008051847652329813
ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ЗДРАВООХРАНЕНИЯ И СОЦИАЛЬНЫХ УСЛУГ,Q,2022,0.1679668020684064,0.05047856335225043,0.018633299006279608,0.010786038463853474,0.003849286980227057,0.006120521201006495
ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ЗДРАВООХРАНЕНИЯ И СОЦИАЛЬНЫХ УСЛУГ,Q,2023,0.16424107569092822,0.03664993863071263,0.036390739838753274,0.005277732648437383,0.004258879932260223,0.005523326067026263
ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ЗДРАВООХРАНЕНИЯ И СОЦИАЛЬНЫХ УСЛУГ,Q,2024,0.16053299607255053,0.02954325891680238,0.008052183590063359,0.00459460581041862,0.004013063885010164,0.005687294484281997
"ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ КУЛЬТУРЫ, СПОРТА, ОРГАНИЗАЦИИ ДОСУГА И РАЗВЛЕЧЕНИЙ",R,2020,0.043079227690588195,0.01700486105759488,0.004973029560008005,0.0016368341560558965,0.0029931805271233235,0.004410999008549012
"ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ КУЛЬТУРЫ, СПОРТА, ОРГАНИЗАЦИИ ДОСУГА И РАЗВЛЕЧЕНИЙ",R,2021,0.055689817873031094,0.05152869431110848,0.01337782820768067,0.015499743182469276,0.0031537415740079734,0.004083162998078255
"ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ КУЛЬТУРЫ, СПОРТА, ОРГАНИЗАЦИИ ДОСУГА И РАЗВЛЕЧЕНИЙ",R,2022,0.0629455087527663,0.033619701958336475,0.004696366498197258,0.014436876553208298,0.0017510477676398837,0.003332798748115776
"ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ КУЛЬТУРЫ, СПОРТА, ОРГАНИЗАЦИИ ДОСУГА И РАЗВЛЕЧЕНИЙ",R,2023,0.06441712878916833,0.01706050583493336,0.0034346692926959087,0.0015040973424137725,0.0016466399981266747,0.0032347853198942487
"ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ КУЛЬТУРЫ, СПОРТА, ОРГАНИЗАЦИИ ДОСУГА И РАЗВЛЕЧЕНИЙ",R,2024,0.06317852465886989,0.023970731142496527,0.0025759189209208287,0.004284368824481932,0.003144599661934017,0.00379335735646472
