sector,okved2,year,factoriescap_s,ITcosts_s,skvozcosts_s,trainingcosts_s
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2024.0,0.006404036410186564,0.11054611508837695,0.004828925616344465,0.0002618251620645468
Производство прочих химических продуктов,20.5,2024.0,0.00663621775955171,0.07700857353890204,0.0018702806526547336,0.0012428133036566631
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2023.0,0.014012526891164338,0.10464775886438116,0.004304917003742861,0.0020276761630316806
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2024.0,0.013575092346812213,0.11998069294992865,0.057175804291210386,0.002234932729343605
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.2,2023.0,0.013466867318593997,0.10516961337861244,0.004457119880867457,0.002017607314860334
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.2,2024.0,0.01309320746287955,0.12169727814383768,0.058443945445313325,0.0022122341847495776
Производство резиновых и пластмассовых изделий,22,2021.0,0.02873919226447822,0.04881638269312168,0.002119202560048717,0.0035373802358831343
Производство резиновых и пластмассовых изделий,22,2022.0,0.026988412796258947,0.04368684977412688,0.0036009045022791573,0.001435955976687252
Производство резиновых и пластмассовых изделий,22,2023.0,0.026734253218935456,0.04180681851168552,0.002424057319928858,0.006391612877312637
Производство резиновых и пластмассовых изделий,22,2024.0,0.02566757181644488,0.046895468340070454,0.0016955635521576063,0.0015021992313937642
Производство изделий из пластмасс,22.2,2021.0,0.02372862032543407,0.04696674916648285,0.002667777675999003,0.0012737613694342156
Производство изделий из пластмасс,22.2,2022.0,0.02231450954461648,0.04431893694107733,0.0041361201331620145,0.0012560395232213597
Производство изделий из пластмасс,22.2,2023.0,0.022000517691821424,0.040811934944833726,0.00012427408315962544,0.007494850991179496
Производство изделий из пластмасс,22.2,2024.0,0.021272428653024738,0.04501248353190742,0.002042527496722571,0.0007221818230348189
Производство прочей неметаллической минеральной продукции,23,2021.0,0.033285602409982906,0.07764431163866715,0.018429589749943888,0.0026027150812988438
Производство прочей неметаллической минеральной продукции,23,2022.0,0.034711274449080634,0.060253993859481526,0.0020654193272995666,0.003098657604344051
Производство прочей неметаллической минеральной продукции,23,2023.0,0.03470652269259259,0.059272828617718785,0.0015781049267989075,0.00196536577519832
Производство прочей неметаллической минеральной продукции,23,2024.0,0.03373709837574197,0.044174379887844055,0.01434812429958986,0.0034281014714642806
Производство стекла и изделий из стекла,23.1,2021.0,0.005026656910885127,0.06015340337516191,0.02645949387973218,0.0005628915021123886
"Производство изделий из бетона, цемента и гипса",23.6,2021.0,0.012405070084746998,0.1007479536706565,0.031543228948291,0.000474412043901064
"Производство изделий из бетона, цемента и гипса",23.6,2022.0,0.013620102059265098,0.07970118240868489,0.0038095867782904644,0.000588495812101697
"Производство изделий из бетона, цемента и гипса",23.6,2023.0,0.013699775866741357,0.051594579369039974,0.003792586452597206,0.0006569108062484947
"Производство изделий из бетона, цемента и гипса",23.6,2024.0,0.013536755749193451,0.035888784613357406,0.002868709368957167,0.0015748202244249177
Производство металлургическое,24,2021.0,0.17025450458604302,0.057994599754078446,0.07749287798452305,0.0010083097058979592
Производство металлургическое,24,2022.0,0.14155628178782448,0.08274146655536822,0.07842390856959412,0.0015873708614803147
Производство металлургическое,24,2023.0,0.1364476904687533,0.11625701073079008,0.06253923712973171,0.002010372839183619
Производство металлургическое,24,2024.0,0.12307736589521369,0.08440047063248682,0.09234224300440107,0.0007106761037635088
"Производство чугуна, стали и ферросплавов",24.1,2021.0,0.07396711615667936,0.06197791685467569,0.14893826308114405,0.0006505345748011519
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2021.0,0.07551408395688401,0.04709315087974709,0.012156756997205032,0.0017432641089898632
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2022.0,0.06615897488624178,0.08196171440991179,0.018197464933309582,0.0026156602002529667
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2023.0,0.06535668159123667,0.13107672055426378,0.03413581558728969,0.0033911704060406774
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2024.0,0.062443971058861555,0.08590358220475178,0.0948079596724927,0.0009360208896848245
"Производство готовых металлических изделий, кроме машин и оборудования",25,2021.0,0.05507160908786619,0.24852627389701282,0.02472429616913954,0.0009181916534805323
"Производство готовых металлических изделий, кроме машин и оборудования",25,2022.0,0.053032245902239115,0.09786414547972956,0.06942677949466805,0.001383113377949074
"Производство готовых металлических изделий, кроме машин и оборудования",25,2023.0,0.06155342759706054,0.15362259353686514,0.28217093545369215,0.0015613075131400175
"Производство готовых металлических изделий, кроме машин и оборудования",25,2024.0,0.06902312024125444,0.1861541327081682,0.09719526371769843,0.02747875352689125
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2021.0,0.025980659290127158,0.435589508287944,0.028894066377473365,0.0006074027850471173
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2022.0,0.02521449677984835,0.13520581297570172,0.10269433039248668,0.0015457495515168245
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2023.0,0.029885945549669335,0.2471803320008679,0.35974323265746333,0.0015729140250282645
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2024.0,0.03551038913341782,0.29562873639505194,0.11805145239519757,0.033321159652919194
Производство строительных металлических конструкций и изделий,25.1,2021.0,0.013958135248413573,0.09550218921863644,0.0005319761742775281,0.0029591536088079237
Производство строительных металлических конструкций и изделий,25.1,2022.0,0.013656821627096324,0.03389993475316963,0.003862644052487413,0.0019208196157230505
Производство строительных металлических конструкций и изделий,25.1,2023.0,0.015248605828832123,0.03275523070546037,0.002860653783467989,0.0037469141167507073
Производство строительных металлических конструкций и изделий,25.1,2024.0,0.015556388399793581,0.048311571688266004,0.012237008280987657,0.0026554385282945956
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2022.0,0.0087399145273987,0.06279559066135353,0.000463278207064104,0.0011329477329904982
"Производство компьютеров, электронных и оптических изделий",26,2021.0,0.02690536256765056,0.45209400350937423,0.009680702593163925,0.0016291819066559634
"Производство компьютеров, электронных и оптических изделий",26,2022.0,0.026218697134884877,0.9464207330494873,0.0038070010112518484,0.018871072481006723
"Производство компьютеров, электронных и оптических изделий",26,2023.0,0.031322254540208705,0.28012045524396884,0.12786460336750147,0.0023562452651686746
"Производство компьютеров, электронных и оптических изделий",26,2024.0,0.03601560718191255,0.29537757890393773,0.06849652421512943,0.0018076624683223772
Производство электрического оборудования,27,2021.0,0.02169572123870479,0.09399204812439003,0.0036438005925169474,0.004699119783158503
