region,okato,year,VDS_r,AIusage_r,BDusage_r
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2022,0.18191523197179307,0.40564494136896645,0.5611142217245241
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2023,0.17990664436592024,0.3706213017159838,0.2875259696001708
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2024,0.1709960137512258,0.3956849093264249,0.16898271276595744
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2021,0.7099462255677633,0.4538376869177696,0.497095138352993
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2022,0.7228809951762823,0.32837151650684643,0.5822365011229683
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2023,0.795673402079163,0.3368981573947678,0.2866250262653101
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2024,0.7673263552415445,0.26073603306043863,0.1500462814167256
Ямало-Ненецкий автономный округ (Тюменская область),7114,2021,0.523278575921219,0.34913841681380386,0.4934419907204139
Ямало-Ненецкий автономный округ (Тюменская область),7114,2022,0.5553652450487953,0.25170017423746077,0.5181667586968526
Ямало-Ненецкий автономный округ (Тюменская область),7114,2023,0.5000819429483514,0.2527994540278913,0.2660109148567425
Ямало-Ненецкий автономный округ (Тюменская область),7114,2024,0.48944430046760506,0.2880929624226571,0.145383185292295
Ульяновская область,73,2021,0.0645693214493863,0.3063566283331227,0.27054142881854354
Ульяновская область,73,2022,0.06256729917773561,0.6311099403962932,0.40898357939311647
Ульяновская область,73,2023,0.06321781535079775,0.5495462835407174,0.20820259716464742
Ульяновская область,73,2024,0.060421886556635745,0.3508200431644209,0.1284860756132373
Челябинская область,75,2021,0.2608226857182142,0.5124704908483306,0.4356477401485585
Челябинская область,75,2022,0.2368351258127986,0.48709155393301395,0.28577833467558705
Челябинская область,75,2023,0.24296467274407713,0.3193421714614274,0.13926444152289985
Челябинская область,75,2024,0.22802277657811384,0.33504918747754087,0.08112033195020747
Забайкальский край,76,2021,0.06494761866438072,0.2855304795354175,0.43421061303397446
Забайкальский край,76,2022,0.05945816029559497,0.42241416378216845,0.4698938377328507
Забайкальский край,76,2023,0.06828093522291029,0.3043933325836671,0.23610272439882074
Забайкальский край,76,2024,0.07023013026277726,0.24454346327470036,0.10376620856542781
Чукотский автономный округ,77,2021,0.01740664172155274,0.3430971084740097,0.4897563486616335
Чукотский автономный округ,77,2022,0.015219503227119624,0.30308840928562686,0.6026470095493383
Чукотский автономный округ,77,2023,0.017365554139819068,0.09185471345975646,0.2263143791199957
Чукотский автономный округ,77,2024,0.01731050912055728,0.163060786048275,0.030435910742086146
Ярославская область,78,2021,0.08854887125161877,0.5536639526276832,0.3766869300911854
Ярославская область,78,2022,0.07917588827862879,0.6638469734029896,0.5524300389968221
Ярославская область,78,2023,0.08148100719759747,0.5130203103452893,0.2816042663148056
Ярославская область,78,2024,0.07941681269265485,0.3340234659358541,0.050018023562510984
Республика Адыгея (Адыгея),79,2021,0.021444971449135257,0.5336534816125363,0.3956668396471199
Республика Адыгея (Адыгея),79,2022,0.020158635001718068,0.753609394240436,0.5601814983999804
Республика Адыгея (Адыгея),79,2023,0.020561512973429,0.656863958690693,0.27683174787597126
Республика Адыгея (Адыгея),79,2024,0.02196021012293219,0.4820260854028945,0.186463683052091
