sector,okved2,year,factoriescap_s,researchorg_s,researchersavg_s
Производство текстильных тканей,13.2,2020.0,0.0036036023155019523,0.013333333333333334,0.00017831859827316268
Производство одежды,14,2021.0,0.010488930119550885,0.02666666666666667,0.0036733631244271515
Производство одежды,14,2022.0,0.011364918204603952,0.02666666666666667,0.0014978762254945666
Производство одежды,14,2024.0,0.0154188710906292,0.05333333333333334,0.005938009322496317
"Производство одежды, кроме одежды из меха",14.1,2021.0,0.009577554887930339,0.02666666666666667,0.0036733631244271515
"Производство одежды, кроме одежды из меха",14.1,2022.0,0.010591484217495766,0.02666666666666667,0.0014978762254945666
"Производство одежды, кроме одежды из меха",14.1,2024.0,0.01465553863079502,0.05333333333333334,0.005938009322496317
Производство бумаги и бумажных изделий,17,2021.0,0.055218948502574514,0.013333333333333334,9.98584150329711e-05
Деятельность полиграфическая и копирование носителей информации,18,2020.0,0.015044463899275369,0.013333333333333334,0.0003923009162009579
Деятельность полиграфическая и копирование носителей информации,18,2021.0,0.013231149582452676,0.013333333333333334,0.0004992920751648555
Производство кокса и нефтепродуктов,19,2018.0,0.5343242600489311,0.06666666666666667,0.0027461064134067055
Производство кокса и нефтепродуктов,19,2019.0,0.509692315015457,0.06666666666666667,0.0026747789740974403
Производство кокса и нефтепродуктов,19,2020.0,0.3989608426371705,0.02666666666666667,0.0024964603758242778
Производство кокса и нефтепродуктов,19,2021.0,0.5279014007854683,0.02666666666666667,0.00238946921686038
Производство кокса и нефтепродуктов,19,2022.0,0.4922491645664632,0.04,0.0026498143703391976
Производство кокса и нефтепродуктов,19,2023.0,0.4507332140749357,0.04,0.002582053302995396
Производство химических веществ и химических продуктов,20,2018.0,0.1678315043853093,0.5866666666666667,0.049501242880629966
Производство химических веществ и химических продуктов,20,2019.0,0.16306614435578265,0.68,0.08184823660738168
Производство химических веществ и химических продуктов,20,2020.0,0.16618331452891394,0.6933333333333334,0.1613426677175576
Производство химических веществ и химических продуктов,20,2021.0,0.2230524667283629,0.6933333333333334,0.1243558240637382
Производство химических веществ и химических продуктов,20,2022.0,0.21347959570043468,0.6666666666666666,0.10545761901874841
Производство химических веществ и химических продуктов,20,2023.0,0.18244076234139042,0.6133333333333333,0.07265412968041741
Производство химических веществ и химических продуктов,20,2024.0,0.1714044196070086,0.6933333333333334,0.11100332742504378
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2018.0,0.12812827926157389,0.28,0.028709294321979193
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2019.0,0.12363226906878476,0.3333333333333333,0.052461331611964465
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2020.0,0.12120972781181961,0.3466666666666667,0.11697343409522927
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2021.0,0.1780458194565115,0.38666666666666666,0.07653434237884142
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2022.0,0.16597939192223415,0.32,0.043381348587895024
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2023.0,0.1308964311390602,0.28,0.027739241147373188
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2024.0,0.12304528112124964,0.3333333333333333,0.051049048313641016
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2018.0,0.006594070074525115,0.06666666666666667,0.0036733631244271515
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2019.0,0.0069891185615345445,0.09333333333333334,0.004030000320973477
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2020.0,0.00854778041348397,0.08,0.004015734833111624
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2021.0,0.008560791168792227,0.06666666666666667,0.003527141873843158
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2022.0,0.00865575102089341,0.06666666666666667,0.003512876385981305
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2023.0,0.0101923340380718,0.06666666666666667,0.003216867512847855
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2018.0,0.01571365552338555,0.08,0.004885929592684658
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2019.0,0.016035325168985818,0.06666666666666667,0.004136991479937374
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2020.0,0.018416207988321456,0.05333333333333334,0.0035663719654632537
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2021.0,0.017099292693662362,0.05333333333333334,0.003316725927880826
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2022.0,0.01773527598269102,0.05333333333333334,0.00373755781980549
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2023.0,0.01898796877340379,0.05333333333333334,0.0038623808385967037
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2024.0,0.017090718435573193,0.08,0.004236849894970345
Производство прочих химических продуктов,20.5,2018.0,0.013811913256930786,0.14666666666666667,0.011626372607410207
Производство прочих химических продуктов,20.5,2019.0,0.012861584732873275,0.17333333333333334,0.020613629960377605
Производство прочих химических продуктов,20.5,2020.0,0.013450174209151117,0.21333333333333335,0.036787126823753465
Производство прочих химических продуктов,20.5,2021.0,0.014886939595022592,0.17333333333333334,0.04087062272420889
Производство прочих химических продуктов,20.5,2022.0,0.015927863654980237,0.21333333333333335,0.0547188450661027
Производство прочих химических продуктов,20.5,2023.0,0.017594789601961473,0.2,0.037728649022635764
Производство прочих химических продуктов,20.5,2024.0,0.017710350463535942,0.2,0.05236860594086242
Производство химических волокон,20.6,2021.0,0.0012191502958907854,0.013333333333333334,0.00010699115896389762
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2022.0,0.03952490423980833,0.4666666666666667,0.04011455186753068
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2023.0,0.03739581356640207,0.5066666666666667,0.042739401634111635
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2024.0,0.03622841379652824,0.49333333333333335,0.04593843728713217
Производство фармацевтических субстанций,21.1,2018.0,0.001219692778253184,0.04,0.0016405311041130968
Производство фармацевтических субстанций,21.1,2020.0,0.002631377013608671,0.013333333333333334,0.0007596372286436731
Производство фармацевтических субстанций,21.1,2021.0,0.0028516760223138825,0.02666666666666667,0.0012838939075667714
Производство фармацевтических субстанций,21.1,2022.0,0.0023139288824566167,0.06666666666666667,0.00300288519492006
Производство фармацевтических субстанций,21.1,2023.0,0.001456224405851444,0.09333333333333334,0.0041655224556610805
Производство фармацевтических субстанций,21.1,2024.0,0.0012859997764936278,0.05333333333333334,0.001925840861350157
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.2,2022.0,0.03721097535735172,0.4,0.037111666672610615
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.2,2023.0,0.03593958916055063,0.41333333333333333,0.03857387917845055
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.2,2024.0,0.03494238755586668,0.44,0.044012596425782015
Производство резиновых и пластмассовых изделий,22,2018.0,0.059639400105195924,0.09333333333333334,0.00716840765058114
Производство резиновых и пластмассовых изделий,22,2019.0,0.06057247685319984,0.09333333333333334,0.008309646679529381
Производство резиновых и пластмассовых изделий,22,2020.0,0.07211627468852982,0.10666666666666667,0.00802433692229232
Производство резиновых и пластмассовых изделий,22,2021.0,0.0766974782149453,0.09333333333333334,0.0073324607609924495
Производство резиновых и пластмассовых изделий,22,2022.0,0.07202510019933585,0.08,0.0068616996615513005
Производство резиновых и пластмассовых изделий,22,2023.0,0.07134681395992118,0.12,0.00899795646886379
Производство резиновых и пластмассовых изделий,22,2024.0,0.06850011691718877,0.13333333333333333,0.009950177783642478
Производство резиновых изделий,22.1,2018.0,0.012184337206536559,0.05333333333333334,0.0061341597805967965
Производство резиновых изделий,22.1,2019.0,0.01143619267051283,0.06666666666666667,0.007418053688163568
Производство резиновых изделий,22.1,2020.0,0.012247124713030237,0.06666666666666667,0.007204071370235773
Производство резиновых изделий,22.1,2021.0,0.013371964196051741,0.06666666666666667,0.006868832405482227
Производство резиновых изделий,22.1,2022.0,0.012473440085673136,0.05333333333333334,0.00643373502569571
Производство резиновых изделий,22.1,2023.0,0.012633116968805404,0.05333333333333334,0.006918761612998712
Производство изделий из пластмасс,22.2,2024.0,0.05677061547797696,0.08,0.002639115254442808
Производство прочей неметаллической минеральной продукции,23,2018.0,0.08237690116044759,0.09333333333333334,0.009165575951240562
Производство прочей неметаллической минеральной продукции,23,2019.0,0.08709162899007378,0.12,0.04511460536311016
Производство прочей неметаллической минеральной продукции,23,2020.0,0.08964772710117619,0.12,0.019187081174192305
Производство прочей неметаллической минеральной продукции,23,2021.0,0.08883067214336494,0.12,0.04361672913761559
Производство прочей неметаллической минеральной продукции,23,2022.0,0.09263542243537319,0.09333333333333334,0.038837790703894835
Производство прочей неметаллической минеральной продукции,23,2023.0,0.09262274122511613,0.10666666666666667,0.04074223333345221
Производство прочей неметаллической минеральной продукции,23,2024.0,0.0900355982136339,0.13333333333333333,0.09238329939336012
Производство огнеупорных изделий,23.2,2020.0,0.003592932982964859,0.04,0.0034950445261539885
Производство огнеупорных изделий,23.2,2021.0,0.003290519277935884,0.04,0.003423717086844724
Производство прочих фарфоровых и керамических изделий,23.4,2024.0,0.0013235259666213794,0.02666666666666667,0.07806788232399063
Производство металлургическое,24,2018.0,0.31345955369799133,0.4,0.04807469409444466
Производство металлургическое,24,2019.0,0.3523050221114701,0.4533333333333333,0.046505490429640826
Производство металлургическое,24,2020.0,0.3702562959864063,0.37333333333333335,0.042992614043659526
Производство металлургическое,24,2021.0,0.45436528056580777,0.3333333333333333,0.04349190611882438
Производство металлургическое,24,2022.0,0.377777139270182,0.29333333333333333,0.04455111859256697
Производство металлургическое,24,2023.0,0.36414362905187964,0.29333333333333333,0.05022878276158447
Производство металлургическое,24,2024.0,0.3284616875321353,0.32,0.05510401323837273
"Производство чугуна, стали и ферросплавов",24.1,2018.0,0.14578854061404228,0.05333333333333334,0.008345310399184014
"Производство чугуна, стали и ферросплавов",24.1,2019.0,0.13431796237199092,0.08,0.009094248511931297
"Производство чугуна, стали и ферросплавов",24.1,2020.0,0.12837397310388562,0.06666666666666667,0.00941522198882299
"Производство чугуна, стали и ферросплавов",24.1,2021.0,0.19739912060998363,0.05333333333333334,0.010235487540879539
"Производство чугуна, стали и ферросплавов",24.1,2022.0,0.1460485186619098,0.05333333333333334,0.011590708887755576
"Производство чугуна, стали и ферросплавов",24.1,2023.0,0.13696352013831226,0.05333333333333334,0.011840354925338003
"Производство чугуна, стали и ферросплавов",24.1,2024.0,0.11610052770833375,0.06666666666666667,0.012896001027115127
"Производство стальных труб, полых профилей и фитингов",24.2,2018.0,0.036223395479063794,0.05333333333333334,0.005456549107158778
"Производство стальных труб, полых профилей и фитингов",24.2,2019.0,0.03577020759136924,0.05333333333333334,0.006027168621632899
"Производство стальных труб, полых профилей и фитингов",24.2,2020.0,0.02883394168369202,0.05333333333333334,0.006109195176838554
"Производство стальных труб, полых профилей и фитингов",24.2,2021.0,0.034257614805544255,0.05333333333333334,0.005189071209749034
"Производство стальных труб, полых профилей и фитингов",24.2,2022.0,0.0377131596506199,0.04,0.004743274714066128
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2018.0,0.11544299130074341,0.29333333333333333,0.03427283458810187
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2019.0,0.16598701750606334,0.30666666666666664,0.03120575469780347
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2020.0,0.1965797259109786,0.24,0.027254214560070187
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2021.0,0.20152757794669407,0.21333333333333335,0.027853365050268013
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2022.0,0.1765612091099864,0.2,0.028217134990745265
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2023.0,0.17442009561071428,0.2,0.033377675224770594
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2024.0,0.16664682381701104,0.21333333333333335,0.036929781702371996
