sector,okved2,year,factoriescap_s,researchorg_s,researchersavg_s,researchers_s
Производство прочей неметаллической минеральной продукции,23,2023.0,0.03470652269259259,0.012539184952978056,0.010669107312130227,0.009350163627863487
Производство прочей неметаллической минеральной продукции,23,2024.0,0.03373709837574197,0.01567398119122257,0.024192275543891927,0.020903162415511763
Производство огнеупорных изделий,23.2,2020.0,0.0013463023060736232,0.004702194357366771,0.0009152420488347007,0.0007844628806427842
Производство огнеупорных изделий,23.2,2021.0,0.0012329853390165841,0.004702194357366771,0.0008965636396748089,0.0008240822180489853
Производство металлургическое,24,2018.0,0.11745593975876892,0.047021943573667714,0.012589247773767109,0.01398562610438903
Производство металлургическое,24,2019.0,0.1320116645533964,0.05329153605015674,0.012178322772249487,0.01393015903202035
Производство металлургическое,24,2020.0,0.1387381583481242,0.0438871473354232,0.011258411121124814,0.01237708100569726
Производство металлургическое,24,2021.0,0.17025450458604302,0.03918495297805643,0.011389159985244058,0.012511786752878345
Производство металлургическое,24,2022.0,0.14155628178782448,0.034482758620689655,0.011666534361268452,0.012297842330884858
Производство металлургическое,24,2023.0,0.1364476904687533,0.034482758620689655,0.013153335730395843,0.01171147613727308
Производство металлургическое,24,2024.0,0.12307736589521369,0.03761755485893417,0.01443000499647445,0.012979294934271518
"Производство чугуна, стали и ферросплавов",24.1,2018.0,0.054628196339423035,0.006269592476489028,0.0021853738717073465,0.001854184990610217
"Производство чугуна, стали и ферросплавов",24.1,2019.0,0.05033007388278641,0.009404388714733543,0.0023814971678862112,0.002044357810159983
"Производство чугуна, стали и ферросплавов",24.1,2020.0,0.04810281094833459,0.007836990595611285,0.0024655500091057244,0.002115672617491145
"Производство чугуна, стали и ферросплавов",24.1,2021.0,0.07396711615667936,0.006269592476489028,0.0026803517144444807,0.002559409196440599
"Производство чугуна, стали и ферросплавов",24.1,2022.0,0.05472561230766737,0.006269592476489028,0.003035241488482426,0.0025831807988843194
"Производство чугуна, стали и ферросплавов",24.1,2023.0,0.051321386701182005,0.006269592476489028,0.0031006159205420472,0.0026148762688092803
"Производство чугуна, стали и ферросплавов",24.1,2024.0,0.04350384739464624,0.007836990595611285,0.003377056376108447,0.0030665367152399744
"Производство стальных труб, полых профилей и фитингов",24.2,2018.0,0.01357321194091346,0.006269592476489028,0.0014288983007317267,0.0012202755921109974
"Производство стальных труб, полых профилей и фитингов",24.2,2019.0,0.013403398615371176,0.006269592476489028,0.0015783255740108614,0.0014738393515106854
"Производство стальных труб, полых профилей и фитингов",24.2,2020.0,0.010804321251189507,0.006269592476489028,0.0015998057445447372,0.0012598949295171988
"Производство стальных труб, полых профилей и фитингов",24.2,2021.0,0.012836617335185407,0.006269592476489028,0.0013588542663821323,0.0009270924953051085
"Производство стальных труб, полых профилей и фитингов",24.2,2022.0,0.01413143914670364,0.004702194357366771,0.0012421142091328082,0.001069722109967433
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2018.0,0.04325746295439549,0.034482758620689655,0.008974975601328036,0.010911165521667815
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2019.0,0.06219673606666924,0.03605015673981191,0.008171804007452686,0.010372342532943479
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2020.0,0.0736600820488668,0.02821316614420063,0.007137020139994677,0.008953970253801475
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2021.0,0.07551408395688401,0.025078369905956112,0.007293918776937768,0.008977741856245195
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2022.0,0.06615897488624178,0.023510971786833857,0.007389178663653217,0.008644939422033105
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2023.0,0.06535668159123667,0.023510971786833857,0.008740561566371392,0.007915943613759004
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2024.0,0.062443971058861555,0.025078369905956112,0.009670746342534006,0.008708330361883027
Литье металлов,24.5,2020.0,0.0014979402958868683,0.001567398119122257,5.603522747967555e-05,4.754320488744146e-05
Литье металлов,24.5,2021.0,0.0016010183867265478,0.001567398119122257,5.603522747967555e-05,4.754320488744146e-05
"Производство готовых металлических изделий, кроме машин и оборудования",25,2018.0,0.04716922754692525,0.06739811912225706,0.17510074666940617,0.15141718369901982
"Производство готовых металлических изделий, кроме машин и оборудования",25,2019.0,0.050537011022244324,0.09717868338557993,0.24759165261894645,0.22632150299918385
"Производство готовых металлических изделий, кроме машин и оборудования",25,2020.0,0.05523819731986383,0.09717868338557993,0.24169301100625262,0.21838971165046236
"Производство готовых металлических изделий, кроме машин и оборудования",25,2021.0,0.05507160908786619,0.10188087774294671,0.20895069366942018,0.18867520859581144
"Производство готовых металлических изделий, кроме машин и оборудования",25,2022.0,0.053032245902239115,0.109717868338558,0.22907761345966163,0.21280338507618798
"Производство готовых металлических изделий, кроме машин и оборудования",25,2023.0,0.06155342759706054,0.11128526645768025,0.24721248091300066,0.23378578616651216
"Производство готовых металлических изделий, кроме машин и оборудования",25,2024.0,0.06902312024125444,0.11755485893416928,0.2618684946603098,0.24605193302747205
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2018.0,0.02453815718139985,0.050156739811912224,0.16165229207428403,0.1392223516453911
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2019.0,0.027687425585056533,0.07523510971786834,0.22981914630330935,0.20961006648124816
