sector,okved2,year,factoriescap_s,ITusage_s,AIusage_s,BDusage_s
Производство хлебобулочных и мучных кондитерских изделий,10.7,2021.0,0.0110667146834039,0.0302037249440166,0.0286493860845839,0.0366501416430594
Производство хлебобулочных и мучных кондитерских изделий,10.7,2023.0,0.0109264173296766,0.0296575454694412,0.0231923601637107,0.019298866855524
Производство хлебобулочных и мучных кондитерских изделий,10.7,2024.0,0.0108319233515004,0.0297121634168987,0.0136425648021828,0.0081444759206798
Производство прочих пищевых продуктов,10.8,2021.0,0.0248427388340443,0.0267627942541919,0.015006821282401,0.0308073654390934
Производство прочих пищевых продуктов,10.8,2023.0,0.0229176069832408,0.0305860505762193,0.0259208731241473,0.0216005665722379
Производство прочих пищевых продуктов,10.8,2024.0,0.0227699160507495,0.0328253864219782,0.0327421555252387,0.012570821529745
Производство готовых кормов для животных,10.9,2023.0,0.0089771747941994,0.0084111639084603,0.0081855388813096,0.0038951841359773
Производство готовых кормов для животных,10.9,2024.0,0.0088048038588925,0.0091758151728658,0.0136425648021828,0.0033640226628895
Производство напитков,11,2021.0,0.015374343183751,0.0365394068490906,0.111869031377899,0.0419617563739376
Производство напитков,11,2023.0,0.0156962774479318,0.0342454530558741,0.0545702592087312,0.0262039660056657
Производство напитков,11,2024.0,0.0153978954252098,0.0341908351084166,0.0627557980900409,0.019298866855524
Производство текстильных изделий,13,2021.0,0.0052796974945552,0.0137637227592987,0.0109140518417462,0.0154036827195467
Производство текстильных изделий,13,2023.0,0.0056472361255977,0.0154568791304822,0.0095497953615279,0.0093838526912181
Производство текстильных изделий,13,2024.0,0.0054045876257065,0.0168769457643781,0.0109140518417462,0.0053116147308781
Подготовка и прядение текстильных волокон,13.1,2021.0,0.0001385403547014,0.0007100333169479,0.0027285129604365,0.0012393767705382
Производство текстильных тканей,13.2,2021.0,0.0013298603767281,0.0049156152711781,0.0027285129604365,0.0046033994334277
Производство текстильных тканей,13.2,2023.0,0.001462641916187,0.0035501665847397,0.0013642564802182,0.002655807365439
Производство текстильных тканей,13.2,2024.0,0.0013564868593024,0.0039871101644,0.0040927694406548,0.0014164305949008
Производство прочих текстильных изделий,13.9,2021.0,0.0036795524281162,0.0077557485389699,0.0054570259208731,0.0093838526912181
Производство прочих текстильных изделий,13.9,2023.0,0.0038631328806105,0.0110328253864219,0.0081855388813096,0.0063739376770538
Производство прочих текстильных изделий,13.9,2024.0,0.0037504913593337,0.0120705663881151,0.0068212824010914,0.0035410764872521
Производство одежды,14,2021.0,0.0039302906219374,0.0140368124965863,0.0204638472032742,0.0154036827195467
Производство одежды,14,2023.0,0.005104975116536,0.0155661150253973,0.0081855388813096,0.0109773371104815
