region,okato,year,factoriescap_r,ITcosts_r,skvozcosts_r,trainingcosts_r
Тульская область,70,2022,0.16423575343757152,0.124116745668551,0.06619781428976812,0.1672469445728226
Тульская область,70,2023,0.17337251790360947,0.10628465706477279,0.03365518690766176,0.18775980742546214
Тульская область,70,2024,0.17760595804997714,0.11075844200510748,0.02206992470230369,0.1688195678678536
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2020,0.15648575218368405,0.273217129153297,0.0725788773557531,0.1209972848806887
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2021,0.21368917617479993,0.21785696442737645,0.010223664133515437,0.09415569946298318
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2022,0.21330142957816278,0.18277786665397272,0.07771541869866985,0.1704882180063104
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2023,0.1948960978751495,0.21234455359877188,0.11481606403844638,0.11607555213749092
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2024,0.18209055485926265,0.2085055414645659,0.17999852295739935,0.10830394682431786
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2020,0.5759166691983836,0.13511428565054334,0.008536462526055215,0.08739804238951647
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2021,0.8480181336674023,0.10648424915733536,0.9134201305642474,0.13602715805107005
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2022,0.8974881996684931,0.08593204645710618,0.2789018940038358,0.22720847826748333
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2023,1.0,0.07752643283870259,0.4148881468048982,0.660431303543342
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2024,0.9551751861725999,0.07612510995712869,0.16201277903390168,0.11545899324234635
Ямало-Ненецкий автономный округ (Тюменская область),7114,2022,0.6942231273782854,0.07472390883459999,0.672879606859719,0.23273302674686844
Ямало-Ненецкий автономный округ (Тюменская область),7114,2023,0.6096115383481603,0.07784604536788414,0.654436167566703,0.13298553009675604
Ямало-Ненецкий автономный округ (Тюменская область),7114,2024,0.598664951412347,0.07578919463198434,0.1023382815361168,0.1989160388212322
Ульяновская область,73,2020,0.05732076652269048,0.2471794785672838,0.3176018765322493,0.2642204919235222
Ульяновская область,73,2021,0.05925984128106945,0.3478540730611671,0.1152190714525621,0.190120578555078
Ульяновская область,73,2022,0.05372217630166843,0.3745183743181587,0.00737346996856693,0.208884001237926
Ульяновская область,73,2023,0.05977286512241987,0.3179729914168369,0.009646136600783,0.2513972083192712
Челябинская область,75,2020,0.2980687968236052,0.28410563923326704,0.6285868249613761,0.17853843345997975
Челябинская область,75,2021,0.38194471569213256,0.16972658913383673,0.5445935134595303,0.27976376245734125
Челябинская область,75,2022,0.32381324181383564,0.17621649642164972,0.6013820967240516,0.2723861742843872
Челябинская область,75,2023,0.327541588988331,0.21701276972548814,0.4435615125173857,0.16497030459562778
Челябинская область,75,2024,0.2970659040025745,0.19332039244848978,0.38427984537662857,0.30330586913207136
Забайкальский край,76,2020,0.040679328399108886,0.25847261610969424,0.032633276937223066,0.32023070611307447
Чукотский автономный округ,77,2020,0.021889486869330507,0.12679051350726137,0.017691785593591407,0.6329626338065406
Чукотский автономный округ,77,2021,0.020456080603052682,0.18589913327976085,0.005222710804286401,0.2934715104892338
Чукотский автономный округ,77,2023,0.018645201243091578,0.2067094339740605,0.034581388785670436,0.17738735992973007
Ярославская область,78,2020,0.08286263847712058,0.18786214567367435,0.13044840351379966,0.1888012444647227
Ярославская область,78,2021,0.08614101548972788,0.19494045495062853,0.4505551648257906,0.21195718036456296
Ярославская область,78,2022,0.07554075539820805,0.2551987166064655,0.0767256833338176,0.1861508494435908
Ярославская область,78,2023,0.07994345746681232,0.2260780261593499,0.05211572869326154,0.3131740639986831
Ярославская область,78,2024,0.06955478873562336,0.2569506318672619,0.034512651373358204,0.4166590011872278
Республика Адыгея (Адыгея),79,2020,0.010505861457062891,0.29716483495459345,0.0038045254620156653,0.4298765836474094
Республика Адыгея (Адыгея),79,2021,0.010641148642206071,0.5757298371095055,0.013378315805538922,0.19520240814053025
Республика Адыгея (Адыгея),79,2022,0.011938289414660132,0.2765301828255726,0.04032637784805866,0.4076216701758398
Республика Адыгея (Адыгея),79,2024,0.012222095217668363,0.3414299698018558,0.0007622787490625298,0.21121044369592887
Хабаровский край,8,2020,0.08710135796894913,0.29420332837412844,0.024279557749395216,0.27175770202435723
Хабаровский край,8,2021,0.09517963947890618,0.34329640635852143,0.18622683068399587,0.22481548649893984
Хабаровский край,8,2022,0.07602509444711116,0.5412601467630488,0.2495393270473069,0.11143824528336678
Хабаровский край,8,2023,0.08057266315130325,0.4112218578663252,0.0055866764969349945,0.33448846490474426
Хабаровский край,8,2024,0.0779077853254109,0.3753576176274739,0.03445830377916325,0.17467861543139643
Республика Башкортостан,80,2020,0.26192549239323387,0.2489636884649858,0.1179217361645132,0.1440143597492599
Республика Башкортостан,80,2021,0.31539395048456725,0.24477390832533158,0.159592342623443,0.14782330536299287
Республика Башкортостан,80,2022,0.27352423768507267,0.22373477208853554,0.12284783963252169,0.2769652043760139
