region,okato,year,factoriescap_r,ITcosts_r,skvozcosts_r,trainingcosts_r
Республика Башкортостан,80,2023,0.26842858029758804,0.2620140775846705,0.12064724307914547,0.1827779090953727
Республика Башкортостан,80,2024,0.2610433499650768,0.2650164859997235,0.09058470340324838,0.2099696717398357
Республика Бурятия,81,2020,0.03028740745546199,0.30835883524382907,0.06117210381194852,0.45941753430260174
Республика Бурятия,81,2021,0.03044132883329375,0.27275668327722635,0.15097616636746675,0.5513613017963107
Республика Бурятия,81,2022,0.03248046745181819,0.22848974600120245,0.03373549084342863,0.27310437954312894
Республика Бурятия,81,2023,0.029842215089859722,0.3297975990958733,0.13920465201159868,0.08761493134162743
Республика Бурятия,81,2024,0.02700588538699483,0.22260140248013607,0.12002451537420214,0.37030157480522435
Республика Дагестан,82,2020,0.010379426377542453,0.29470587268754345,0.026477691312833215,0.29664495824441517
Республика Дагестан,82,2021,0.010500673155885541,0.685438738371327,0.6389012219065278,0.5037141040155516
Республика Дагестан,82,2022,0.009889303279484013,0.4952715582350073,0.026618615066958028,0.509316936073629
Республика Дагестан,82,2023,0.009482414398995236,0.396273690449629,0.08174729779242813,0.4277577627986174
Республика Дагестан,82,2024,0.00945000061517205,0.3681964073723443,0.009592705831480785,0.2761303202446148
Кабардино-Балкарская Республика,83,2020,0.009408325531173423,0.33917948356372085,0.039676875648798696,0.1270080544067327
Кабардино-Балкарская Республика,83,2021,0.008382723577213296,0.477094719214205,0.0916436367955967,0.10012502096560737
Кабардино-Балкарская Республика,83,2022,0.007597139105439051,0.4458746843455164,0.08238835942773573,0.24334064144782666
Кабардино-Балкарская Республика,83,2023,0.006825123027297811,0.4020227141934855,0.027935975054131954,0.27420621530762307
Кабардино-Балкарская Республика,83,2024,0.006865942547392967,0.33702718198187653,0.002727329994496514,0.09878626682071269
Республика Алтай,84,2022,0.0030927355249192926,0.8002001302981385,0.1293066313016437,0.1994869172817756
Республика Карелия,86,2020,0.042700138289192766,0.2710034488362313,0.01590718152388354,0.17931668243726928
Республика Карелия,86,2021,0.055222532535081977,0.1658802098649796,0.07559088088498528,0.18508322293093232
Республика Карелия,86,2022,0.03622943070163731,0.2249836148830884,0.020359016158332747,0.28688752513668303
Республика Карелия,86,2023,0.032874182535081425,0.22084298777477193,0.062024717427403675,0.23786274025525594
Республика Коми,87,2020,0.09086834553123185,0.279635374879249,0.030964378667981945,0.07661884357296181
Республика Коми,87,2021,0.11303643867230412,0.2204259307889877,0.04208522056264,0.1399064389810276
Республика Коми,87,2022,0.10562656839832428,0.20529605264153097,0.12875324194102783,0.06237094154784071
Республика Коми,87,2023,0.10094815211167457,0.2203033246726558,0.004039908626766999,0.25088280388304784
Республика Коми,87,2024,0.09791299039038387,0.19150136211957142,0.009732913571776892,0.10113063914461402
Республика Марий Эл,88,2021,0.02951238525620228,0.25158417592650095,0.012445930248794486,0.448732864847651
Республика Марий Эл,88,2022,0.02678677324471022,0.26479655668240726,0.012949192363933954,0.5142455203187672
Республика Марий Эл,88,2024,0.03081437065222275,0.3520230148240385,0.026714293329006433,0.31399348231105007
Республика Мордовия,89,2020,0.04287986145196658,0.15277336704057437,0.06352159166645292,0.304286270566721
Республика Мордовия,89,2021,0.04642539508292946,0.1242639444153004,0.22592767572363834,0.27411871697558254
Республика Мордовия,89,2022,0.043707376009383,0.1425798857973611,0.2368198268611509,0.17780549234093962
Республика Мордовия,89,2023,0.0435557725238886,0.14135502049629914,0.10561267854519066,0.23616273967574317
Республика Мордовия,89,2024,0.044580359499093176,0.16371066805670298,0.1104055312457703,0.12442160983703603
Республика Северная Осетия-Алания,90,2022,0.006620392892294524,0.38996454863551766,0.0020216802063722705,0.10805537634425964
Республика Северная Осетия-Алания,90,2023,0.0072953244713778965,0.47933916596764503,0.06729781755814895,0.03142058364548258
Карачаево-Черкесская Республика,91,2020,0.006939945389043694,0.31050420520936195,0.390019425166644,0.24567860138620418
Карачаево-Черкесская Республика,91,2021,0.007021685461211308,0.3568789112013307,0.31004901426515064,0.12181084418992139
Карачаево-Черкесская Республика,91,2022,0.006339143434173016,0.316685687771218,0.11158450554579874,0.17543304340714602
Карачаево-Черкесская Республика,91,2023,0.007779036809481655,0.22554483618956275,0.02654049778832256,0.25669093888907946
Карачаево-Черкесская Республика,91,2024,0.00692175715804491,0.26844283415168807,0.01818235663701227,0.20338574543061672
Республика Татарстан (Татарстан),92,2021,0.6131584885427599,0.17056279844272013,0.33531923356792415,0.3407850582179218
Республика Татарстан (Татарстан),92,2022,0.5712858502322508,0.23053919984468035,0.23026384911584677,0.21639902627807772
Республика Татарстан (Татарстан),92,2023,0.5479590957125131,0.26019250891641793,0.5968598758638729,0.22214147882245477
Республика Татарстан (Татарстан),92,2024,0.5414271147786052,0.27067026691371254,0.040534623199314675,0.17248706762035831
Республика Тыва,93,2020,0.0038874649678990575,0.563800497486104,0.11730119512962567,0.5371312415770234
Республика Тыва,93,2021,0.004191436390564332,0.7422044882681487,0.011628907862173502,0.13569633301349182
Республика Тыва,93,2022,0.004586219312622339,0.6278955301393353,0.012874045092736179,0.16866136357573028
Республика Тыва,93,2023,0.003909170614229808,0.6469845385003822,0.014193858386500174,0.10422706604651974
Республика Тыва,93,2024,0.004075398374096847,0.5340847313958126,0.019515480461709138,0.2762117290954586
Удмуртская Республика,94,2020,0.09840339634691889,0.2576334283712636,0.6458836514024098,0.5619690130231134
Удмуртская Республика,94,2021,0.116512666094544,0.2268416942138078,0.41928194385980727,0.2256969184115402
Удмуртская Республика,94,2022,0.11186580587303459,0.21987205342422825,0.3953406120248059,0.11051611468435912
Республика Хакасия,95,2020,0.04013486320065045,0.204137645728747,0.18639739713044487,0.9315583028693504
Республика Хакасия,95,2021,0.04582992225668917,0.10451705564124208,0.023030019143187523,0.08505399172472028
Республика Хакасия,95,2022,0.0471582602167421,0.1055983734697098,0.19671673829733913,0.09450222643873599
Республика Хакасия,95,2023,0.04212289196555146,0.1081483183360884,0.07628036160220998,0.2810179302750268
Республика Хакасия,95,2024,0.03695425736288794,0.11938565252751163,0.006296482671809536,0.2277138196843765
Чеченская Республика,96,2020,0.007583374170686978,0.6039174467811292,0.019431660192084137,0.15401740580439385
Чеченская Республика,96,2021,0.007052197661904403,0.651022236397387,0.045470663347367074,0.2917660061225142
Чеченская Республика,96,2022,0.00645764387820449,0.6558476016128115,0.02193732347470586,0.522743574702578
Чеченская Республика,96,2023,0.007720024350874121,0.9453681806167239,0.0055280114689200965,0.06450027902485976
Чеченская Республика,96,2024,0.007867484020836047,0.4584621498077434,0.002727555637082443,0.0741259671742407
Чувашская Республика - Чувашия,97,2020,0.042948291956392895,0.18142176696333528,0.02640119046598329,0.5332032990175527
Чувашская Республика - Чувашия,97,2021,0.04197240422872213,0.25912828953861566,0.0019129887417367788,0.4836321791179993
Чувашская Республика - Чувашия,97,2022,0.04125542533234879,0.29310212843396755,0.0012766966293270485,0.3603805733981253
Республика Саха (Якутия),98,2020,0.15753016551726193,0.19919966270312586,0.0748575990865852,0.2843016371066732
Республика Саха (Якутия),98,2022,0.2210456857242239,0.21676820867369895,0.03981126871674857,0.23092723585695457
Республика Саха (Якутия),98,2023,0.2214950284376404,0.14213623104914036,0.07869477825044831,0.20146472106656618
Республика Саха (Якутия),98,2024,0.2081433987809018,0.14993420995265377,0.22051579484505404,0.6265890853950902
Еврейская автономная область,99,2020,0.0033471370429851376,0.5588302246857744,0.10368826968209022,0.16807317967891933
