sector,okved2,year,factoriescap_s,ITusage_s,AIusage_s,BDusage_s
"Производство целлюлозы, древесной массы, бумаги и картона",17.1,2024.0,0.0069253387735642765,0.004150964006772626,0.005457025920873124,0.0017705382436260624
Производство изделий из бумаги и картона,17.2,2021.0,0.011363405402899169,0.012999071494893221,0.01637107776261937,0.019475920679886686
Производство изделий из бумаги и картона,17.2,2023.0,0.00982241892836896,0.014200666338958981,0.017735334242837655,0.011862606232294617
Производство изделий из бумаги и картона,17.2,2024.0,0.009452678475763712,0.015183789393194603,0.009549795361527967,0.006373937677053824
Деятельность полиграфическая и копирование носителей информации,18,2021.0,0.004957823393678177,0.01583920476268502,0.01637107776261937,0.016111898016997167
Деятельность полиграфическая и копирование носителей информации,18,2023.0,0.0050315970407804455,0.014582991971161724,0.01637107776261937,0.008144475920679886
Деятельность полиграфическая и копирование носителей информации,18,2024.0,0.004354476224249285,0.014036812496586379,0.005457025920873124,0.005488668555240793
Деятельность полиграфическая и предоставление услуг в этой области,18.1,2021.0,0.004947137129069116,0.015511497077939812,0.01637107776261937,0.015580736543909348
Деятельность полиграфическая и предоставление услуг в этой области,18.1,2023.0,0.00502485932920904,0.014309902233874051,0.01637107776261937,0.00796742209631728
Деятельность полиграфическая и предоставление услуг в этой области,18.1,2024.0,0.0043501427805970865,0.01370910481184117,0.005457025920873124,0.005311614730878187
Производство кокса и нефтепродуктов,19,2021.0,0.1978091093339837,0.009831230542356219,0.01637107776261937,0.011685552407932011
Производство кокса и нефтепродуктов,19,2023.0,0.16889353862434597,0.01021355617455896,0.021828103683492497,0.0060198300283286115
Производство кокса и нефтепродуктов,19,2024.0,0.15619482149407943,0.010432027964389098,0.023192360163710776,0.003895184135977337
Производство кокса,19.1,2021.0,0.0050567626429784095,0.00043694357966027634,0.001364256480218281,0.0005311614730878187
Производство кокса,19.1,2024.0,0.002653455803729543,0.0005461794745753454,0.001364256480218281,0.00017705382436260624
Производство нефтепродуктов,19.2,2021.0,0.1927327208023622,0.009394286962695942,0.015006821282401092,0.011154390934844192
Производство нефтепродуктов,19.2,2023.0,0.16598609130884787,0.00961275875252608,0.021828103683492497,0.0056657223796034
Производство нефтепродуктов,19.2,2024.0,0.15350954413272996,0.009831230542356219,0.021828103683492497,0.003718130311614731
Производство химических веществ и химических продуктов,20,2021.0,0.08357964141151422,0.05161396034737015,0.06002728512960437,0.05931303116147309
Производство химических веществ и химических продуктов,20,2023.0,0.06836209309402698,0.05625648588126058,0.047748976807639835,0.034879603399433426
Производство химических веществ и химических продуктов,20,2024.0,0.06422668234621609,0.06237369599650445,0.06412005457025921,0.02160056657223796
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2021.0,0.0667152709103046,0.023321863564367253,0.03274215552523874,0.026912181303116147
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2023.0,0.04904799725874751,0.024905784040635752,0.03137789904502047,0.017528328611898018
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2024.0,0.046106105098658846,0.026817412201649463,0.027285129604365622,0.008321529745042492
Производство пестицидов и прочих агрохимических продуктов,20.2,2021.0,0.0012142327706610113,0.004697143481347971,0.001364256480218281,0.00141643059490085
Производство пестицидов и прочих агрохимических продуктов,20.2,2024.0,0.0011596077053647792,0.005188705008465782,0.001364256480218281,0.0005311614730878187
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2021.0,0.0032078006873507018,0.005680266535583593,0.0068212824010914054,0.006905099150141643
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2023.0,0.003819153567513941,0.006062592167786335,0.004092769440654843,0.003186968838526912
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2024.0,0.0035279586156289878,0.007264187011852095,0.004092769440654843,0.003186968838526912
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2021.0,0.006407249257042613,0.006062592167786335,0.008185538881309686,0.009383852691218131
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2023.0,0.007114952120869406,0.006827243432191818,0.008185538881309686,0.007436260623229462
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2024.0,0.006404036410186564,0.008138074171172648,0.019099590723055934,0.005488668555240793
Производство прочих химических продуктов,20.5,2021.0,0.005578261883030973,0.011196679228794582,0.009549795361527967,0.014341359773371105
Производство прочих химических продуктов,20.5,2023.0,0.006592916129611154,0.012780599705063084,0.002728512960436562,0.0060198300283286115
Производство прочих химических продуктов,20.5,2024.0,0.00663621775955171,0.014091430444043913,0.010914051841746248,0.003895184135977337
Производство химических волокон,20.6,2021.0,0.0004568259031243271,0.0006554153694904145,0.001364256480218281,0.0003541076487252125
Производство химических волокон,20.6,2023.0,0.0004634880108132502,0.0006554153694904145,0.001364256480218281,0.0003541076487252125
Производство химических волокон,20.6,2024.0,0.00039276667317223655,0.0008738871593205527,0.001364256480218281,0.00017705382436260624
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2023.0,0.014012526891164338,0.01993555082200011,0.02592087312414734,0.015403682719546742
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2024.0,0.013575092346812213,0.021574089245726145,0.03547066848567531,0.009029745042492918
Производство фармацевтических субстанций,21.1,2023.0,0.0005456595725703425,0.0027308973728767272,0.002728512960436562,0.0017705382436260624
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.2,2023.0,0.013466867318593997,0.01720465344912338,0.023192360163710776,0.01363314447592068
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.2,2024.0,0.01309320746287955,0.0196078431372549,0.03547066848567531,0.008321529745042492
Производство резиновых и пластмассовых изделий,22,2021.0,0.02873919226447822,0.04440439128297559,0.07639836289222374,0.0568342776203966
Производство резиновых и пластмассовых изделий,22,2023.0,0.026734253218935456,0.04675296302364957,0.04365620736698499,0.037358356940509915
Производство резиновых и пластмассовых изделий,22,2024.0,0.02566757181644488,0.053525588508383855,0.03956343792633015,0.021423512747875354
Производство резиновых изделий,22.1,2021.0,0.005010587817594832,0.005571030640668524,0.008185538881309686,0.008321529745042492
Производство резиновых изделий,22.1,2023.0,0.004733735527114028,0.00540717679829592,0.009549795361527967,0.004957507082152974
Производство резиновых изделий,22.1,2024.0,0.0043951431634201435,0.006226446010158938,0.0068212824010914054,0.002478753541076487
Производство изделий из пластмасс,22.2,2021.0,0.02372862032543407,0.03883336064230706,0.06821282401091405,0.04851274787535411
Производство изделий из пластмасс,22.2,2023.0,0.022000517691821424,0.04134578622535365,0.034106412005457026,0.032400849858356943
Производство изделий из пластмасс,22.2,2024.0,0.021272428653024738,0.047299142498224915,0.03274215552523874,0.018944759206798868
Производство прочей неметаллической минеральной продукции,23,2021.0,0.033285602409982906,0.06652466000327707,0.04365620736698499,0.07188385269121814
Производство прочей неметаллической минеральной продукции,23,2023.0,0.03470652269259259,0.07089409579987985,0.06821282401091405,0.04373229461756374
Производство прочей неметаллической минеральной продукции,23,2024.0,0.03373709837574197,0.0747719700693648,0.05320600272851296,0.021954674220963172
Производство стекла и изделий из стекла,23.1,2021.0,0.005026656910885127,0.009995084384728821,0.0068212824010914054,0.01080028328611898
Производство стекла и изделий из стекла,23.1,2023.0,0.004404407593269335,0.009558140805068546,0.009549795361527967,0.005488668555240793
Производство стекла и изделий из стекла,23.1,2024.0,0.004325381662062673,0.009394286962695942,0.009549795361527967,0.0030099150141643057
Производство огнеупорных изделий,23.2,2021.0,0.0012329853390165841,0.0023485717406739855,0.001364256480218281,0.001593484419263456
Производство огнеупорных изделий,23.2,2023.0,0.00129394958202889,0.00240318968813152,0.002728512960436562,0.000708215297450425
Производство огнеупорных изделий,23.2,2024.0,0.0012109842993282551,0.00240318968813152,0.004092769440654843,0.00017705382436260624
Производство строительных керамических материалов,23.3,2021.0,0.0021267254427098717,0.00791960238134251,0.0068212824010914054,0.007259206798866855
Производство строительных керамических материалов,23.3,2023.0,0.002034741362207795,0.007318804959309629,0.004092769440654843,0.004426345609065156
Производство строительных керамических материалов,23.3,2024.0,0.001808791280043976,0.007428040854224698,0.002728512960436562,0.0028328611898017
"Производство цемента, извести и гипса",23.5,2021.0,0.0046921434836650995,0.005297940903380851,0.004092769440654843,0.004603399433427762
"Производство цемента, извести и гипса",23.5,2023.0,0.005179101826910711,0.006226446010158938,0.010914051841746248,0.004072237960339943
"Производство цемента, извести и гипса",23.5,2024.0,0.004996629108884069,0.006881861379649353,0.008185538881309686,0.0010623229461756375
"Производство изделий из бетона, цемента и гипса",23.6,2021.0,0.012405070084746998,0.028892894205035775,0.015006821282401092,0.03558781869688385
"Производство изделий из бетона, цемента и гипса",23.6,2023.0,0.013699775866741357,0.03206073515757278,0.03274215552523874,0.021954674220963172
"Производство изделий из бетона, цемента и гипса",23.6,2024.0,0.013536755749193451,0.03386312742367142,0.020463847203274217,0.010623229461756374
"Производство абразивных и неметаллических минеральных изделий, не включенных в другие группировки",23.9,2021.0,0.006685981335716387,0.009066579277950735,0.009549795361527967,0.008675637393767706
"Производство абразивных и неметаллических минеральных изделий, не включенных в другие группировки",23.9,2023.0,0.006748620247283342,0.010432027964389098,0.008185538881309686,0.006196883852691218
"Производство абразивных и неметаллических минеральных изделий, не включенных в другие группировки",23.9,2024.0,0.006573179541480717,0.011742858703369927,0.008185538881309686,0.0033640226628895184
Производство металлургическое,24,2021.0,0.17025450458604302,0.031022994155879623,0.04911323328785812,0.03611898016997167
Производство металлургическое,24,2023.0,0.1364476904687533,0.03353541973892621,0.061391541609822645,0.022131728045325778
Производство металлургическое,24,2024.0,0.12307736589521369,0.0358839914796002,0.07639836289222374,0.016288951841359773
"Производство чугуна, стали и ферросплавов",24.1,2021.0,0.07396711615667936,0.007264187011852095,0.015006821282401092,0.009029745042492918
"Производство чугуна, стали и ферросплавов",24.1,2023.0,0.051321386701182005,0.007373422906767164,0.019099590723055934,0.008144475920679886
"Производство чугуна, стали и ферросплавов",24.1,2024.0,0.04350384739464624,0.007264187011852095,0.021828103683492497,0.004426345609065156
"Производство стальных труб, полых профилей и фитингов",24.2,2021.0,0.012836617335185407,0.004860997323720574,0.0068212824010914054,0.006373937677053824
"Производство стальных труб, полых профилей и фитингов",24.2,2023.0,0.013192997762004596,0.005188705008465782,0.013642564802182811,0.004426345609065156
"Производство стальных труб, полых профилей и фитингов",24.2,2024.0,0.010414187316506148,0.0060079742203288005,0.015006821282401092,0.004426345609065156
Производство прочих стальных изделий первичной обработкой,24.3,2021.0,0.006335652872016976,0.005352558850838385,0.005457025920873124,0.005134560906515581
Производство прочих стальных изделий первичной обработкой,24.3,2023.0,0.0047540080772742015,0.005188705008465782,0.004092769440654843,0.0017705382436260624
Производство прочих стальных изделий первичной обработкой,24.3,2024.0,0.004802685193667381,0.006444917799989076,0.01227830832196453,0.0030099150141643057
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2021.0,0.07551408395688401,0.009995084384728821,0.020463847203274217,0.012039660056657223
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2023.0,0.06535668159123667,0.012179802283030203,0.023192360163710776,0.006196883852691218
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2024.0,0.062443971058861555,0.012671363810148014,0.02455661664392906,0.003895184135977337
Литье металлов,24.5,2021.0,0.0016010183867265478,0.0035501665847397453,0.001364256480218281,0.0035410764872521247
Литье металлов,24.5,2023.0,0.0018226163370558277,0.00360478453219728,0.001364256480218281,0.001593484419263456
Литье металлов,24.5,2024.0,0.001912674931532371,0.0034955486372822107,0.002728512960436562,0.0005311614730878187
"Производство готовых металлических изделий, кроме машин и оборудования",25,2021.0,0.05507160908786619,0.0686001420066634,0.07366984993178717,0.07878895184135977
"Производство готовых металлических изделий, кроме машин и оборудования",25,2023.0,0.06155342759706054,0.08045223660494838,0.08458390177353342,0.058958923512747875
"Производство готовых металлических изделий, кроме машин и оборудования",25,2024.0,0.06902312024125444,0.08596864929815938,0.10368349249658936,0.032400849858356943
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2021.0,0.025980659290127158,0.021464853350811077,0.02592087312414734,0.021423512747875354
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2023.0,0.029885945549669335,0.026161996832159046,0.03547066848567531,0.0169971671388102
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2024.0,0.03551038913341782,0.026380468621989187,0.02455661664392906,0.00796742209631728
