region,okato,year,VDS_r,ITcosts_r,skvozcosts_r,trainingcosts_r
Красноярский край,4,2020,0.39801301194539246,0.2654302610594609,0.09931996055310365,0.1888274258960966
Красноярский край,4,2021,0.41062569366429874,0.2967598732284769,0.04782038504383448,0.21864633118085353
Красноярский край,4,2022,0.36720778565189555,0.4043214410463277,0.08519052604146632,0.3341999287408632
Красноярский край,4,2023,0.36428828492951026,0.3869747165977185,0.2719894028975654,0.5084489857097985
Красноярский край,4,2024,0.35114446866070775,0.38989913791041186,0.3745765129821012,0.5700679714886192
Город Санкт-Петербург город федерального значения,40,2020,0.7973935753159302,0.7379690216505745,0.6335507361055,0.4320351545774216
Ленинградская область,41,2020,0.17984722350336682,0.4015673774467077,0.08674180457855243,0.11876221327450862
Ленинградская область,41,2021,0.19247002640946267,0.5711108015646423,0.10073276139464746,0.12276699868858267
Ленинградская область,41,2022,0.18290034912130307,0.3596808342417288,0.04743978739356216,0.5188551596531572
Ленинградская область,41,2023,0.1879301549104478,0.25784271204219944,0.17348131742910108,0.2623636041168704
Ленинградская область,41,2024,0.19509943921481956,0.30121082039565794,0.04730469610981368,0.2075636535017727
Липецкая область,42,2020,0.09040038972419519,0.39320685745515266,0.03620755623836808,0.1762234491654016
Липецкая область,42,2022,0.08640118899219347,0.47868611783813625,0.013201406634358193,0.239724471000462
Липецкая область,42,2023,0.09280901372572516,0.4255776498489894,0.05589379445607134,0.2778810626366419
Липецкая область,42,2024,0.08477583605845193,0.47735157597464395,0.12907203532016892,0.26292937201597505
Магаданская область,44,2020,0.04153572087445807,0.23251505623508129,0.006134908323815835,0.4529909154370302
Магаданская область,44,2021,0.0419769212545996,0.87042695983207,0.1274209140527754,0.06827117595761106
Магаданская область,44,2024,0.04279396047534327,0.19420111277373098,0.10957253043402924,0.21566832284333057
Московская область,46,2020,0.7905661954616733,0.4834152963162811,0.1137191440836455,0.30689466939945415
Московская область,46,2021,0.8955450089043682,0.5012032728332597,0.13623580978898964,0.3161822094086308
Московская область,46,2023,0.9073471490466976,0.37242414949798797,0.14316347834870372,0.3883209700718281
Московская область,46,2024,0.8832007089411029,0.39581997371488736,0.08897720648883896,0.3387624097721028
Мурманская область,47,2020,0.11646333940595885,0.2503857467359254,0.019694008802243222,0.271869039457715
Мурманская область,47,2021,0.144995015575713,0.20798655486273646,0.031381366051928934,0.5271684500172799
Мурманская область,47,2022,0.12723979854027057,0.2600732757380757,0.16660502546186,0.23898630122259737
Мурманская область,47,2023,0.11042648501493596,0.24328764855569313,0.7801958264002047,0.17619007841665588
Мурманская область,47,2024,0.09095928593011053,0.31614451864333354,0.23980092738900213,0.2689690839607323
Новгородская область,49,2020,0.04095729320404022,0.34201523996137545,0.16322788433459465,0.26050060623580573
Новгородская область,49,2021,0.045492640324109004,0.27936067433926065,0.026504770990438728,0.197849033364762
Новгородская область,49,2022,0.04185552224658425,0.26798734858010237,0.2069637732590808,0.21732994157419444
Приморский край,5,2020,0.16390263236786273,0.37135911872010025,0.19037265738345488,0.5882559584629932
Приморский край,5,2021,0.18024217958813352,0.3266088457091245,0.1448658736575809,0.17308710109905268
Приморский край,5,2022,0.17630014739850697,0.31019411471324476,0.04917932928155811,0.496154317061976
Приморский край,5,2023,0.1857390393831823,0.2992683947708137,0.11978258477314778,0.28696195981296385
Приморский край,5,2024,0.1732974552725736,0.49623886570237236,0.03371316371221512,0.32567732426211116
Новосибирская область,50,2020,0.20716716343049532,0.7310828474510215,0.1915097832814373,0.18402840933944553
Новосибирская область,50,2021,0.2222800160531554,0.8863630860168178,0.017302050261925512,0.26829431367206696
Новосибирская область,50,2022,0.2192236035350755,0.8756105939588625,0.007581523146101084,0.2675219517111797
Новосибирская область,50,2023,0.2248617540503481,0.8713651776393609,0.01410279212575214,0.1617041137126498
Новосибирская область,50,2024,0.21875681843203584,1.0,0.033782137541293826,0.18478127867659783
Омская область,52,2020,0.11468428016326908,0.38159086253845154,0.021319804778214768,0.23400097623382973
Омская область,52,2021,0.10684519851527584,0.4413640672651413,0.039789344324965295,0.2967536814990489
Омская область,52,2023,0.11978061261946542,0.4221454851093476,0.019782107611983152,0.12137130126181807
Омская область,52,2024,0.11463438867490393,0.38709443394693227,0.06790624451068178,0.1618302526211035
Оренбургская область,53,2020,0.15351341262337423,0.2803490602003125,0.46460767289450816,0.22660769240443068
Оренбургская область,53,2021,0.1855830913435229,0.41692336103578487,0.008207789596889592,0.09432998541769344
Оренбургская область,53,2022,0.17356044413031227,0.2998683456778263,0.03440273521639031,0.14126967121555192
Оренбургская область,53,2023,0.17381736374159032,0.3364410689412236,0.00791699448778501,0.18130875731675558
Оренбургская область,53,2024,0.16779254708353022,0.35161754508131715,0.06850053763931913,0.15375347329181122
Орловская область,54,2020,0.04169294518494603,0.2595139329738805,0.018098355208570012,0.36860043453567837
