region,okato,year,VDS_r,ITcosts_r,skvozcosts_r,trainingcosts_r,RDcosts_r,RDsalary_r,RDequip_r
Красноярский край,4,2023,0.3436774411980368,0.3869747165977185,0.28927570458833457,0.5084489857097985,0.5284614087473809,0.22467281731790859,0.026022996536299147
Красноярский край,4,2024,0.33127728085877894,0.38989913791041186,0.3983827441834084,0.5700679714886192,0.45302272166897517,0.24622819251308564,0.07424421497702305
Город Санкт-Петербург город федерального значения,40,2024,0.991130260975338,0.8125250154732216,0.057502311852347596,0.40656587086170565,0.628932263919189,0.5192900777156202,0.12234487891484835
Ленинградская область,41,2021,0.18158038268104681,0.5711108015646423,0.10713483767064097,0.12276699868858267,0.23320380117363246,0.656377701030743,0.10443592666889484
Ленинградская область,41,2022,0.1725521423023532,0.3596808342417288,0.0504548257306988,0.5188551596531572,0.2176956652995186,0.6541022864332158,0.04930271134196472
Ленинградская область,41,2023,0.17729736979071672,0.25784271204219944,0.1845069322466054,0.2623636041168704,0.19863391602929023,0.6930333433542799,0.040857059660633195
Ленинградская область,41,2024,0.18406102754991285,0.30121082039565794,0.050311148712867335,0.2075636535017727,0.20643062186810573,0.5980357771354662,0.14921576012342255
Липецкая область,42,2020,0.08528568144794572,0.39320685745515266,0.03850872949715729,0.1762234491654016,0.06589249977250948,0.31548652204591543,0.09981569364063303
Липецкая область,42,2024,0.07997935595878616,0.47735157597464395,0.13727521573314388,0.26292937201597505,0.05361749105542028,0.5693352313224547,0.0700893716616072
Магаданская область,44,2020,0.039185696765439,0.23251505623508129,0.006524812764948167,0.4529909154370302,0.09391490343741976,1.0,0.003258676002239329
Магаданская область,44,2021,0.039601934739525876,0.87042695983207,0.13551915736139206,0.06827117595761106,0.08974986308694714,0.9277918152148199,0.04557641511158969
Московская область,46,2023,0.8560109104882214,0.37242414949798797,0.15226224121031282,0.3883209700718281,0.9449925071453517,0.4404197623152528,0.0841959816199053
Московская область,46,2024,0.8332306370266738,0.39581997371488736,0.09463215781628902,0.3387624097721028,0.934972185752785,0.4303488738010914,0.10973369761700584
Мурманская область,47,2020,0.10987403146429321,0.2503857467359254,0.02094566263150823,0.271869039457715,0.11708483475605314,0.9006235817725635,0.03252369822676778
Мурманская область,47,2021,0.13679143140486366,0.20798655486273646,0.03337581052389392,0.5271684500172799,0.09975461276150398,0.828025520839091,0.0469316727012418
Мурманская область,47,2022,0.12004077591826903,0.2600732757380757,0.17719361715937051,0.23898630122259737,0.10337334958304396,0.8437276504750202,0.039434039685707904
Мурманская область,47,2023,0.10417873256003847,0.24328764855569313,0.8297812157181561,0.17619007841665588,0.1103746796523699,0.8799514062211867,0.08430483248174225
Мурманская область,47,2024,0.08581295620777349,0.31614451864333354,0.25504148872121585,0.2689690839607323,0.1180226724590462,0.8733653241595328,0.08318060355212786
Новгородская область,49,2020,0.038639995599874986,0.34201523996137545,0.17360184163916081,0.26050060623580573,0.1766218283860838,0.8132890539187003,0.0029238082359646055
Новгородская область,49,2021,0.042918740093324,0.27936067433926065,0.028189283190930687,0.197849033364762,0.16804285208623526,0.7218592069272494,0.013124171205993022
Новгородская область,49,2022,0.039487404291623146,0.26798734858010237,0.2201173674267323,0.21732994157419444,0.15932030670054953,0.6985225191236855,0.01179529781355468
Приморский край,5,2020,0.15462928572822307,0.37135911872010025,0.20247180225507774,0.5882559584629932,0.2505919830526704,0.7361540071933499,0.09449696334054401
Приморский край,5,2021,0.17004436771496267,0.3266088457091245,0.15407283234811825,0.17308710109905268,0.22103402799776417,0.7103680565001432,0.09099871302392962
Приморский край,5,2022,0.1663253693499362,0.31019411471324476,0.0523049243005334,0.496154317061976,0.20042858625721252,0.7596440973091995,0.040097555924939986
Приморский край,5,2023,0.17523022404672003,0.2992683947708137,0.12739537363782494,0.28696195981296385,0.1777174159008938,0.7530972400432531,0.02012702786591159
Приморский край,5,2024,0.1634925647025236,0.49623886570237236,0.035855805714701976,0.32567732426211116,0.1495159461258353,0.7656707784744587,0.03705910961241095
Новосибирская область,50,2020,0.1954459793891672,0.7310828474510215,0.20368119825301076,0.18402840933944553,0.6610110099773666,0.6622580289172239,0.29915260254732456
Новосибирская область,50,2021,0.20970377118053343,0.8863630860168178,0.01840168303257848,0.26829431367206696,0.6262286966371011,0.6660810174165526,0.11012026289794556
Новосибирская область,50,2022,0.20682028555413562,0.8756105939588625,0.008063367273051908,0.2675219517111797,0.5886530268356189,0.6818429113304962,0.13936521499438304
Новосибирская область,50,2023,0.21213943860500364,0.8713651776393609,0.014999095866893733,0.1617041137126498,0.6247149553557182,0.6501061826575132,0.1683208775683992
Новосибирская область,50,2024,0.20637991039951578,1.0,0.03592916317933972,0.18478127867659783,0.6478677350901567,0.6255237298405016,0.1699945507782488
Омская область,52,2020,0.10819562852474865,0.38159086253845154,0.022674786161527412,0.23400097623382973,0.2474784359354562,0.6083280338990934,0.11018340090456175
Омская область,52,2021,0.10080006947555738,0.4413640672651413,0.04231815832562797,0.2967536814990489,0.3260265913955079,0.4986464126045055,0.1736479084027534
Омская область,52,2023,0.11300361870861904,0.4221454851093476,0.021039360566021178,0.12137130126181807,0.2221205420318858,0.6098647609223107,0.26418829696923857
Омская область,52,2024,0.10814855981634311,0.38709443394693227,0.07222202967287382,0.1618302526211035,0.1834879811003036,0.6810898651798154,0.0912787612073121
Оренбургская область,53,2020,0.1448278712838337,0.2803490602003125,0.4941358394919597,0.22660769240443068,0.029424580449934446,0.8047344946133391,0.11099976840739675
Оренбургская область,53,2021,0.17508309929567195,0.41692336103578487,0.008729436123094972,0.09432998541769344,0.025190440398027664,0.7728520465026458,0.600278995748858
Оренбургская область,53,2022,0.1637406740747718,0.2998683456778263,0.03658920297433507,0.14126967121555192,0.027013950158263356,0.7702423858882371,0.6033238708182147
Оренбургская область,53,2023,0.16398305758873716,0.3364410689412236,0.008420159514591404,0.18130875731675558,0.03236346846211974,0.7197644948663456,0.6546540278506118
Оренбургская область,53,2024,0.1582991153419255,0.35161754508131715,0.07285409313449082,0.15375347329181122,0.029001700647402713,0.7839375234454032,0.37323625223927526
Орловская область,54,2020,0.03933402557797022,0.2595139329738805,0.019248597184577696,0.36860043453567837,0.08723247350302513,0.5685261582116599,0.6409249348730854
Орловская область,54,2021,0.04230815296143269,0.3166150479844366,0.04706561465004129,0.15254900126645515,0.0676155371851731,0.6526205157956386,0.5371726371124768
Орловская область,54,2022,0.03849245244625399,0.31360801841644503,0.006552753862137727,0.24163815654811174,0.08061545746847616,0.6373580717468925,0.7200782555596001
Орловская область,54,2023,0.03680751005188305,0.31268874548714043,0.0009123733116053345,0.07362927863079612,0.07985945590438619,0.6916036894678419,0.7890726977651501
Пензенская область,56,2020,0.06721006578907561,0.2615714154940997,0.2658504816470899,0.4201028173664695,0.27942937259988077,0.6605317934373688,0.0938438256311217
Пензенская область,56,2021,0.06745898944340058,0.26056099584551307,0.21212007011073886,0.20283248773084936,0.32892075440414487,0.5959198664286541,0.1490893894056945
Пензенская область,56,2022,0.06182743836731118,0.28651781277196686,0.18314248929821425,0.12277720758936883,0.2890959112327304,0.6151176467782014,0.030819089778428566
Пензенская область,56,2023,0.061161077786536976,0.2697298027521901,0.07163502847367459,0.1710709131207414,0.2726902580505888,0.6942323954816313,0.022805711531806373
Пензенская область,56,2024,0.06148140846347061,0.26793476649054593,0.04995879360362959,0.19909467414711066,0.3013699629732662,0.5579560728710936,0.030592044575496254
Пермский край,57,2021,0.21982052511096375,0.41886383674968053,0.12680319407977847,1.0,0.5653054469393617,0.33785764570886473,0.07047147014347391
Пермский край,57,2022,0.20920289695068298,0.515453839463184,0.04882769989273922,0.5689433907437372,0.5209886505074796,0.39468453406078324,0.051584758937998285
Пермский край,57,2024,0.1993606368448253,0.5354971398025211,0.1215073716635522,0.489385740904679,0.5104078639994396,0.34900180867860076,0.045277280407613155
Ростовская область,60,2020,0.2397581073425183,0.2912627957298257,0.23228426623992451,0.3894819706771706,0.31141087249546,0.5608417182393975,0.21077828806080876
Ростовская область,60,2021,0.2567680809252578,0.31428512964635347,0.4082785473368295,0.21426592765316108,0.24538586590074687,0.6115738172903481,0.22460116573825922
Ростовская область,60,2022,0.24468701339212437,0.2771742005519826,0.11188667588685713,0.48941705908697314,0.21675975442823056,0.5698333015211876,0.42635094562909087
Ростовская область,60,2023,0.25351464761989884,0.2701562267979973,0.09443490797870237,0.1902025841675076,0.22771729927470477,0.5231964604166314,0.6093231458730146
Рязанская область,61,2020,0.06462258016069838,0.4073148360162691,0.02370007032664761,0.27346916298450097,0.12433081242942717,0.614226469530148,0.17367726853570503
Рязанская область,61,2021,0.06850559500435169,0.48005001972479466,0.02373047567770221,0.24828699556275796,0.11082951197609557,0.666818826796381,0.032411211007845525
Рязанская область,61,2022,0.06502188627017559,0.5149784576165561,0.019610462609305795,0.4109984924852967,0.13608433114648008,0.6034458938508757,0.057172307050755905
Рязанская область,61,2023,0.06516131283400615,0.4853126654086984,0.03349733901713115,0.18587237280441216,0.12405277078151458,0.6001381760655081,0.2210476757085429
Рязанская область,61,2024,0.06252960941565633,0.5235429823884385,0.05250512798890057,0.2727276017371279,0.08919253337943728,0.6918784350561097,0.15535070488296598
Саратовская область,63,2021,0.12686459103079747,0.40215658747803373,0.18526536429332133,0.1948336325953265,0.2607816279918956,0.4905201643680222,0.11320854116058635
Саратовская область,63,2022,0.12407179514560207,0.3929748596991469,0.9704712221221924,0.19074728876496003,0.1773153112632416,0.6566318154392646,0.11539084205886457
Сахалинская область,64,2022,0.1741862457847857,0.18159793109699002,0.026042486773025737,0.5693313088131816,0.02226531597902953,0.8844019002284024,0.1854188216821902
Сахалинская область,64,2023,0.147729813964791,0.1986601426920498,0.05209641328434543,0.5177729848406791,0.02656229153177584,0.8579454673491407,0.35864722064152565
Сахалинская область,64,2024,0.12842726507920266,0.23407505475438886,0.6446870254396552,0.9472472035709085,0.03545028248692606,0.7860623721260297,0.10148535185782595
Свердловская область,65,2020,0.3543821390277696,0.4697394641114003,0.3637492483529823,0.4242669024492444,0.4392225653416108,0.45831006352395165,0.09618132611352866
Свердловская область,65,2021,0.38992496295639695,0.49071838658704653,0.09148989324855361,0.7448176593443148,0.40079637178835653,0.47294433941204034,0.15123710298289642
Свердловская область,65,2022,0.36560376233010855,0.5081882350438945,0.06505446632014594,0.47346354183124323,0.4461277695501129,0.5110834765874483,0.17422324584696394
Свердловская область,65,2023,0.39011764582625974,0.5005496277466635,0.04595461253840137,0.518907647467148,0.4028870892732611,0.4840000549211031,0.25613910997371103
Свердловская область,65,2024,0.36342990695517174,0.5571540254098029,0.057886965734594766,0.4328791940100683,0.5553076709144339,0.3584133932751837,0.19577144078518288
Смоленская область,66,2020,0.05058336125903404,0.2778909689551339,0.03956065400028358,0.6339274180651845,0.1486224199370926,0.7810174948681108,0.017417020462510025
Смоленская область,66,2021,0.053461714891942284,0.411448483274735,0.01865759537149886,0.2668265055200458,0.15315129284465326,0.6594305217120767,0.6861569634454466
Смоленская область,66,2022,0.050680262711790394,0.3580028143368721,0.010279073934074906,0.2932864379707326,0.12965886094103102,0.814683543658798,0.03408128071567055
Смоленская область,66,2023,0.05188435356983416,0.35264047615191496,0.3675291027972934,0.2218349603685589,0.13978533687601122,0.8829099229597405,0.044602324537363965
Смоленская область,66,2024,0.050167827518361206,0.32877792305399706,0.0036765379367021843,0.30173475442320513,0.10061326388508778,0.8007811451782713,0.14706991161335498
Тамбовская область,68,2020,0.051993865116180094,0.2806337906440533,0.0904212462665493,0.22356467615079587,0.10989040714206574,0.5325980850984038,0.22166372065360615
Тамбовская область,68,2021,0.055077743608439006,0.2744291286092613,0.19416815995354578,0.3048758916325805,0.07680506559471426,0.5664735372480849,0.4134553176877667
Тамбовская область,68,2022,0.04734427323018167,0.24368712093950604,0.15979641149019855,0.3303086637889917,0.07974731029887393,0.586485226657699,0.6160248268021049
