sector,okved2,year,factoriescap_s,ITcosts_s,skvozcosts_s,trainingcosts_s
"Производство одежды, кроме одежды из меха",14.1,2023.0,0.0130218913919232,0.0472882169060733,0.0079775614192725,0.0003944170573135
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2021.0,0.0485193443428967,0.0417280511840031,0.0039837497157243,0.0178671128282636
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2022.0,0.0351202755234243,0.0581245162358791,0.0223867450345735,0.0121155598855249
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2023.0,0.0298631417061374,0.0754283324748704,0.0180575827498073,0.008125467260155
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2024.0,0.029960128361931,0.0550646775744115,0.0215171251121428,0.0149674911836975
Распиловка и строгание древесины,16.1,2022.0,0.013924362360431,0.0190030421577609,0.0094024376254316,0.0138673277189389
Распиловка и строгание древесины,16.1,2023.0,0.0117210489141464,0.0580595416176353,0.0047874615269968,0.002400941891874
"Производство изделий из дерева, пробки, соломки и материалов для плетения",16.2,2021.0,0.0294927779313264,0.0590843377507837,0.0045602199091947,0.0170029900604292
"Производство изделий из дерева, пробки, соломки и материалов для плетения",16.2,2022.0,0.0211959131629932,0.0838248282228622,0.0243204598905979,0.0118546742350979
"Производство изделий из дерева, пробки, соломки и материалов для плетения",16.2,2024.0,0.018594285253874,0.0716585486663584,0.0009893524590138,0.0185318290030169
Производство бумаги и бумажных изделий,17,2021.0,0.0565018371224895,0.065882306565469,0.049542248705269,0.0437271331312143
Производство бумаги и бумажных изделий,17,2024.0,0.0447241697915629,0.0682074184057667,0.0132107551841026,0.0138588288972365
"Производство целлюлозы, древесной массы, бумаги и картона",17.1,2021.0,0.0254712877639901,0.0654719265381382,0.0786442206355192,0.0894439728622637
Производство изделий из бумаги и картона,17.2,2024.0,0.0258128435633718,0.0690498542201433,0.0215088302839378,0.0088679882869652
Деятельность полиграфическая и копирование носителей информации,18,2021.0,0.0135385457152662,0.1978331551841637,0.0196903856636883,0.014474240529714
Деятельность полиграфическая и копирование носителей информации,18,2022.0,0.0138799966060747,0.0579466594462681,0.0004170732963612,0.0326838214402535
Деятельность полиграфическая и копирование носителей информации,18,2023.0,0.0137400026479898,0.1512465848879021,0.0079232753287294,0.0188854451667836
Деятельность полиграфическая и предоставление услуг в этой области,18.1,2021.0,0.0135093642639624,0.1981534458479184,0.0196787757691789,0.0144159317081384
Деятельность полиграфическая и предоставление услуг в этой области,18.1,2022.0,0.0138117444174985,0.0562165363545667,0.000432033607544,0.0322188337206553
Деятельность полиграфическая и предоставление услуг в этой области,18.1,2023.0,0.013721603683589,0.1468767134879165,0.0081699485849923,0.0194734007863964
Производство кокса и нефтепродуктов,19,2021.0,0.5401660077341736,0.0749648539642102,0.0091111759278748,0.004390845145976
Производство кокса и нефтепродуктов,19,2024.0,0.4265280473648731,0.0910292315670002,0.0916961169157706,0.0076771615071435
Производство нефтепродуктов,19.2,2021.0,0.5263036909982757,0.0766427202693572,0.0091284272904301,0.0043599680701864
Производство нефтепродуктов,19.2,2024.0,0.4191952427391263,0.0922108003124667,0.0921045911827937,0.0072292605306225
Производство химических веществ и химических продуктов,20,2021.0,0.228234591324532,0.0640236941225767,0.0698905584580742,0.1173757561761725
Производство химических веществ и химических продуктов,20,2022.0,0.2184393160742367,0.0539487256338771,0.0355241304278441,0.0444136286461805
Производство химических веществ и химических продуктов,20,2023.0,0.1866793649255283,0.084505888098242,0.0090971442978954,0.0241354873720356
Производство химических веществ и химических продуктов,20,2024.0,0.175386617480746,0.1191769740292321,0.0068758460719892,0.0143992557088817
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2021.0,0.1821823153840562,0.0638863791721858,0.0820208033506731,0.1456329099538714
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2022.0,0.1698355514256611,0.056323809773428,0.0373508581605323,0.0491486264753386
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2023.0,0.1339375166078999,0.09468916507013,0.0096311114224126,0.0260721029747202
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2024.0,0.1259039627000438,0.1353583224111934,0.0074990671178623,0.0135198987955525
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2023.0,0.0194291117092126,0.0735215825356956,0.0140921822017558,0.0030140942615511
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2024.0,0.0174877830081835,0.1105461150883769,0.0064352917746096,0.0028611776104637
Производство прочих химических продуктов,20.5,2024.0,0.0181218107988104,0.077008573538902,0.0024924388272834,0.013581237075802
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2023.0,0.0382646215563724,0.1046477588643811,0.0057369690870358,0.022158075233071
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2024.0,0.0370700998669352,0.1199806929499286,0.0761956203708214,0.0244229371832264
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.2,2023.0,0.0367745650372886,0.1051696133786124,0.0059398030093304,0.0220480446969535
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.2,2024.0,0.0357541956862947,0.1216972781438376,0.077885614996214,0.0241748916284354
Производство резиновых и пластмассовых изделий,22,2021.0,0.0784793723771194,0.0488163826931216,0.0028241658470061,0.0386558459500184
Производство резиновых и пластмассовых изделий,22,2022.0,0.0736984421208984,0.0436868497741268,0.0047987633204037,0.0156918649747509
Производство резиновых и пластмассовых изделий,22,2023.0,0.0730043974195574,0.0418068185116855,0.0032304320611857,0.0698463796035394
Производство резиновых и пластмассовых изделий,22,2024.0,0.0700915637454783,0.0468954683400704,0.0022596012130722,0.0164157591784859
Производство изделий из пластмасс,22.2,2021.0,0.0647967838962796,0.0469667491664828,0.0035552272076288,0.0139194318932583
Производство изделий из пластмасс,22.2,2022.0,0.0609352095858751,0.0443189369410773,0.0055120210967101,0.0137257707905573
Производство изделий из пластмасс,22.2,2023.0,0.0600777782665773,0.0408119349448337,0.0001656144759089,0.0819023644657885
Производство изделий из пластмасс,22.2,2024.0,0.0580895536055088,0.0450124835319074,0.0027219844419602,0.0078918712260424
Производство прочей неметаллической минеральной продукции,23,2021.0,0.0908944538973186,0.0776443116386671,0.0245602845746514,0.0284419956367398
Производство прочей неметаллической минеральной продукции,23,2022.0,0.0947875990426082,0.0602539938594815,0.0027524913539986,0.0338615650617136
Производство прочей неметаллической минеральной продукции,23,2023.0,0.0947746232128271,0.0592728286177187,0.0021030693909482,0.0214771586811157
Производство прочей неметаллической минеральной продукции,23,2024.0,0.0921273737267102,0.044174379887844,0.0191210993132102,0.0374616675464267
Производство стекла и изделий из стекла,23.1,2021.0,0.0137265124186863,0.0601534033751619,0.0352613763086859,0.0061511756557882
"Производство изделий из бетона, цемента и гипса",23.6,2021.0,0.0338750687766693,0.1007479536706565,0.0420362411689479,0.0051842882763476
"Производство изделий из бетона, цемента и гипса",23.6,2022.0,0.0371930098621664,0.0797011824086848,0.0050768647949381,0.0064309748847665
"Производство изделий из бетона, цемента и гипса",23.6,2023.0,0.037410578621514,0.0515945793690399,0.0050542092262275,0.0071786014609494
"Производство изделий из бетона, цемента и гипса",23.6,2024.0,0.036965412438962,0.0358887846133574,0.0038229998290532,0.0172093481432438
Производство металлургическое,24,2021.0,0.4649214404263163,0.0579945997540784,0.1032712698238129,0.0110186245362364
Производство металлургическое,24,2022.0,0.386553945167005,0.0827414665553682,0.1045120123702995,0.0173464992155732
Производство металлургическое,24,2023.0,0.3726036908674976,0.11625701073079,0.083343225857347,0.0219689876664281
Производство металлургическое,24,2024.0,0.3360927593370141,0.0844004706324868,0.1230603500795028,0.0077661388246499
"Производство чугуна, стали и ферросплавов",24.1,2021.0,0.2019852471531207,0.0619779168546756,0.198483318129116,0.0071089231668067
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2021.0,0.206209619951438,0.047093150879747,0.0162007627628906,0.0190500721872452
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2022.0,0.1806632134405302,0.0819617144099117,0.0242509422815928,0.0285834575352994
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2023.0,0.1784723559635719,0.1310767205542637,0.0454912646666055,0.0370580916002213
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2024.0,0.1705184896059721,0.0859035822047517,0.1263462996785152,0.0102286655391521
"Производство готовых металлических изделий, кроме машин и оборудования",25,2021.0,0.1503864575329697,0.2485262738970128,0.0329489564369647,0.0100338308982141
"Производство готовых металлических изделий, кроме машин и оборудования",25,2022.0,0.1448174790667643,0.0978641454797295,0.0925219434955581,0.0151144106949704
"Производство готовых металлических изделий, кроме машин и оборудования",25,2023.0,0.1680866435292446,0.1536225935368651,0.3760365025737699,0.0170616836992303
"Производство готовых металлических изделий, кроме машин и оборудования",25,2024.0,0.1884844607389819,0.1861541327081682,0.1295277523050799,0.3002828060322566
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2021.0,0.0709465254370807,0.435589508287944,0.0385058214739574,0.0066375868362174
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2022.0,0.068854331878117,0.1352058129757017,0.1368561108990738,0.0168916691326022
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2023.0,0.0816108618520145,0.2471803320008679,0.4794136108156863,0.0171885175439547
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2024.0,0.0969697765480504,0.2956287363950519,0.1573218560269798,0.3641275544407625
Производство строительных металлических конструкций и изделий,25.1,2021.0,0.0381160919127291,0.0955021892186364,0.0007089406983261,0.032337090845978
Производство строительных металлических конструкций и изделий,25.1,2022.0,0.0372932815960006,0.0338999347531696,0.0051475718356652,0.0209903663762135
Производство строительных металлических конструкций и изделий,25.1,2023.0,0.0416400365069396,0.0327552307054603,0.0038122645129277,0.0409455939782238
Производство строительных металлических конструкций и изделий,25.1,2024.0,0.0424805118680905,0.048311571688266,0.0163077100359403,0.029018147848014
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2022.0,0.0238664677986687,0.0627955906613535,0.0006173900101473,0.0123806461605814
"Производство компьютеров, электронных и оптических изделий",26,2021.0,0.0734716532203274,0.4520940035093742,0.0129010365285747,0.0178034026903323
