sector,okved2,year,PCusage_s
"Выращивание прочих однолетних культур, не включенных в другие группировки",01.19.9,2024.0,3.0
Выращивание многолетних культур,01.2,2019.0,105.0
Выращивание многолетних культур,01.2,2021.0,116.0
Выращивание многолетних культур,01.2,2022.0,109.0
Выращивание многолетних культур,01.2,2023.0,101.0
Выращивание многолетних культур,01.2,2024.0,105.0
Выращивание винограда,01.21,2021.0,47.0
Выращивание винограда,01.21,2022.0,40.0
Выращивание винограда,01.21,2023.0,36.0
Выращивание винограда,01.21,2024.0,42.0
Выращивание тропических и субтропических культур,01.22,2021.0,
Выращивание тропических и субтропических культур,01.22,2022.0,
Выращивание цитрусовых культур,01.23,2023.0,1.0
Выращивание семечковых и косточковых культур,01.24,2021.0,36.0
Выращивание семечковых и косточковых культур,01.24,2022.0,37.0
Выращивание семечковых и косточковых культур,01.24,2023.0,36.0
Выращивание семечковых и косточковых культур,01.24,2024.0,36.0
"Выращивание прочих плодовых деревьев, кустарников и орехов",01.25,2021.0,25.0
"Выращивание прочих плодовых деревьев, кустарников и орехов",01.25,2022.0,24.0
"Выращивание прочих плодовых деревьев, кустарников и орехов",01.25,2023.0,23.0
"Выращивание прочих плодовых деревьев, кустарников и орехов",01.25,2024.0,20.0
Выращивание прочих плодовых и ягодных культур,01.25.1,2021.0,22.0
Выращивание прочих плодовых и ягодных культур,01.25.1,2022.0,22.0
Выращивание прочих плодовых и ягодных культур,01.25.1,2023.0,21.0
Выращивание прочих плодовых и ягодных культур,01.25.1,2024.0,18.0
Выращивание семян плодовых и ягодных культур,01.25.2,2021.0,1.0
Выращивание семян плодовых и ягодных культур,01.25.2,2022.0,1.0
Выращивание семян плодовых и ягодных культур,01.25.2,2023.0,1.0
Выращивание семян плодовых и ягодных культур,01.25.2,2024.0,1.0
Выращивание орехоплодных культур,01.25.3,2021.0,
Выращивание орехоплодных культур,01.25.3,2023.0,
Выращивание плодов масличных культур,01.26,2021.0,1.0
Выращивание плодов масличных культур,01.26,2022.0,1.0
Выращивание плодов масличных культур,01.26,2024.0,1.0
Выращивание культур для производства напитков,01.27,2021.0,2.0
Выращивание культур для производства напитков,01.27,2022.0,
Выращивание культур для производства напитков,01.27,2023.0,
Выращивание чая,01.27.1,2021.0,2.0
"Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур",01.28,2021.0,2.0
"Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур",01.28,2022.0,2.0
"Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур",01.28,2023.0,2.0
"Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур",01.28,2024.0,3.0
Выращивание хмеля,01.28.2,2024.0,1.0
"Выращивание растений, используемых в основном в парфюмерии, фармации или в качестве инсектицидов, фунгицидов и для аналогичных целей",01.28.3,2023.0,
Выращивание прочих многолетних культур,01.29,2021.0,3.0
Выращивание прочих многолетних культур,01.29,2022.0,5.0
Выращивание прочих многолетних культур,01.29,2023.0,3.0
Выращивание прочих многолетних культур,01.29,2024.0,3.0
Выращивание рассады,01.30,2019.0,10.0
Выращивание рассады,01.30,2021.0,11.0
Выращивание рассады,01.30,2022.0,8.0
Выращивание рассады,01.30,2023.0,6.0
Выращивание рассады,01.30,2024.0,7.0
Животноводство,01.4,2019.0,1964.0
Животноводство,01.4,2021.0,1817.0
Животноводство,01.4,2022.0,1710.0
Животноводство,01.4,2023.0,1637.0
Животноводство,01.4,2024.0,1562.0
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2021.0,1104.0
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2022.0,1019.0
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2023.0,979.0
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2024.0,928.0
Разведение молочного крупного рогатого скота,01.41.1,2021.0,429.0
Разведение молочного крупного рогатого скота,01.41.1,2022.0,380.0
Разведение молочного крупного рогатого скота,01.41.1,2023.0,369.0
Разведение молочного крупного рогатого скота,01.41.1,2024.0,330.0
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2021.0,289.0
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2022.0,249.0
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2023.0,235.0
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2024.0,203.0
Разведение племенного молочного крупного рогатого скота,01.41.12,2021.0,134.0
Разведение племенного молочного крупного рогатого скота,01.41.12,2022.0,128.0
Разведение племенного молочного крупного рогатого скота,01.41.12,2023.0,129.0
Разведение племенного молочного крупного рогатого скота,01.41.12,2024.0,122.0
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2021.0,575.0
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2022.0,556.0
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2023.0,514.0
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2024.0,502.0
Производство сырого коровьего молока,01.41.21,2021.0,565.0
Производство сырого коровьего молока,01.41.21,2022.0,552.0
Производство сырого коровьего молока,01.41.21,2023.0,508.0
Производство сырого коровьего молока,01.41.21,2024.0,494.0
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2021.0,4.0
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2022.0,4.0
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2023.0,6.0
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2024.0,8.0
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2021.0,71.0
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2022.0,60.0
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2023.0,55.0
