sector,okved2,year,AIcosts_s
"Добыча драгоценных камней, кварца, слюды, мусковита и т. д.",08.99.3,2024,
"Добыча драгоценных и полудрагоценных камней, кроме алмазов",08.99.31,2024,
Добыча алмазов,08.99.32,2024,
Предоставление услуг в области добычи полезных ископаемых,09,2024,
Предоставление услуг в области добычи нефти и природного газа,09.10,2024,
"Предоставление услуг по бурению, связанному с добычей нефти, газа и газового конденсата",09.10.1,2024,
"Предоставление услуг по монтажу, ремонту и демонтажу буровых вышек",09.10.2,2024,
Сжижение и обогащение природного газа на месте добычи для последующей транспортировки,09.10.4,2024,
Предоставление прочих услуг в области добычи нефти и природного газа,09.10.9,2024,
Предоставление услуг в других областях добычи полезных ископаемых,09.90,2024,
ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,C,2024,4136.5913
Производство пищевых продуктов,10,2024,202.4157
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2024,17.270799999999998
Переработка и консервирование мяса,10.11,2024,
Производство мяса в охлажденном виде,10.11.1,2024,
Производство пищевых субпродуктов в охлажденном виде,10.11.2,2024,
Производство мяса и пищевых субпродуктов в замороженном виде,10.11.3,2024,
Производство животных жиров,10.11.5,2024,
"Производство субпродуктов, непригодных для употребления в пищу",10.11.6,2024,
Производство и консервирование мяса птицы,10.12,2024,1.2253
Производство мяса птицы в охлажденном виде,10.12.1,2024,
Производство мяса птицы в замороженном виде,10.12.2,2024,
Производство пера и пуха,10.12.5,2024,
Производство продукции из мяса убойных животных и мяса птицы,10.13,2024,12.9255
"Производство соленого, вареного, запеченого, копченого, вяленого и прочего мяса",10.13.1,2024,
Производство колбасных изделий,10.13.2,2024,11.1235
Производство мясных (мясосодержащих) консервов,10.13.3,2024,
Производство мясных (мясосодержащих) полуфабрикатов,10.13.4,2024,
Производство кулинарных мясных (мясосодержащих) изделий,10.13.5,2024,
Производство прочей пищевой продукции из мяса или мясных пищевых субпродуктов,10.13.6,2024,
"Производство муки и гранул из мяса и мясных субпродуктов, непригодных для употребления в пищу",10.13.7,2024,
Предоставление услуг по тепловой обработке и прочим способам переработки мясных продуктов,10.13.9,2024,
"Переработка и консервирование рыбы, ракообразных и моллюсков",10.20,2024,
Переработка и консервирование рыбы,10.20.1,2024,
Переработка и консервирование ракообразных и моллюсков,10.20.2,2024,
Переработка и консервирование фруктов и овощей,10.3,2024,
Переработка и консервирование картофеля,10.31,2024,
Производство соковой продукции из фруктов и овощей,10.32,2024,
Прочие виды переработки и консервирования фруктов и овощей,10.39,2024,
Переработка и консервирование овощей (кроме картофеля) и грибов,10.39.1,2024,
Переработка и консервирование фруктов и орехов,10.39.2,2024,
Производство растительных и животных масел и жиров,10.4,2024,
Производство масел и жиров,10.41,2024,
"Производство нерафинированных животных масел и жиров, их фракций",10.41.1,2024,
Производство нерафинированных растительных масел и их фракций,10.41.2,2024,
Производство нерафинированного соевого масла и его фракций,10.41.21,2024,
Производство нерафинированного подсолнечного масла и его фракций,10.41.24,2024,
Производство нерафинированного рапсового сурепного и горчичного масла и их фракций,10.41.26,2024,
Производство прочих нерафинированных растительных масел и их фракций,10.41.29,2024,
Производство жмыха и муки тонкого и грубого помола из семян или плодов масличных культур,10.41.4,2024,
Производство рафинированных растительных масел и их фракций,10.41.5,2024,
Производство рафинированного подсолнечного масла и его фракций,10.41.54,2024,
Производство прочих рафинированных растительных масел и их фракций,10.41.59,2024,
Производство маргариновой продукции,10.42,2024,
Производство молочной продукции,10.5,2024,91.2173
Производство молока (кроме сырого) и молочной продукции,10.51,2024,91.2173
Производство питьевого молока и питьевых сливок,10.51.1,2024,
"Производство сливочного масла, топленого масла, масляной пасты, молочного жира, спредов и топленых сливочно-растительных смесей",10.51.2,2024,
Производство сыра и сырных продуктов,10.51.3,2024,
Производство молока и сливок в твердой форме,10.51.4,2024,
