sector,okved2,year,trainingcosts_s
"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, открытым способом",05.10.13,2022,1.2089
"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, открытым способом",05.10.13,2023,0.6353
"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, открытым способом",05.10.13,2024,0.3275
Обогащение угля,05.10.2,2021,1.0772
Обогащение угля,05.10.2,2022,1.3925
Обогащение угля,05.10.2,2023,0.9282
Обогащение угля,05.10.2,2024,0.0955
"Обогащение угля, кроме антрацита, угля коксующегося и угля бурого",05.10.23,2023,0.8932
"Обогащение угля, кроме антрацита, угля коксующегося и угля бурого",05.10.23,2024,0.0955
Добыча и обогащение бурого угля (лигнита),05.2,2019,1.8037
Добыча сырой нефти и природного газа,06,2017,127.5892
Добыча сырой нефти и природного газа,06,2018,40.4433
Добыча сырой нефти и природного газа,06,2019,41.005300000000005
Добыча нефти и природного газа,06,2021,42.9344
Добыча нефти и природного газа,06,2022,41.5972
Добыча нефти и природного газа,06,2023,90.2833
Добыча нефти и природного газа,06,2024,45.8352
Добыча сырой нефти и нефтяного (попутного) газа,06.1,2018,25.3737
Добыча сырой нефти и нефтяного (попутного) газа,06.1,2019,29.889
Добыча нефти и нефтяного (попутного) газа,06.1,2021,16.9619
Добыча нефти и нефтяного (попутного) газа,06.1,2022,28.2816
Добыча нефти и нефтяного (попутного) газа,06.1,2023,75.0875
Добыча нефти и нефтяного (попутного) газа,06.1,2024,27.58
Добыча нефти и нефтяного (попутного) газа,06.10,2021,16.9619
Добыча нефти и нефтяного (попутного) газа,06.10,2022,28.2816
Добыча нефти и нефтяного (попутного) газа,06.10,2023,75.0875
Добыча нефти и нефтяного (попутного) газа,06.10,2024,27.58
"Добыча сырой нефти, горючих (битуминозных) сланцев, песка и озокерита",06.10.01.АГ,2021,16.9619
"Добыча сырой нефти, горючих (битуминозных) сланцев, песка и озокерита",06.10.01.АГ,2022,28.2816
"Добыча сырой нефти, горючих (битуминозных) сланцев, песка и озокерита",06.10.01.АГ,2023,75.0875
"Добыча нефти, горючих (битуминозных) сланцев, песка и озокерита",06.10.01.АГ,2024,27.58
Добыча сырой нефти,06.10.1,2018,25.3737
Добыча сырой нефти,06.10.1,2019,29.639
Добыча нефти,06.10.1,2021,16.9619
Добыча нефти,06.10.1,2022,28.2816
Добыча нефти,06.10.1,2023,75.0875
Добыча нефти,06.10.1,2024,27.58
Добыча природного газа и газового конденсата,06.2,2018,15.0696
Добыча природного газа и газового конденсата,06.2,2019,11.1163
Добыча природного газа и газового конденсата,06.2,2021,25.9725
Добыча природного газа и газового конденсата,06.2,2022,13.3156
Добыча природного газа и газового конденсата,06.2,2023,15.195799999999998
Добыча природного газа и газового конденсата,06.2,2024,18.2552
Добыча природного газа и газового конденсата,06.20,2021,25.9725
Добыча природного газа и газового конденсата,06.20,2022,13.3156
Добыча природного газа и газового конденсата,06.20,2023,15.195799999999998
Добыча природного газа и газового конденсата,06.20,2024,18.2552
Добыча природного газа,06.20.1,2018,14.7484
Добыча природного газа,06.20.1,2019,11.1163
Добыча природного газа,06.20.1,2021,25.3315
Добыча природного газа,06.20.1,2022,12.9229
Добыча природного газа,06.20.1,2023,14.3358
Добыча природного газа,06.20.1,2024,17.6797
Добыча металических руд,07,2016,5.9065
Добыча металлических руд,07,2017,9.2467
Добыча металлических руд,07,2018,6.4051
Добыча металлических руд,07,2019,8.8794
Добыча металлических руд,07,2021,17.7568
Добыча металлических руд,07,2022,9.8476
Добыча металлических руд,07,2023,6.0316
Добыча металлических руд,07,2024,11.2279
Добыча и обогащение железных руд,07.1,2021,8.0398
Добыча и обогащение железных руд,07.1,2022,1.5575
Добыча и обогащение железных руд,07.1,2023,1.0161
Добыча и обогащение железных руд,07.1,2024,1.325
Добыча и обогащение железных руд,07.10,2021,8.0398
Добыча и обогащение железных руд,07.10,2022,1.5575
Добыча и обогащение железных руд,07.10,2023,1.0161
Добыча и обогащение железных руд,07.10,2024,1.325
Обогащение и агломерация железных руд,07.10.3,2021,8.0398
Обогащение и агломерация железных руд,07.10.3,2022,1.1927
Обогащение и агломерация железных руд,07.10.3,2024,1.325
Добыча руд цветных металлов,07.2,2021,9.717
Добыча руд цветных металлов,07.2,2022,8.2901
Добыча руд цветных металлов,07.2,2023,5.0155
Добыча руд цветных металлов,07.2,2024,9.9029
Добыча руд прочих цветных металлов,07.29,2021,9.717
Добыча руд прочих цветных металлов,07.29,2022,8.2901
Добыча руд прочих цветных металлов,07.29,2023,5.0155
Добыча руд прочих цветных металлов,07.29,2024,9.9029
"Добыча и обогащение руд цветных металлов, не включенных в другие группировки",07.29.02.АГ,2021,5.6623
"Добыча и обогащение руд цветных металлов, не включенных в другие группировки",07.29.02.АГ,2022,5.3796
"Добыча и обогащение руд цветных металлов, не включенных в другие группировки",07.29.02.АГ,2023,2.607
"Добыча и обогащение руд цветных металлов, не включенных в другие группировки",07.29.02.АГ,2024,3.9102
Добыча и обогащение медной руды,07.29.1,2021,4.0547
Добыча и обогащение медной руды,07.29.1,2022,2.7905
Добыча и обогащение медной руды,07.29.1,2023,2.4085
Добыча и обогащение медной руды,07.29.1,2024,5.9927
Добыча  прочих полезных ископаемых,08,2016,8.924299999999999
Добыча прочих полезных ископаемых,08,2017,6.9988
Добыча прочих полезных ископаемых,08,2018,2.7443
Добыча прочих полезных ископаемых,08,2019,4.4874
Добыча прочих полезных ископаемых,08,2021,8312.026
Добыча прочих полезных ископаемых,08,2022,7.0692
Добыча прочих полезных ископаемых,08,2023,4.524
Добыча прочих полезных ископаемых,08,2024,1.061
"Добыча камня, песка и глины",08.1,2018,1.1952
"Добыча камня, песка и глины",08.1,2019,0.143
"Добыча камня, песка и глины",08.1,2021,0.306
"Добыча камня, песка и глины",08.1,2022,0.4388999999999999
"Добыча камня, песка и глины",08.1,2023,0.182
"Добыча камня, песка и глины",08.1,2024,0.62
"Добыча декоративного и строительного камня, известняка, гипса, мела и сланцев",08.11,2018,0.5712
"Добыча декоративного и строительного камня, известняка, гипса, мела и сланцев",08.11,2019,0.0055
"Добыча декоративного и строительного камня, известняка, гипса, мела и сланцев",08.11,2022,0.0915
"Добыча декоративного и строительного камня, известняка, гипса, мела и сланцев",08.11,2024,0.47
Добыча и первичная обработка камня для памятников и строительства,08.11.1,2018,0.4936
Добыча и первичная обработка камня для памятников и строительства,08.11.1,2019,0.0
Добыча и первичная обработка известняка и гипсового камня,08.11.2,2018,0.0775999999999999
Добыча и первичная обработка известняка и гипсового камня,08.11.2,2019,0.0055
Добыча и первичная обработка известняка и гипсового камня,08.11.2,2024,0.47
"Разработка гравийных и песчаных карьеров, добыча глины и каолина",08.12,2018,0.624
"Разработка гравийных и песчаных карьеров, добыча глины и каолина",08.12,2019,0.1375
"Разработка гравийных и песчаных карьеров, добыча глины и каолина",08.12,2021,0.286
"Разработка гравийных и песчаных карьеров, добыча глины и каолина",08.12,2022,0.3474
"Разработка гравийных и песчаных карьеров, добыча глины и каолина",08.12,2023,0.18
Разработка гравийных и песчаных карьеров,08.12.1,2018,0.03
Разработка гравийных и песчаных карьеров,08.12.1,2019,0.053
Разработка гравийных и песчаных карьеров,08.12.1,2021,0.286
Разработка гравийных и песчаных карьеров,08.12.1,2022,0.3414
Добыча глины и каолина,08.12.2,2018,0.06
Добыча глины и каолина,08.12.2,2019,0.0845
"Добыча полезных ископаемых, не включенных в другие группировки",08.9,2023,4.342
