sector,okved2,year,trainingcosts_s
Производство строительных керамических материалов,23.3,2021,1.094
Производство строительных керамических материалов,23.3,2022,2.3167
Производство строительных керамических материалов,23.3,2023,0.3626
Производство строительных керамических материалов,23.3,2024,0.887
Производство керамических плит и плиток,23.31,2018,0.0243
Производство керамических плит и плиток,23.31,2019,0.2851
Производство керамических плит и плиток,23.31,2021,1.094
"Производство кирпича, черепицы и прочих строительных изделий из обожженной глины",23.32,2018,0.0272
"Производство кирпича, черепицы и прочих строительных изделий из обожженной глины",23.32,2019,0.114
"Производство кирпича, черепицы и прочих строительных изделий из обожженной глины",23.32,2023,0.3606
"Производство кирпича, черепицы и прочих строительных изделий из обожженной глины",23.32,2024,0.8473999999999999
Производство керамических санитарно-технических изделий,23.33,2018,0.0
Производство керамических санитарно-технических изделий,23.33,2019,0.0
Производство керамических изоляторов и изолирующей арматуры,23.34,2018,0.0
Производство керамических изоляторов и изолирующей арматуры,23.34,2019,0.0
"Производство цемента, извести и гипса",23.5,2018,1.1823
"Производство цемента, извести и гипса",23.5,2019,11.658
"Производство цемента, извести и гипса",23.5,2021,2.5242
"Производство цемента, извести и гипса",23.5,2022,2.4965
"Производство цемента, извести и гипса",23.5,2023,3.5419
"Производство цемента, извести и гипса",23.5,2024,5.5783000000000005
Производство цемента,23.51,2018,1.126
Производство цемента,23.51,2019,11.608
Производство цемента,23.51,2021,2.1986
Производство цемента,23.51,2022,2.4965
Производство цемента,23.51,2023,3.5419
Производство цемента,23.51,2024,5.5783000000000005
Производство извести и гипса,23.52,2018,0.0562999999999999
Производство извести и гипса,23.52,2019,0.05
"Производство негашеной, гашеной и гидравлической извести",23.52.1,2018,0.0
"Производство негашеной, гашеной и гидравлической извести",23.52.1,2019,0.05
Производство гипса,23.52.2,2018,0.0562999999999999
Производство гипса,23.52.2,2019,0.0
"Производство изделий из бетона, цемента и гипса",23.6,2018,3.9584
"Производство изделий из бетона, цемента и гипса",23.6,2019,0.6294
"Производство изделий из бетона, цемента и гипса",23.6,2021,1.1994
"Производство изделий из бетона, цемента и гипса",23.6,2022,1.5295
"Производство изделий из бетона, цемента и гипса",23.6,2023,1.2551
"Производство изделий из бетона, цемента и гипса",23.6,2024,2.4782
Производство изделий из бетона для использования в строительстве,23.61,2018,1.4550999999999998
Производство изделий из бетона для использования в строительстве,23.61,2019,0.3853999999999999
Производство изделий из бетона для использования в строительстве,23.61,2021,0.6986
Производство изделий из бетона для использования в строительстве,23.61,2022,1.1878
Производство изделий из бетона для использования в строительстве,23.61,2023,0.6693
Производство изделий из бетона для использования в строительстве,23.61,2024,1.8172
"Производство готовых строительных изделий из бетона, цемента и искусственного камня",23.61.1,2018,0.0
"Производство готовых строительных изделий из бетона, цемента и искусственного камня",23.61.1,2019,0.009
"Производство готовых строительных изделий из бетона, цемента и искусственного камня",23.61.1,2021,0.4993
"Производство готовых строительных изделий из бетона, цемента и искусственного камня",23.61.1,2022,1.1878
"Производство готовых строительных изделий из бетона, цемента и искусственного камня",23.61.1,2023,0.4528
"Производство готовых строительных изделий из бетона, цемента и искусственного камня",23.61.1,2024,1.6262
"Производство сборных строительных конструкций из бетона, цемента и искусственного камня",23.61.11,2018,0.64
"Производство сборных строительных конструкций из бетона, цемента и искусственного камня",23.61.11,2019,0.0665
"Производство сборных строительных конструкций из бетона, цемента и искусственного камня",23.61.2,2021,0.1993
"Производство сборных строительных конструкций из бетона, цемента и искусственного камня",23.61.2,2023,0.2165
"Производство сборных строительных конструкций из бетона, цемента и искусственного камня",23.61.2,2024,0.191
Производство гипсовых изделий для использования в строительстве,23.62,2018,2.427
Производство гипсовых изделий для использования в строительстве,23.62,2019,0.135
Производство товарного бетона,23.63,2018,0.0412999999999999
Производство товарного бетона,23.63,2019,0.0
Производство товарного бетона,23.63,2022,0.3237
Производство сухих бетонных смесей,23.64,2018,0.035
Производство сухих бетонных смесей,23.64,2019,0.061
Производство сухих бетонных смесей,23.64,2021,0.4948
Производство изделий из асбестоцемента и волокнистого цемента,23.65,2018,0.0
Производство изделий из асбестоцемента и волокнистого цемента,23.65,2019,0.048
Производство изделий из асбестоцемента и волокнистого цемента с волокнами целлюлозы или аналогичных материалов,23.65.2,2019,0.0
"Производство прочих изделий из гипса, бетона или цемента",23.69,2018,0.0
"Производство прочих изделий из гипса, бетона или цемента",23.69,2019,0.0
"Резка, обработка и отделка камня",23.70,2018,0.2323
"Резка, обработка и отделка камня",23.70,2019,0.0
"Резка, обработка и отделка камня",23.70.1,2018,0.2323
"Резка, обработка и отделка камня",23.70.1,2019,0.0
"Резка, обработка и отделка камня для использования в строительстве в качестве дорожного покрытия",23.70.11,2018,0.0749
"Резка, обработка и отделка камня для использования в строительстве в качестве дорожного покрытия",23.70.11,2019,0.0
"Резка, обработка и отделка камня для памятников",23.70.12,2018,0.0
"Резка, обработка и отделка камня для памятников",23.70.12,2019,0.0
Производство гранул и порошков из природного камня,23.70.2,2018,0.1574
Производство гранул и порошков из природного камня,23.70.2,2019,0.0
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.9,2018,0.5778
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.9,2019,0.4978
"Производство абразивных и неметаллических минеральных изделий, не включенных в другие группировки",23.9,2021,2.9032
"Производство абразивных и неметаллических минеральных изделий, не включенных в другие группировки",23.9,2022,1.691
"Производство абразивных и неметаллических минеральных изделий, не включенных в другие группировки",23.9,2023,3.0626
"Производство абразивных и неметаллических минеральных изделий, не включенных в другие группировки",23.9,2024,2.8969
"Производство обработанных асбестовых волокон, смесей на основе асбеста и изделий из них",23.91,2018,0.0048
"Производство обработанных асбестовых волокон, смесей на основе асбеста и изделий из них",23.91,2019,0.0
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2021,2.9032
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2022,1.666
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2023,3.0626
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2024,2.8969
Производство изделий из асфальта или аналогичных материалов,23.99.1,2018,0.135
Производство изделий из асфальта или аналогичных материалов,23.99.1,2019,0.0
"Производство битуминозных смесей на основе природного асфальта или битума, нефтяного битума, минеральных смол или их пеков",23.99.11,2018,0.0
"Производство битуминозных смесей на основе природного асфальта или битума, нефтяного битума, минеральных смол или их пеков",23.99.11,2019,0.0
"Производство искусственного графита, коллоидного или полуколлоидного графита, продуктов на основе графита или прочих форм углерода в виде полуфабрикатов",23.99.4,2022,0.8874
Производство минеральных тепло- и звукоизоляционных материалов и изделий,23.99.6,2021,0.5327000000000001
Производство минеральных тепло- и звукоизоляционных материалов и изделий,23.99.6,2022,0.6891
Производство минеральных тепло- и звукоизоляционных материалов и изделий,23.99.6,2023,0.7605
Производство минеральных теплоизоляционных материалов и изделий,23.99.61,2021,0.491
Производство минеральных теплоизоляционных материалов и изделий,23.99.61,2022,0.6891
Производство минеральных теплоизоляционных материалов и изделий,23.99.61,2023,0.7605
  Металлургическое производство и производство готовых металлических изделий,24,2016,29.8498
Производство металлургическое,24,2017,26.856900000000003
Производство металлургическое,24,2018,27.8169
Производство металлургическое,24,2019,22.0883
Производство металлургическое,24,2021,20.1397
Производство металлургическое,24,2022,44.5135
Производство металлургическое,24,2023,86.2018
Производство металлургическое,24,2024,23.9126
Производство прочих цветных металлов; производство ядерного топлива,24.04.АГ,2021,8.359
Производство прочих цветных металлов; производство ядерного топлива,24.04.АГ,2022,5.1975
Производство прочих цветных металлов; производство ядерного топлива,24.04.АГ,2023,66.12339999999999
Производство прочих цветных металлов; производство ядерного топлива,24.04.АГ,2024,5.5352
"Производство чугуна, стали и ферросплавов",24.1,2021,6.0328
"Производство чугуна, стали и ферросплавов",24.1,2022,6.5646
"Производство чугуна, стали и ферросплавов",24.1,2023,4.6258
"Производство чугуна, стали и ферросплавов",24.1,2024,3.7854
"Производство чугуна, стали и ферросплавов",24.10,2021,6.0328
"Производство чугуна, стали и ферросплавов",24.10,2022,6.5646
"Производство чугуна, стали и ферросплавов",24.10,2023,4.6258
"Производство чугуна, стали и ферросплавов",24.10,2024,3.7854
Производство листового горячекатаного стального проката,24.10.3,2021,1.3505
Производство сортового горячекатаного проката и катанки,24.10.6,2022,0.3619
Производство сортового горячекатаного проката и катанки,24.10.6,2023,0.163
"Производство стальных труб, полых профилей и фитингов",24.2,2022,0.8216
"Производство стальных труб, полых профилей и фитингов",24.2,2023,1.1145999999999998
"Производство стальных труб, полых профилей и фитингов",24.2,2024,3.3766
Производство бесшовных труб и пустотелых профилей,24.20,2018,4.7747
Производство бесшовных труб и пустотелых профилей,24.20,2019,4.6134
"Производство стальных труб, полых профилей и фитингов",24.20,2022,0.8216
"Производство стальных труб, полых профилей и фитингов",24.20,2023,1.1145999999999998
"Производство стальных труб, полых профилей и фитингов",24.20,2024,3.3766
Производство сортового горячекатаного проката и катанки,24.31,2018,4.0978
Производство сортового горячекатаного проката и катанки,24.31,2019,0.6965
Производство профилей с помощью холодной штамповки или гибки,24.34,2018,0.053
Производство профилей с помощью холодной штамповки или гибки,24.34,2019,0.0
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2021,12.5407
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2022,33.958
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2023,78.5271
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2024,16.2637
Производство драгоценных металлов,24.41,2021,1.195
Производство драгоценных металлов,24.41,2022,19.833
Производство драгоценных металлов,24.41,2023,1.0656
Производство алюминия,24.42,2021,0.9684
Производство алюминия,24.42,2022,7.395399999999999
Производство алюминия,24.42,2023,8.6976
Производство алюминия,24.42,2024,9.826
Производство меди,24.44,2021,1.4083
Производство меди,24.44,2022,1.1521
Производство меди,24.44,2023,2.2305
Литье металлов,24.5,2022,2.5993000000000004
Литье металлов,24.5,2024,0.0886
28 Производство готовых металлических изделий,25,2016,8.4603
"Производство готовых металлических изделий, кроме машин и оборудования",25,2017,109.4604
"Производство готовых металлических изделий, кроме машин и оборудования",25,2018,44.3986
"Производство готовых металлических изделий, кроме машин и оборудования",25,2019,48.4219
"Производство готовых металлических изделий, кроме машин и оборудования",25,2021,25.4218
"Производство готовых металлических изделий, кроме машин и оборудования",25,2022,17.1863
"Производство готовых металлических изделий, кроме машин и оборудования",25,2023,39.9071
"Производство готовых металлических изделий, кроме машин и оборудования",25,2024,1143.6583999999998
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2021,13.9052
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2022,12.616700000000002
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2023,31.408
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2024,1133.0634
Производство строительных металлических конструкций и изделий,25.1,2018,4.171600000000001
Производство строительных металлических конструкций и изделий,25.1,2019,3.714
Производство строительных металлических конструкций и изделий,25.1,2021,7.9796
Производство строительных металлических конструкций и изделий,25.1,2022,2.1291
Производство строительных металлических конструкций и изделий,25.1,2023,5.0587
Производство строительных металлических конструкций и изделий,25.1,2024,6.4644
"Производство строительных металлических конструкций, изделий и их частей",25.11,2018,4.171600000000001
"Производство строительных металлических конструкций, изделий и их частей",25.11,2019,3.714
"Производство строительных металлических конструкций, изделий и их частей",25.11,2021,7.9786
"Производство строительных металлических конструкций, изделий и их частей",25.11,2022,2.1281
"Производство строительных металлических конструкций, изделий и их частей",25.11,2023,4.9307
"Производство строительных металлических конструкций, изделий и их частей",25.11,2024,6.336399999999999
Производство металлических дверей и окон,25.12,2018,0.0
Производство металлических дверей и окон,25.12,2019,0.0
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2021,0.4772
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2022,0.2018
"Производство прочих металлических цистерн, резервуаров и емкостей",25.29,2021,0.3325
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2021,0.227
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2023,1.6292
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2024,0.4588
"Производство паровых котлов, кроме котлов центрального отопления",25.30,2021,0.227
"Производство паровых котлов, кроме котлов центрального отопления",25.30,2023,1.6292
"Производство паровых котлов, кроме котлов центрального отопления",25.30,2024,0.4588
"Производство ядерных установок и их составных частей, в том числе для транспортных средств",25.30.2,2023,0.7138
"Производство частей ядерных установок, кроме устройств для разделения изотопов",25.30.22,2023,0.7138
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2021,2.3783000000000003
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2022,1.4887
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2023,0.5102
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2024,1.8122
Обработка металлов и нанесение покрытий на металлы,25.61,2024,0.2853
Обработка металлических изделий механическая,25.62,2021,2.3783000000000003
Обработка металлических изделий механическая,25.62,2022,1.4687
Обработка металлических изделий механическая,25.62,2023,0.2592
Обработка металлических изделий механическая,25.62,2024,1.5269
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2023,0.594
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2024,0.6744
"Производство замков, петель",25.72,2024,0.3024
"Производство изделий из проволоки, цепей и пружин",25.93,2018,0.27
"Производство изделий из проволоки, цепей и пружин",25.93,2019,0.2491
Производство изделий из проволоки и пружин,25.93.1,2018,0.24
Производство изделий из проволоки и пружин,25.93.1,2019,0.2491
"Производство раковин, моек, ванн и прочих санитарно-технических изделий и их составных частей из черных металлов, меди или алюминия",25.99.2,2018,0.017
"Производство раковин, моек, ванн и прочих санитарно-технических изделий и их составных частей из черных металлов, меди или алюминия",25.99.2,2019,0.0
"  Производство электрооборудования, электронного и оптического оборудования",26,2016,51.0052
"Производство компьютеров, электронных и оптических изделий",26,2017,23.8288
"Производство компьютеров, электронных и оптических изделий",26,2018,22.4478
"Производство компьютеров, электронных и оптических изделий",26,2019,33.3308
"Производство компьютеров, электронных и оптических изделий",26,2021,40.0876
"Производство компьютеров, электронных и оптических изделий",26,2022,1121.1221
"Производство компьютеров, электронных и оптических изделий",26,2023,55.8821
"Производство компьютеров, электронных и оптических изделий",26,2024,62.2899
"Производство электронных компонентов,аппаратуры для радио,телевидения и связи",26.1,2016,5.645899999999999
"Производство электро- и радиоэлементов, электровакуумных приборов",26.1,2016,1.477
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2017,0.8667999999999999
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2018,2.5919
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2019,0.5217
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2021,1.8122
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2022,6.905600000000001
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2023,4.6209
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2024,5.5288
Производство элементов электронной аппаратуры,26.11,2021,1.8122
Производство элементов электронной аппаратуры,26.11,2022,6.905600000000001
Производство элементов электронной аппаратуры,26.11,2023,4.6209
Производство элементов электронной аппаратуры,26.11,2024,5.5288
Производство электронных вакуумных ламп и трубок и прочих электронных вакуумных приборов,26.11.1,2021,1.2924
Производство электронных вакуумных ламп и трубок и прочих электронных вакуумных приборов,26.11.1,2022,2.6552
Производство электронных вакуумных ламп и трубок и прочих электронных вакуумных приборов,26.11.1,2023,0.899
Производство электронных вакуумных ламп и трубок и прочих электронных вакуумных приборов,26.11.1,2024,3.0941
"Производство диодов, транзисторов и прочих полупроводниковых приборов, включая светоизлучающие диоды, пьезоэлектрические приборы и их части",26.11.2,2022,1.091
"Производство диодов, транзисторов и прочих полупроводниковых приборов, включая светоизлучающие диоды, пьезоэлектрические приборы и их части",26.11.2,2024,0.908
Производство интегральных электронных схем,26.11.3,2024,0.4625
"Производство частей электронных ламп, трубок и прочих электронных компонентов, не включенных в другие группировки",26.11.9,2022,2.8341
"Производство частей электронных ламп, трубок и прочих электронных компонентов, не включенных в другие группировки",26.11.9,2023,2.5059
Производство офисного оборудования и вычислительной техники,26.2,2016,16.956599999999998
Производство электронных вычислительных машин и прочего оборудования  для обработки информации,26.2,2016,1.1956
в том числе :                         Производство офисного оборудования и вычислительной техники,26.2,2016,16.956599999999998
Производство компьютеров и периферийного оборудования,26.2,2017,0.9068
Производство компьютеров и периферийного оборудования,26.2,2018,0.8249
Производство компьютеров и периферийного оборудования,26.2,2019,4.3462
Производство компьютеров и периферийного оборудования,26.2,2021,5.2883
Производство компьютеров и периферийного оборудования,26.2,2022,494.4364000000001
Производство компьютеров и периферийного оборудования,26.2,2023,2.9279
Производство компьютеров и периферийного оборудования,26.2,2024,4.7457
Производство компьютеров и периферийного оборудования,26.20,2021,5.2883
Производство компьютеров и периферийного оборудования,26.20,2022,494.4364000000001
Производство компьютеров и периферийного оборудования,26.20,2023,2.9279
Производство компьютеров и периферийного оборудования,26.20,2024,4.7457
"Производство устройств автоматической обработки данных, информационных и телекоммуникационных систем",26.20.04.АГ,2021,2.1551
"Производство устройств автоматической обработки данных, информационных и телекоммуникационных систем",26.20.04.АГ,2022,493.6097
"Производство устройств автоматической обработки данных, информационных и телекоммуникационных систем",26.20.04.АГ,2023,1.954
Производство компьютеров,26.20.1,2021,2.5682
Производство компьютеров,26.20.1,2022,0.3077
Производство компьютеров,26.20.1,2023,0.774
Производство компьютеров,26.20.1,2024,1.157
"Производство телевизионной и радиопередающей аппаратуры, аппаратуры электросвязи",26.3,2016,3.25
"Производство телевизионной и радиопередающей аппаратуры,аппаратуры электросвязи",26.3,2016,3.25
Производство коммуникационного оборудования,26.3,2017,5.545
Производство коммуникационного оборудования,26.3,2018,5.5484
Производство коммуникационного оборудования,26.3,2019,6.531899999999999
Производство коммуникационного оборудования,26.3,2021,12.532
Производство коммуникационного оборудования,26.3,2022,7.5806
Производство коммуникационного оборудования,26.3,2023,5.3884
Производство коммуникационного оборудования,26.3,2024,8.2661
Производство коммуникационного оборудования,26.30,2021,12.532
Производство коммуникационного оборудования,26.30,2022,7.5806
Производство коммуникационного оборудования,26.30,2023,5.3884
Производство коммуникационного оборудования,26.30,2024,8.2661
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2022,1.6610999999999998
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2023,0.2749
"Производство коммуникационной аппаратуры, радио- и телевизионной передающей аппаратуры, телевизионных камер",26.30.1,2021,12.3994
"Производство коммуникационной аппаратуры, радио- и телевизионной передающей аппаратуры, телевизионных камер",26.30.1,2022,7.1784
"Производство коммуникационной аппаратуры, радио- и телевизионной передающей аппаратуры, телевизионных камер",26.30.1,2023,5.193899999999999
"Производство коммуникационной аппаратуры, радио- и телевизионной передающей аппаратуры, телевизионных камер",26.30.1,2024,6.339899999999999
"Производство средств связи, выполняющих функцию систем коммутации",26.30.11,2021,8.3734
"Производство средств связи, выполняющих функцию систем коммутации",26.30.11,2022,2.6166
"Производство средств связи, выполняющих функцию систем коммутации",26.30.11,2023,3.4137
"Производство средств связи, выполняющих функцию систем коммутации",26.30.11,2024,2.0948
Производство радио- и телевизионной передающей аппаратуры,26.30.17,2021,3.896
Производство радио- и телевизионной передающей аппаратуры,26.30.17,2022,2.9007
Производство радио- и телевизионной передающей аппаратуры,26.30.17,2023,1.5053
Производство радио- и телевизионной передающей аппаратуры,26.30.17,2024,3.5951
"Производство аппаратуры для приема, записи и воспроизведения звука и  изображения",26.4,2016,0.9189
"Производство аппаратуры для приема, записи и воспроизведения звука и  изображения",26.4,2016,0.9189
Производство бытовой электроники,26.4,2017,0.0
Производство бытовой электроники,26.4,2018,0.002
Производство бытовой электроники,26.4,2019,0.1734
Производство бытовой электроники,26.4,2023,0.2573
Производство бытовой электроники,26.40,2023,0.2573
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2021,19.6827
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2022,610.0239
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2023,37.6354
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2024,42.1418
"Производство приборов и инструментов для измерений, контроля, испытаний, навигации, управления и прочих целей",26.51,2016,18.9633
"Производство инструментов и приборов для измерения, тестирования и навигации",26.51,2021,19.6827
"Производство инструментов и приборов для измерения, тестирования и навигации",26.51,2022,610.0239
"Производство инструментов и приборов для измерения, тестирования и навигации",26.51,2023,37.6354
"Производство инструментов и приборов для измерения, тестирования и навигации",26.51,2024,42.1418
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2021,15.843
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2022,601.2169
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2023,24.7893
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2024,32.2025
"Производство навигационных, метеорологических, геодезических, геофизических и аналогичного типа приборов, аппаратуры и инструментов",26.51.1,2021,1.7372999999999998
"Производство навигационных, метеорологических, геодезических, геофизических и аналогичного типа приборов, аппаратуры и инструментов",26.51.1,2022,2.8526
"Производство навигационных, метеорологических, геодезических, геофизических и аналогичного типа приборов, аппаратуры и инструментов",26.51.1,2023,8.2544
"Производство навигационных, метеорологических, геодезических, геофизических и аналогичного типа приборов, аппаратуры и инструментов",26.51.1,2024,5.3145
Производство приборов и аппаратуры для измерения электрических величин или ионизирующих излучений,26.51.4,2021,0.8966000000000001
Производство приборов и аппаратуры для измерения электрических величин или ионизирующих излучений,26.51.4,2023,2.7711
Производство приборов и аппаратуры для измерения электрических величин или ионизирующих излучений,26.51.4,2024,1.6868
Производство приборов для контроля прочих физических величин,26.51.5,2021,0.136
"Производство прочих приборов, датчиков, аппаратуры и инструментов для измерения, контроля и испытаний",26.51.6,2021,1.0698
"Производство прочих приборов, датчиков, аппаратуры и инструментов для измерения, контроля и испытаний",26.51.6,2022,4.3743
"Производство прочих приборов, датчиков, аппаратуры и инструментов для измерения, контроля и испытаний",26.51.6,2023,1.4754
"Производство прочих приборов, датчиков, аппаратуры и инструментов для измерения, контроля и испытаний",26.51.6,2024,2.776
"Производство медицинских изделий;средств измерений,контроля, управления и испытаний; оптических приборов,фото-и кинооборудовния; часов",26.6,2016,20.3146
