sector,okved2,year,ITcosts_s
Рыбоводство пресноводное,03.22,2023,85.5865
Рыбоводство пресноводное,03.22,2024,105.7483
Рыбоводство пресноводное индустриальное,03.22.1,2021,3.1636
Рыбоводство пресноводное индустриальное,03.22.1,2022,3.4559
Рыбоводство пресноводное индустриальное,03.22.1,2023,7.196899999999999
Рыбоводство пресноводное индустриальное,03.22.1,2024,7.1643
Рыбоводство прудовое,03.22.3,2021,2.5196
Рыбоводство прудовое,03.22.3,2022,2.6336
Рыбоводство прудовое,03.22.3,2023,2.9565
Рыбоводство прудовое,03.22.3,2024,2.6486
Воспроизводство пресноводных биоресурсов искусственное,03.22.5,2021,4.6964
Воспроизводство пресноводных биоресурсов искусственное,03.22.5,2022,9.9993
Воспроизводство пресноводных биоресурсов искусственное,03.22.5,2023,11.26
Воспроизводство пресноводных биоресурсов искусственное,03.22.5,2024,16.8979
Деятельность по пресноводному рыбоводству прочая,03.22.9,2021,0.8757
"Добыча каменного угля, бурого угля и торфа",05,2016,1510.162
Добыча угля,05,2017,1946.3668
Добыча угля,05,2018,1916.0641
Добыча угля,05,2019,2591.8452
Добыча угля,05,2021,2974.7109
Добыча угля,05,2022,3196.0027
Добыча угля,05,2023,5927.1105
Добыча угля,05,2024,6936.5358
Добыча и обогащение угля и антрацита,05.1,2019,1988.4421
Добыча и обогащение угля и антрацита,05.1,2021,2647.1045
Добыча и обогащение угля и антрацита,05.1,2022,2874.8499
Добыча и обогащение угля и антрацита,05.1,2023,5400.2772
Добыча и обогащение угля и антрацита,05.1,2024,5851.222400000001
Добыча и обогащение угля и антрацита,05.10,2021,2647.1045
Добыча и обогащение угля и антрацита,05.10,2022,2874.8499
Добыча и обогащение угля и антрацита,05.10,2023,5400.2772
Добыча и обогащение угля и антрацита,05.10,2024,5851.222400000001
Добыча угля и антрацита,05.10.1,2021,1797.9953
Добыча угля и антрацита,05.10.1,2022,1971.0152
Добыча угля и антрацита,05.10.1,2023,3658.5399
Добыча угля и антрацита,05.10.1,2024,3388.548
Добыча антрацита открытым способом,05.10.11,2024,20.6492
Добыча коксующегося угля открытым способом,05.10.12,2021,349.4946
Добыча коксующегося угля открытым способом,05.10.12,2022,415.2453
Добыча коксующегося угля открытым способом,05.10.12,2023,344.5268
Добыча коксующегося угля открытым способом,05.10.12,2024,222.1225
"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, открытым способом",05.10.13,2021,805.9903
"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, открытым способом",05.10.13,2022,1110.9408999999998
"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, открытым способом",05.10.13,2023,1997.329
"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, открытым способом",05.10.13,2024,1363.506
Добыча антрацита подземным способом,05.10.14,2021,5.320399999999999
Добыча антрацита подземным способом,05.10.14,2022,7.6917
Добыча антрацита подземным способом,05.10.14,2023,7.190300000000001
Добыча коксующегося угля подземным способом,05.10.15,2021,214.3879
Добыча коксующегося угля подземным способом,05.10.15,2022,183.7474
Добыча коксующегося угля подземным способом,05.10.15,2023,216.2981
Добыча коксующегося угля подземным способом,05.10.15,2024,276.72790000000003
"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, подземным способом",05.10.16,2021,407.5828
"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, подземным способом",05.10.16,2022,215.4589
"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, подземным способом",05.10.16,2023,1024.8045
"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, подземным способом",05.10.16,2024,1482.2543999999998
Обогащение угля,05.10.2,2021,848.8972
Обогащение угля,05.10.2,2022,880.6886999999999
Обогащение угля,05.10.2,2023,1741.6963
Обогащение угля,05.10.2,2024,2445.7734
Обогащение антрацита,05.10.21,2024,56.7409
Обогащение коксующегося угля,05.10.22,2021,504.5099
Обогащение коксующегося угля,05.10.22,2022,569.704
Обогащение коксующегося угля,05.10.22,2023,1031.1539
Обогащение коксующегося угля,05.10.22,2024,853.1374000000001
"Обогащение угля, кроме антрацита, угля коксующегося и угля бурого",05.10.23,2021,336.7593
"Обогащение угля, кроме антрацита, угля коксующегося и угля бурого",05.10.23,2022,302.3125
"Обогащение угля, кроме антрацита, угля коксующегося и угля бурого",05.10.23,2023,698.1856
"Обогащение угля, кроме антрацита, угля коксующегося и угля бурого",05.10.23,2024,1521.346
Добыча и обогащение бурого угля (лигнита),05.2,2019,603.4031
