sector,okved2,year,AIusage_s
"Деятельность по оказанию услуг в области бухгалтерского учета, по проведению финансового аудита, по налоговому консультированию",69.20,2025.0,60.0
Деятельность по проведению финансового аудита,69.20.1,2021.0,19.0
Деятельность по проведению финансового аудита,69.20.1,2022.0,6.0
Деятельность по проведению финансового аудита,69.20.1,2024.0,17.0
Деятельность по проведению финансового аудита,69.20.1,2025.0,18.0
Деятельность по оказанию услуг в области бухгалтерского учета,69.20.2,2021.0,52.0
Деятельность по оказанию услуг в области бухгалтерского учета,69.20.2,2022.0,78.0
Деятельность по оказанию услуг в области бухгалтерского учета,69.20.2,2023.0,77.0
Деятельность по оказанию услуг в области бухгалтерского учета,69.20.2,2024.0,43.0
Деятельность по оказанию услуг в области бухгалтерского учета,69.20.2,2025.0,37.0
Деятельность области налогового консультирования,69.20.3,2022.0,1.0
Деятельность области налогового консультирования,69.20.3,2024.0,1.0
Деятельность головных офисов; консультирование по вопросам управления,70,2021.0,120.0
Деятельность головных офисов; консультирование по вопросам управления,70,2022.0,168.0
Деятельность головных офисов; консультирование по вопросам управления,70,2023.0,109.0
Деятельность головных офисов; консультирование по вопросам управления,70,2024.0,99.0
Деятельность головных офисов; консультирование по вопросам управления,70,2025.0,125.0
Деятельность головных офисов,70.10,2021.0,24.0
Деятельность головных офисов,70.10,2022.0,32.0
Деятельность головных офисов,70.10,2023.0,28.0
Деятельность головных офисов,70.10,2024.0,20.0
Деятельность головных офисов,70.10,2025.0,31.0
Деятельность по управлению финансово-промышленными группами,70.10.1,2021.0,6.0
Деятельность по управлению финансово-промышленными группами,70.10.1,2022.0,7.0
Деятельность по управлению финансово-промышленными группами,70.10.1,2023.0,3.0
Деятельность по управлению финансово-промышленными группами,70.10.1,2024.0,8.0
Деятельность по управлению финансово-промышленными группами,70.10.1,2025.0,3.0
Деятельность по управлению холдинг-компаниями,70.10.2,2021.0,3.0
Деятельность по управлению холдинг-компаниями,70.10.2,2022.0,7.0
Деятельность по управлению холдинг-компаниями,70.10.2,2023.0,3.0
Деятельность по управлению холдинг-компаниями,70.10.2,2024.0,1.0
Деятельность по управлению холдинг-компаниями,70.10.2,2025.0,2.0
Консультирование по вопросам управления,70.2,2021.0,96.0
Консультирование по вопросам управления,70.2,2022.0,136.0
Консультирование по вопросам управления,70.2,2023.0,81.0
Консультирование по вопросам управления,70.2,2024.0,79.0
Консультирование по вопросам управления,70.2,2025.0,94.0
Деятельность в сфере связей с общественностью,70.21,2022.0,1.0
Деятельность в сфере связей с общественностью,70.21,2024.0,1.0
Деятельность в сфере связей с общественностью,70.21,2025.0,2.0
Консультирование по вопросам коммерческой деятельности и управления,70.22,2021.0,96.0
Консультирование по вопросам коммерческой деятельности и управления,70.22,2022.0,135.0
Консультирование по вопросам коммерческой деятельности и управления,70.22,2023.0,81.0
Консультирование по вопросам коммерческой деятельности и управления,70.22,2024.0,78.0
Консультирование по вопросам коммерческой деятельности и управления,70.22,2025.0,92.0
"Деятельность в области архитектуры и инженерно-технического проектирования; технических испытаний, исследований и анализа",71,2021.0,152.0
"Деятельность в области архитектуры и инженерно-технического проектирования; технических испытаний, исследований и анализа",71,2022.0,254.0
"Деятельность в области архитектуры и инженерно-технического проектирования; технических испытаний, исследований и анализа",71,2023.0,208.0
"Деятельность в области архитектуры и инженерно-технического проектирования; технических испытаний, исследований и анализа",71,2024.0,181.0
"Деятельность в области архитектуры и инженерно-технического проектирования; технических испытаний, исследований и анализа",71,2025.0,224.0
"Деятельность в области архитектуры, инженерных изысканий и предоставление технических консультаций в этих областях",71.1,2021.0,130.0
"Деятельность в области архитектуры, инженерных изысканий и предоставление технических консультаций в этих областях",71.1,2022.0,211.0
"Деятельность в области архитектуры, инженерных изысканий и предоставление технических консультаций в этих областях",71.1,2023.0,167.0
"Деятельность в области архитектуры, инженерных изысканий и предоставление технических консультаций в этих областях",71.1,2024.0,146.0
"Деятельность в области архитектуры, инженерных изысканий и предоставление технических консультаций в этих областях",71.1,2025.0,169.0
Деятельность в области архитектуры,71.11,2021.0,28.0
Деятельность в области архитектуры,71.11,2022.0,50.0
Деятельность в области архитектуры,71.11,2023.0,32.0
Деятельность в области архитектуры,71.11,2024.0,22.0
Деятельность в области архитектуры,71.11,2025.0,25.0
"Деятельность в области архитектуры, связанная с созданием архитектурного объекта",71.11.1,2021.0,17.0
"Деятельность в области архитектуры, связанная с созданием архитектурного объекта",71.11.1,2022.0,36.0
"Деятельность в области архитектуры, связанная с созданием архитектурного объекта",71.11.1,2023.0,21.0
"Деятельность в области архитектуры, связанная с созданием архитектурного объекта",71.11.1,2024.0,12.0
"Деятельность в области архитектуры, связанная с созданием архитектурного объекта",71.11.1,2025.0,17.0
Деятельность по территориальному планированию и планировке территории,71.11.2,2021.0,2.0
Деятельность по территориальному планированию и планировке территории,71.11.2,2022.0,1.0
Деятельность по территориальному планированию и планировке территории,71.11.2,2023.0,2.0
Деятельность по территориальному планированию и планировке территории,71.11.2,2024.0,1.0
Деятельность по территориальному планированию и планировке территории,71.11.2,2025.0,1.0
Деятельность в области ландшафтной архитектуры и консультативные услуги в области архитектуры,71.11.3,2022.0,1.0
Деятельность в области ландшафтной архитектуры и консультативные услуги в области архитектуры,71.11.3,2023.0,2.0
"Деятельность в области инженерных изысканий, инженерно-технического проектирования, управления проектами строительства, выполнения строительного контроля и авторского надзора, предоставление технических консультаций в этих областях",71.12,2021.0,102.0
"Деятельность в области инженерных изысканий, инженерно-технического проектирования, управления проектами строительства, выполнения строительного контроля и авторского надзора, предоставление технических консультаций в этих областях",71.12,2022.0,161.0
"Деятельность в области инженерных изысканий, инженерно-технического проектирования, управления проектами строительства, выполнения строительного контроля и авторского надзора, предоставление технических консультаций в этих областях",71.12,2023.0,135.0
"Деятельность в области инженерных изысканий, инженерно-технического проектирования, управления проектами строительства, выполнения строительного контроля и авторского надзора, предоставление технических консультаций в этих областях",71.12,2024.0,124.0
"Деятельность в области инженерных изысканий, инженерно-технического проектирования, управления проектами строительства, выполнения строительного контроля и авторского надзора, предоставление технических консультаций в этих областях",71.12,2025.0,144.0
"Деятельность, связанная с инженерно-техническим проектированием, управлением проектами строительства, выполнением строительного контроля и авторского надзора",71.12.1,2021.0,12.0
"Деятельность, связанная с инженерно-техническим проектированием, управлением проектами строительства, выполнением строительного контроля и авторского надзора",71.12.1,2022.0,36.0
"Деятельность, связанная с инженерно-техническим проектированием, управлением проектами строительства, выполнением строительного контроля и авторского надзора",71.12.1,2023.0,14.0
"Деятельность, связанная с инженерно-техническим проектированием, управлением проектами строительства, выполнением строительного контроля и авторского надзора",71.12.1,2024.0,16.0
"Деятельность, связанная с инженерно-техническим проектированием, управлением проектами строительства, выполнением строительного контроля и авторского надзора",71.12.1,2025.0,19.0
"Разработка проектов тепло-, водо-, газоснабжения",71.12.11,2021.0,1.0
"Разработка проектов тепло-, водо-, газоснабжения",71.12.11,2022.0,1.0
"Разработка проектов тепло-, водо-, газоснабжения",71.12.11,2023.0,2.0
"Разработка проектов тепло-, водо-, газоснабжения",71.12.11,2024.0,3.0
"Разработка проектов тепло-, водо-, газоснабжения",71.12.11,2025.0,1.0
