sector,okved2,year,researchersavg_s
Производство железнодорожных локомотивов и подвижного состава,30.20,2023,552.3
Производство железнодорожных локомотивов и подвижного состава,30.20,2024,533.2
Производство железнодорожных локомотивов,30.20.1,2024,
Производство магистральных электровозов,30.20.11,2024,
Производство прочего подвижного состава,30.20.3,2024,
"Производство несамоходных железнодорожных, трамвайных и прочих вагонов для перевозки грузов",30.20.33,2024,
"Производство частей железнодорожных локомотивов, трамвайных и прочих моторных вагонов и подвижного состава; производство путевого оборудования и устройств для железнодорожных, трамвайных и прочих путей, механического и электромеханического оборудования для управления движением",30.20.4,2024,
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.3,2018,8758.0
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.3,2019,14530.0
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.3,2020,18242.6
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.3,2021,17735.8
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.3,2022,14504.9
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.3,2023,14518.2
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.3,2024,15886.6
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.30,2024,15886.6
"Производство силовых установок и двигателей для летательных аппаратов, включая космические; наземных тренажеров для летного состава; их частей",30.30.1,2024,5323.7
Производство двигателей летательных аппаратов с искровым зажиганием и их частей,30.30.11,2024,957.5
Производство турбореактивных и турбовинтовых двигателей и их частей,30.30.12,2024,4089.3
Производство реактивных двигателей и их частей,30.30.13,2024,160.9
Производство наземных тренажеров для летного состава и их частей,30.30.14,2024,
"Производство вертолетов, самолетов и прочих летательных аппаратов",30.30.3,2024,3304.3
Производство вертолетов,30.30.31,2024,
Производство самолетов,30.30.32,2024,1090.1
Производство прочих летательных аппаратов,30.30.39,2024,
"Производство космических аппаратов (в том числе спутников), ракет-носителей",30.30.4,2024,1158.5
Производство частей и принадлежностей летательных и космических аппаратов,30.30.5,2024,5867.8
Производство мебели,31,2019,
Производство мебели,31,2024,
Производство мебели,31.0,2024,
Производство мебели для офисов и предприятий торговли,31.01,2024,
Производство прочих готовых изделий,32,2018,142.0
Производство прочих готовых изделий,32,2019,170.0
Производство прочих готовых изделий,32,2020,264.1
Производство прочих готовых изделий,32,2021,215.0
Производство прочих готовых изделий,32,2022,186.2
Производство прочих готовых изделий,32,2023,114.9
Производство прочих готовых изделий,32,2024,144.9
"Производство ювелирных изделий, бижутерии и подобных товаров",32.1,2024,
Производство ювелирных изделий и аналогичных изделий,32.12,2024,
Производство медицинских инструментов и оборудования,32.5,2018,139.0
Производство медицинских инструментов и оборудования,32.5,2019,60.0
Производство медицинских инструментов и оборудования,32.5,2020,128.1
Производство медицинских инструментов и оборудования,32.5,2021,73.0
Производство медицинских инструментов и оборудования,32.5,2022,53.0
Производство медицинских инструментов и оборудования,32.5,2023,96.3
Производство медицинских инструментов и оборудования,32.5,2024,134.2
Производство медицинских инструментов и оборудования,32.50,2024,134.2
"Производство изделий, не включенных в другие группировки",32.9,2024,6.2
"Производство прочих готовых изделий, не включенных в другие группировки",32.99,2024,6.2
Производство головных защитных уборов и прочих средств защиты,32.99.1,2024,6.2
Ремонт и монтаж машин и оборудования,33,2018,209.0
Ремонт и монтаж машин и оборудования,33,2019,620.0
Ремонт и монтаж машин и оборудования,33,2020,622.0
Ремонт и монтаж машин и оборудования,33,2021,258.0
Ремонт и монтаж машин и оборудования,33,2022,927.5
Ремонт и монтаж машин и оборудования,33,2023,1864.1
Ремонт и монтаж машин и оборудования,33,2024,
"Ремонт и монтаж металлических изделий, машин и оборудования",33.1,2024,
Ремонт машин и оборудования,33.12,2024,24.0
Ремонт электронного и оптического оборудования,33.13,2024,
Ремонт электрического оборудования,33.14,2024,29.0
"Ремонт и техническое обслуживание летательных аппаратов, включая космические",33.16,2024,1313.0
Монтаж промышленных машин и оборудования,33.2,2024,
Монтаж промышленных машин и оборудования,33.20,2024,
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",35,2024,
"Производство, передача и распределение электроэнергии",35.1,2018,144.0
"Производство, передача и распределение электроэнергии",35.1,2019,
"Производство, передача и распределение электроэнергии",35.1,2020,
"Производство, передача и распределение электроэнергии",35.1,2021,10.0
"Производство, передача и распределение электроэнергии",35.1,2022,
"Производство, передача и распределение электроэнергии",35.1,2023,
"Производство, передача и распределение электроэнергии",35.1,2024,29.5
Производство электроэнергии,35.11,2024,29.5
"Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций",35.11.1,2024,29.5
"Производство, передача и распределение пара и горячей воды; кондиционирование воздуха",35.3,2020,446.7
"Производство, передача и распределение пара и горячей воды; кондиционирование воздуха",35.3,2021,377.5
"Производство, передача и распределение пара и горячей воды; кондиционирование воздуха",35.3,2022,
"Производство, передача и распределение пара и горячей воды; кондиционирование воздуха",35.3,2024,
"Производство, передача и распределение пара и горячей воды; кондиционирование воздуха",35.30,2024,
Производство пара и горячей воды (тепловой энергии),35.30.1,2024,
Производство пара и горячей воды (тепловой энергии) котельными,35.30.14,2024,
"Сбор, обработка и утилизация отходов; обработка вторичного сырья",38,2018,118.0
"Сбор, обработка и утилизация отходов; обработка вторичного сырья",38,2019,
"Сбор, обработка и утилизация отходов; обработка вторичного сырья",38,2020,130.3
"Сбор, обработка и утилизация отходов; обработка вторичного сырья",38,2021,305.0
"Сбор, обработка и утилизация отходов; обработка вторичного сырья",38,2022,
"Сбор, обработка и утилизация отходов; обработка вторичного сырья",38,2023,
"Сбор, обработка и утилизация отходов; обработка вторичного сырья",38,2024,320.0
Сбор отходов,38.1,2024,25.0
Сбор опасных отходов,38.12,2024,25.0
Обработка и утилизация отходов,38.2,2024,295.0
Обработка и утилизация опасных отходов,38.22,2024,295.0
Обработка и утилизация радиоактивных отходов,38.22.1,2024,295.0
Деятельность по обращению с отработавшим ядерным топливом,38.22.11,2024,295.0
"Предоставление услуг в области ликвидации последствий загрязнений и прочих услуг, связанных с удалением отходов",39,2024,446.3
"Предоставление услуг в области ликвидации последствий загрязнений и прочих услуг, связанных с удалением отходов",39.0,2024,446.3
"Предоставление услуг в области ликвидации последствий загрязнений и прочих услуг, связанных с удалением отходов",39.00,2024,446.3
Строительство зданий,41,2018,
Строительство зданий,41,2022,
Строительство инженерных сооружений,42,2019,
Строительство инженерных сооружений,42,2022,
Строительство инженерных сооружений,42,2023,
Работы строительные специализированные,43,2018,
Работы строительные специализированные,43,2020,8.0
Работы строительные специализированные,43,2021,15.0
Работы строительные специализированные,43,2022,
Работы строительные специализированные,43,2024,27.0
"Производство электромонтажных, санитарно-технических и прочих строительно-монтажных работ",43.2,2024,27.0
Производство прочих строительно-монтажных работ,43.29,2024,27.0
Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,45,2020,6.0
Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,45,2021,3.2
Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,45,2022,
Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,45,2023,
Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,45,2024,
Техническое обслуживание и ремонт автотранспортных средств,45.2,2024,
Техническое обслуживание и ремонт автотранспортных средств,45.20,2024,
Техническое обслуживание и ремонт прочих автотранспортных средств,45.20.2,2024,
"Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",46,2018,422.0
"Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",46,2019,556.0
"Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",46,2020,230.0
"Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",46,2021,238.0
"Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",46,2022,435.3
"Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",46,2023,427.7
"Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",46,2024,376.6
Торговля оптовая непродовольственными потребительскими товарами,46.4,2024,6.0
Торговля оптовая фармацевтической продукцией,46.46,2024,6.0
Торговля оптовая информационным и коммуникационным оборудованием,46.5,2024,280.8
"Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением",46.51,2020,2.0
"Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением",46.51,2021,4.0
"Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением",46.51,2023,
"Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением",46.51,2024,
Торговля оптовая электронным и телекоммуникационным оборудованием и его запасными частями,46.52,2019,
Торговля оптовая электронным и телекоммуникационным оборудованием и его запасными частями,46.52,2021,41.0
Торговля оптовая электронным и телекоммуникационным оборудованием и его запасными частями,46.52,2023,
Торговля оптовая электронным и телекоммуникационным оборудованием и его запасными частями,46.52,2024,
Торговля оптовая электронным оборудованием и его запасными частями,46.52.2,2024,
"Торговля оптовая прочими машинами, оборудованием и принадлежностями",46.6,2024,
Торговля оптовая прочими машинами и оборудованием,46.69,2024,
"Торговля оптовая производственным электротехническим оборудованием, машинами, аппаратурой и материалами",46.69.5,2024,17.2
"Торговля оптовая прочими машинами, приборами, аппаратурой и оборудованием общепромышленного и специального назначения",46.69.9,2024,
Торговля оптовая специализированная прочая,46.7,2024,9.0
"Торговля оптовая лесоматериалами, строительными материалами и санитарно-техническим оборудованием",46.73,2024,
Торговля оптовая прочими строительными материалами и изделиями,46.73.6,2024,
Торговля оптовая химическими продуктами,46.75,2024,
Торговля оптовая удобрениями и агрохимическими продуктами,46.75.1,2024,
Торговля оптовая неспециализированная,46.9,2024,17.9
Торговля оптовая неспециализированная,46.90,2024,17.9
Деятельность сухопутного и трубопроводного транспорта,49,2018,111.0
Деятельность сухопутного и трубопроводного транспорта,49,2019,
Деятельность сухопутного и трубопроводного транспорта,49,2021,101.0
Деятельность сухопутного и трубопроводного транспорта,49,2022,
Деятельность водного транспорта,50,2020,
Деятельность воздушного и космического транспорта,51,2019,
Деятельность воздушного и космического транспорта,51,2021,941.0
Складское хозяйство и вспомогательная транспортная деятельность,52,2019,
Складское хозяйство и вспомогательная транспортная деятельность,52,2020,377.0
Складское хозяйство и вспомогательная транспортная деятельность,52,2021,388.9
Складское хозяйство и вспомогательная транспортная деятельность,52,2022,
Складское хозяйство и вспомогательная транспортная деятельность,52,2023,
Складское хозяйство и вспомогательная транспортная деятельность,52,2024,
Деятельность по складированию и хранению,52.1,2024,
Деятельность по складированию и хранению,52.10,2024,
Хранение и складирование прочих грузов,52.10.9,2024,
Деятельность почтовой связи и курьерская деятельность,53,2018,
Деятельность почтовой связи и курьерская деятельность,53,2019,
Деятельность почтовой связи прочая и курьерская деятельность,53.2,2018,
Деятельность почтовой связи прочая и курьерская деятельность,53.2,2019,
Деятельность по предоставлению мест для временного проживания,55,2018,
Деятельность по предоставлению мест для временного проживания,55,2019,
Деятельность по предоставлению мест для временного проживания,55,2022,
Деятельность по предоставлению мест для временного проживания,55,2024,
Деятельность по предоставлению прочих мест для временного проживания,55.9,2024,
Деятельность по предоставлению прочих мест для временного проживания,55.90,2024,
Деятельность по предоставлению продуктов питания и напитков,56,2019,
Деятельность по предоставлению продуктов питания и напитков,56,2021,838.0
Деятельность по предоставлению продуктов питания и напитков,56,2022,
Деятельность по предоставлению продуктов питания и напитков,56,2024,845.5
Деятельность предприятий общественного питания по обслуживанию торжественных мероприятий и прочим видам организации питания,56.2,2024,845.5
Деятельность предприятий общественного питания по прочим видам организации питания,56.29,2024,845.5
Деятельность столовых и буфетов при предприятиях и учреждениях,56.29.2,2024,845.5
Деятельность издательская,58,2018,
Деятельность издательская,58,2020,
Деятельность издательская,58,2021,11.0
Деятельность издательская,58,2022,11.2
Деятельность издательская,58,2023,
"Издание книг, периодических публикаций и другие виды издательской деятельности",58.1,2018,
"Издание книг, периодических публикаций и другие виды издательской деятельности",58.1,2020,
"Издание книг, периодических публикаций и другие виды издательской деятельности",58.1,2021,11.0
"Издание книг, периодических публикаций и другие виды издательской деятельности",58.1,2022,
"Издание книг, периодических публикаций и другие виды издательской деятельности",58.1,2023,
Издание программного обеспечения,58.2,2022,
Деятельность в сфере телекоммуникаций,61,2018,12.0
Деятельность в сфере телекоммуникаций,61,2019,
Деятельность в сфере телекоммуникаций,61,2020,24.0
Деятельность в сфере телекоммуникаций,61,2021,59.4
Деятельность в сфере телекоммуникаций,61,2022,191.3
Деятельность в сфере телекоммуникаций,61,2023,
Деятельность в сфере телекоммуникаций,61,2024,
Деятельность в области связи на базе проводных технологий,61.1,2018,12.0
Деятельность в области связи на базе проводных технологий,61.1,2019,
Деятельность в области связи на базе проводных технологий,61.1,2020,9.0
Деятельность в области связи на базе проводных технологий,61.1,2021,9.0
Деятельность в области связи на базе проводных технологий,61.1,2022,
Деятельность в области связи на базе проводных технологий,61.1,2023,
Деятельность в области связи на базе проводных технологий,61.1,2024,
Деятельность в области связи на базе проводных технологий,61.10,2019,
Деятельность в области связи на базе проводных технологий,61.10,2020,9.0
Деятельность в области связи на базе проводных технологий,61.10,2021,9.0
Деятельность в области связи на базе проводных технологий,61.10,2022,
Деятельность в области связи на базе проводных технологий,61.10,2023,
Деятельность в области связи на базе проводных технологий,61.10,2024,
Деятельность в области связи на базе проводных технологий прочая,61.10.9,2024,
Деятельность в области связи на базе беспроводных технологий,61.2,2020,15.0
Деятельность в области связи на базе беспроводных технологий,61.2,2021,50.4
Деятельность в области связи на базе беспроводных технологий,61.2,2022,
Деятельность в области связи на базе беспроводных технологий,61.2,2023,
Деятельность в области связи на базе беспроводных технологий,61.2,2024,50.2
Деятельность в области связи на базе беспроводных технологий,61.20,2020,15.0
Деятельность в области связи на базе беспроводных технологий,61.20,2021,50.4
Деятельность в области связи на базе беспроводных технологий,61.20,2022,
Деятельность в области связи на базе беспроводных технологий,61.20,2023,
Деятельность в области связи на базе беспроводных технологий,61.20,2024,50.2
Деятельность по предоставлению услуг подвижной связи для целей передачи данных,61.20.2,2024,50.2
"Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги",62,2018,2396.0
"Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги",62,2019,3361.0
"Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги",62,2020,5819.4
"Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги",62,2021,3777.3
"Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги",62,2022,3613.5
"Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги",62,2023,3882.1
"Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги",62,2024,4829.8
"Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги",62.0,2024,4829.8
Разработка компьютерного программного обеспечения,62.01,2018,1470.0
Разработка компьютерного программного обеспечения,62.01,2019,2143.0
Разработка компьютерного программного обеспечения,62.01,2020,3548.8
Разработка компьютерного программного обеспечения,62.01,2021,2534.3
Разработка компьютерного программного обеспечения,62.01,2022,2515.5
Разработка компьютерного программного обеспечения,62.01,2023,2716.2
Разработка компьютерного программного обеспечения,62.01,2024,3199.0
Деятельность консультативная и работы в области компьютерных технологий,62.02,2018,123.0
Деятельность консультативная и работы в области компьютерных технологий,62.02,2019,14.0
Деятельность консультативная и работы в области компьютерных технологий,62.02,2020,83.3
Деятельность консультативная и работы в области компьютерных технологий,62.02,2021,66.0
Деятельность консультативная и работы в области компьютерных технологий,62.02,2022,54.0
Деятельность консультативная и работы в области компьютерных технологий,62.02,2023,52.0
Деятельность консультативная и работы в области компьютерных технологий,62.02,2024,1412.8
"Деятельность по планированию, проектированию компьютерных систем",62.02.1,2024,
Деятельность по подготовке компьютерных систем к эксплуатации,62.02.4,2024,1295.2
Деятельность консультативная в области компьютерных технологий прочая,62.02.9,2024,
Деятельность по управлению компьютерным оборудованием,62.03,2024,15.0
Деятельность по управлению компьютерными системами,62.03.1,2024,15.0
Деятельность по сопровождению компьютерных систем,62.03.13,2024,15.0
"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая",62.09,2018,803.0
"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая",62.09,2019,1204.0
"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая",62.09,2020,2187.3
"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая",62.09,2021,1177.0
"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая",62.09,2022,1044.0
"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая",62.09,2023,1113.9
"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая",62.09,2024,
Деятельность в области информационных технологий,63,2018,240.0
Деятельность в области информационных технологий,63,2019,204.0
Деятельность в области информационных технологий,63,2020,344.0
Деятельность в области информационных технологий,63,2021,308.5
Деятельность в области информационных технологий,63,2022,156.4
Деятельность в области информационных технологий,63,2023,224.4
Деятельность в области информационных технологий,63,2024,148.3
"Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно",63.1,2018,240.0
"Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно-коммуникационной сети Интернет",63.1,2019,189.0
"Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно-коммуникационной сети Интернет",63.1,2020,323.0
"Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно-коммуникационной сети Интернет",63.1,2021,293.5
"Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно-коммуникационной сети Интернет",63.1,2022,146.4
"Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно-коммуникационной сети Интернет",63.1,2023,195.4
"Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно-коммуникационной сети Интернет",63.1,2024,132.3
"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",63.11,2019,189.0
"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",63.11,2020,323.0
"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",63.11,2021,293.5
"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",63.11,2022,146.4
"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",63.11,2023,195.4
"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",63.11,2024,132.3
Деятельность по созданию и использованию баз данных и информационных ресурсов,63.11.1,2024,107.3
Деятельность в области информационных услуг прочая,63.9,2018,
Деятельность в области информационных услуг прочая,63.9,2019,
Деятельность в области информационных услуг прочая,63.9,2020,21.0
Деятельность в области информационных услуг прочая,63.9,2021,15.0
Деятельность в области информационных услуг прочая,63.9,2022,
Деятельность в области информационных услуг прочая,63.9,2023,
Деятельность в области информационных услуг прочая,63.9,2024,
Деятельность информационных агентств,63.91,2019,
Деятельность информационных агентств,63.91,2020,21.0
Деятельность информационных агентств,63.91,2021,15.0
Деятельность информационных агентств,63.91,2022,
Деятельность информационных агентств,63.91,2023,
Деятельность информационных агентств,63.91,2024,
"Деятельность информационных служб прочая, не включенная в другие группировки",63.99,2023,
"Деятельность по предоставлению финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению",64,2019,
"Деятельность по предоставлению финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению",64,2020,
"Деятельность по предоставлению финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению",64,2021,1.0
"Деятельность по предоставлению финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению",64,2022,
"Деятельность по предоставлению финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению",64,2023,
"Деятельность по предоставлению финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению",64,2024,
Денежное посредничество,64.1,2024,1.0
Денежное посредничество прочее,64.19,2024,1.0
"Деятельность по предоставлению прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению",64.9,2024,
"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки",64.99,2024,
Операции с недвижимым имуществом,68,2024,
Аренда и управление собственным или арендованным недвижимым имуществом,68.2,2024,
Аренда и управление собственным или арендованным недвижимым имуществом,68.20,2024,
Аренда и управление собственным или арендованным нежилым недвижимым имуществом,68.20.2,2024,
Аренда и управление собственным или арендованным прочим нежилым недвижимым имуществом,68.20.29,2024,
Операции с недвижимым имуществом за вознаграждение или на договорной основе,68.3,2024,1.0
Управление недвижимым имуществом за вознаграждение или на договорной основе,68.32,2024,1.0
Управление эксплуатацией нежилого фонда за вознаграждение или на договорной основе,68.32.2,2024,1.0
Деятельность в области права и бухгалтерского учета,69,2018,
Деятельность в области права и бухгалтерского учета,69,2019,
Деятельность в области права и бухгалтерского учета,69,2020,40.2
Деятельность в области права и бухгалтерского учета,69,2021,48.0
Деятельность в области права и бухгалтерского учета,69,2022,
Деятельность в области права и бухгалтерского учета,69,2023,
Деятельность в области права и бухгалтерского учета,69,2024,
Деятельность в области права,69.1,2024,
Деятельность в области права,69.10,2024,
Деятельность головных офисов; консультирование по вопросам управления,70,2018,14.0
Деятельность головных офисов; консультирование по вопросам управления,70,2019,167.0
Деятельность головных офисов; консультирование по вопросам управления,70,2020,232.3
Деятельность головных офисов; консультирование по вопросам управления,70,2021,65.0
Деятельность головных офисов; консультирование по вопросам управления,70,2022,108.4
