sector,okved2,year,researchersavg_s
Деятельность полиграфическая и копирование носителей информации,18,2021,14.0
Деятельность полиграфическая и копирование носителей информации,18,2022,
Деятельность полиграфическая и копирование носителей информации,18,2023,
Производство кокса и нефтепродуктов,19,2018,77.0
Производство кокса и нефтепродуктов,19,2019,75.0
Производство кокса и нефтепродуктов,19,2020,70.0
Производство кокса и нефтепродуктов,19,2021,67.0
Производство кокса и нефтепродуктов,19,2022,74.3
Производство кокса и нефтепродуктов,19,2023,72.4
Производство кокса и нефтепродуктов,19,2024,
Производство нефтепродуктов,19.2,2024,
Производство нефтепродуктов,19.20,2024,
Производство жидкого топлива,19.20.1,2024,
Производство прочих нефтепродуктов,19.20.9,2019,
Производство прочих нефтепродуктов,19.20.9,2021,25.0
Производство прочих нефтепродуктов,19.20.9,2022,
Производство прочих нефтепродуктов,19.20.9,2023,
Производство прочих нефтепродуктов,19.20.9,2024,24.0
Производство химических веществ и химических продуктов,20,2018,1388.0
Производство химических веществ и химических продуктов,20,2019,2295.0
Производство химических веществ и химических продуктов,20,2020,4524.0
Производство химических веществ и химических продуктов,20,2021,3486.9
Производство химических веществ и химических продуктов,20,2022,2957.0
Производство химических веществ и химических продуктов,20,2023,2037.2
Производство химических веществ и химических продуктов,20,2024,3112.5
"Производство химических продуктов, не включенных в другие группировки",20.05.АГ,2018,326.0
"Производство химических продуктов, не включенных в другие группировки",20.05.АГ,2019,578.0
"Производство химических продуктов, не включенных в другие группировки",20.05.АГ,2020,1031.5
"Производство химических продуктов, не включенных в другие группировки",20.05.АГ,2024,1468.4
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2018,326.0
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2019,578.0
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2020,1031.5
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2021,1146.0
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2022,1534.3
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2023,1057.9
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2024,1468.4
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2018,805.0
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2019,1471.0
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2020,3279.9
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2021,2146.0
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2022,1216.4
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2023,777.8
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2024,1431.4
Производство красителей и пигментов,20.12,2024,14.2
Производство прочих основных неорганических химических веществ,20.13,2024,518.1
Производство прочих основных органических химических веществ,20.14,2024,
Производство углеводородов и их производных,20.14.1,2024,
Производство прочих химических органических основных веществ,20.14.7,2020,53.0
Производство прочих химических органических основных веществ,20.14.7,2021,40.0
Производство прочих химических органических основных веществ,20.14.7,2022,
Производство прочих химических органических основных веществ,20.14.7,2023,
Производство прочих химических органических основных веществ,20.14.7,2024,12.0
Производство удобрений и азотных соединений,20.15,2018,172.0
Производство удобрений и азотных соединений,20.15,2019,130.0
Производство удобрений и азотных соединений,20.15,2020,79.0
Производство удобрений и азотных соединений,20.15,2021,77.0
Производство удобрений и азотных соединений,20.15,2022,
Производство удобрений и азотных соединений,20.15,2023,
Производство удобрений и азотных соединений,20.15,2024,
Производство азотных минеральных или химических удобрений,20.15.3,2024,
"Производство удобрений, не включенных в другие группировки",20.15.7,2024,
Производство пластмасс и синтетических смол в первичных формах,20.16,2024,710.2
Производство синтетического каучука в первичных формах,20.17,2024,
Среднетехнологичные высокого уровня виды деятельности,20.27.01.АГ,2024,47223.9
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2018,103.0
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2019,113.0
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2020,112.6
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2021,98.9
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2022,98.5
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2023,90.2
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2024,
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.30,2024,
Производство красок и лаков на основе полимеров,20.30.1,2024,66.0
"Производство прочих красок, лаков, эмалей и аналогичных материалов для нанесения покрытий, художественных и полиграфических красок",20.30.2,2024,
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2018,137.0
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2019,116.0
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2020,100.0
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2021,93.0
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2022,104.8
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2023,108.3
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2024,118.8
"Производство мыла и моющих, чистящих и полирующих средств",20.41,2024,103.8
"Производство органических поверхностно-активных веществ, кроме мыла",20.41.2,2024,34.7
"Производство мыла и моющих средств, чистящих и полирующих средств",20.41.3,2024,
Производство парфюмерных и косметических средств,20.42,2024,
Производство прочих химических продуктов,20.5,2018,326.0
Производство прочих химических продуктов,20.5,2019,578.0
Производство прочих химических продуктов,20.5,2020,1031.5
Производство прочих химических продуктов,20.5,2021,1146.0
Производство прочих химических продуктов,20.5,2022,1534.3
Производство прочих химических продуктов,20.5,2023,1057.9
Производство прочих химических продуктов,20.5,2024,1468.4
Производство химических волокон,20.6,2018,
Производство химических волокон,20.6,2019,
Производство химических волокон,20.6,2021,3.0
Производство химических волокон,20.6,2022,
Производство химических волокон,20.6,2023,
Производство химических волокон,20.6,2024,
Производство химических волокон,20.60,2024,
Производство синтетических волокон,20.60.1,2024,
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2018,586.0
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2019,770.0
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2020,828.4
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2021,1133.2
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2022,1124.8
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2023,1198.4
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2024,1288.1
Производство фармацевтических субстанций,21.1,2018,46.0
Производство фармацевтических субстанций,21.1,2019,
Производство фармацевтических субстанций,21.1,2020,21.3
Производство фармацевтических субстанций,21.1,2021,36.0
Производство фармацевтических субстанций,21.1,2022,84.2
Производство фармацевтических субстанций,21.1,2023,116.8
Производство фармацевтических субстанций,21.1,2024,54.0
Производство фармацевтических субстанций,21.10,2019,
Производство фармацевтических субстанций,21.10,2020,21.3
Производство фармацевтических субстанций,21.10,2021,36.0
Производство фармацевтических субстанций,21.10,2022,84.2
Производство фармацевтических субстанций,21.10,2023,116.8
Производство фармацевтических субстанций,21.10,2024,54.0
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.2,2018,540.0
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.2,2019,768.0
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.2,2020,807.1
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.2,2021,1097.2
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.2,2022,1040.6
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.2,2023,1081.6
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.2,2024,1234.1
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.20,2019,768.0
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.20,2020,807.1
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.20,2021,1097.2
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.20,2022,1040.6
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.20,2023,1081.6
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.20,2024,1234.1
Производство лекарственных препаратов для медицинского применения,21.20.1,2024,1060.5
"Производство материалов, применяемых в медицинских целях",21.20.2,2024,173.6
Высокотехнологичные виды деятельности,21.26.01.АГ,2024,51508.3
Производство резиновых и пластмассовых изделий,22,2018,201.0
Производство резиновых и пластмассовых изделий,22,2019,233.0
Производство резиновых и пластмассовых изделий,22,2020,225.0
Производство резиновых и пластмассовых изделий,22,2021,205.6
Производство резиновых и пластмассовых изделий,22,2022,192.4
Производство резиновых и пластмассовых изделий,22,2023,252.3
Производство резиновых и пластмассовых изделий,22,2024,279.0
Производство резиновых изделий,22.1,2018,172.0
Производство резиновых изделий,22.1,2019,208.0
Производство резиновых изделий,22.1,2020,202.0
Производство резиновых изделий,22.1,2021,192.6
Производство резиновых изделий,22.1,2022,180.4
Производство резиновых изделий,22.1,2023,194.0
Производство резиновых изделий,22.1,2024,
"Производство резиновых шин, покрышек и камер; восстановление резиновых шин и покрышек",22.11,2024,3.0
Производство прочих резиновых изделий,22.19,2024,
"Производство труб, трубок, рукавов и шлангов из вулканизированной резины",22.19.3,2024,
