sector,okved2,year,researchers_s
"Производство чугуна, стали и ферросплавов",24.10,2024,387.0
"Производство чугуна, стали и ферросплавов",24.10,2025,514.0
"Производство стальных труб, полых профилей и фитингов",24.2,2017,162.0
"Производство стальных труб, полых профилей и фитингов",24.2,2018,154.0
"Производство стальных труб, полых профилей и фитингов",24.2,2019,186.0
"Производство стальных труб, полых профилей и фитингов",24.2,2020,159.0
"Производство стальных труб, полых профилей и фитингов",24.2,2021,117.0
"Производство стальных труб, полых профилей и фитингов",24.2,2022,135.0
Производство бесшовных труб и пустотелых профилей,24.20.1,2020,51.0
Производство бесшовных труб и пустотелых профилей,24.20.1,2021,33.0
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2017,1280.0
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2018,1377.0
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2019,1309.0
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2020,1130.0
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2021,1133.0
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2022,1091.0
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2023,999.0
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2024,1099.0
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2025,3168.0
Производство драгоценных металлов,24.41,2024,307.0
Литье металлов,24.5,2020,6.0
Литье металлов,24.5,2021,6.0
"Производство готовых металлических изделий, кроме машин и оборудования",25,2017,19303.0
"Производство готовых металлических изделий, кроме машин и оборудования",25,2018,19109.0
"Производство готовых металлических изделий, кроме машин и оборудования",25,2019,28562.0
"Производство готовых металлических изделий, кроме машин и оборудования",25,2020,27561.0
"Производство готовых металлических изделий, кроме машин и оборудования",25,2021,23811.0
"Производство готовых металлических изделий, кроме машин и оборудования",25,2022,26856.0
"Производство готовых металлических изделий, кроме машин и оборудования",25,2023,29504.0
"Производство готовых металлических изделий, кроме машин и оборудования",25,2024,31052.0
"Производство готовых металлических изделий, кроме машин и оборудования",25,2025,27565.0
"Производство готовых металлических изделий, кроме машин, оборудования, оружия и боеприпасов",25.01.АГ,2024,1831.0
"Производство готовых металлических изделий, кроме машин, оборудования, оружия и боеприпасов",25.01.АГ,2025,1893.0
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2017,17824.0
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2018,17570.0
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2019,26453.0
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2020,23964.0
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2024,29221.0
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2025,25685.0
Производство строительных металлических конструкций и изделий,25.1,2020,6.0
Производство строительных металлических конструкций и изделий,25.1,2021,2.0
Производство строительных металлических конструкций и изделий,25.1,2025,65.0
"Производство строительных металлических конструкций, изделий и их частей",25.11,2020,6.0
"Производство строительных металлических конструкций, изделий и их частей",25.11,2021,2.0
"Производство строительных металлических конструкций, изделий и их частей",25.11,2025,65.0
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2018,144.0
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2019,648.0
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2020,642.0
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2021,265.0
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2020,831.0
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2021,1362.0
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2018,70.0
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2019,71.0
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2020,2096.0
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2021,287.0
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2022,445.0
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2023,338.0
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2024,237.0
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2025,277.0
Обработка металлов и нанесение покрытий на металлы,25.61,2025,253.0
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2019,54.0
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2020,22.0
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2021,28.0
"Производство компьютеров, электронных и оптических изделий",26,2017,21861.0
"Производство компьютеров, электронных и оптических изделий",26,2018,21082.0
"Производство компьютеров, электронных и оптических изделий",26,2019,21042.0
"Производство компьютеров, электронных и оптических изделий",26,2020,26408.0
"Производство компьютеров, электронных и оптических изделий",26,2021,25501.0
"Производство компьютеров, электронных и оптических изделий",26,2022,31867.0
"Производство компьютеров, электронных и оптических изделий",26,2023,33066.0
"Производство компьютеров, электронных и оптических изделий",26,2024,41119.0
"Производство компьютеров, электронных и оптических изделий",26,2025,47991.0
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2017,4635.0
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2018,3673.0
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2019,3924.0
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2020,4600.0
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2021,4086.0
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2022,4914.0
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2023,5441.0
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2024,7692.0
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2025,7475.0
Производство элементов электронной аппаратуры,26.11,2024,7692.0
Производство элементов электронной аппаратуры,26.11,2025,7281.0
Производство электронных вакуумных ламп и трубок и прочих электронных вакуумных приборов,26.11.1,2024,1262.0
Производство электронных вакуумных ламп и трубок и прочих электронных вакуумных приборов,26.11.1,2025,1926.0
"Производство диодов, транзисторов и прочих полупроводниковых приборов, включая светоизлучающие диоды, пьезоэлектрические приборы и их части",26.11.2,2024,3345.0
"Производство диодов, транзисторов и прочих полупроводниковых приборов, включая светоизлучающие диоды, пьезоэлектрические приборы и их части",26.11.2,2025,2383.0
Производство интегральных электронных схем,26.11.3,2024,677.0
Производство интегральных электронных схем,26.11.3,2025,539.0
"Производство частей электронных ламп, трубок и прочих электронных компонентов, не включенных в другие группировки",26.11.9,2024,2174.0
"Производство частей электронных ламп, трубок и прочих электронных компонентов, не включенных в другие группировки",26.11.9,2025,2304.0
Производство электронных печатных плат,26.12,2025,194.0
Производство компьютеров и периферийного оборудования,26.2,2017,48.0
Производство компьютеров и периферийного оборудования,26.20,2020,210.0
Производство компьютеров и периферийного оборудования,26.20,2021,380.0
Производство компьютеров и периферийного оборудования,26.20,2022,1080.0
Производство компьютеров и периферийного оборудования,26.20,2023,1663.0
Производство компьютеров и периферийного оборудования,26.20,2024,2617.0
Производство компьютеров и периферийного оборудования,26.20,2025,3999.0
"Производство устройств автоматической обработки данных, информационных и телекоммуникационных систем",26.20.04.АГ,2020,38.0
"Производство устройств автоматической обработки данных, информационных и телекоммуникационных систем",26.20.04.АГ,2024,1079.0
"Производство устройств автоматической обработки данных, информационных и телекоммуникационных систем",26.20.04.АГ,2025,1128.0
Производство компьютеров,26.20.1,2024,1538.0
Производство компьютеров,26.20.1,2025,2696.0
Производство коммуникационного оборудования,26.3,2017,7679.0
Производство коммуникационного оборудования,26.3,2018,8910.0
Производство коммуникационного оборудования,26.30,2019,5968.0
Производство коммуникационного оборудования,26.30,2020,8027.0
Производство коммуникационного оборудования,26.30,2021,7879.0
Производство коммуникационного оборудования,26.30,2022,9986.0
Производство коммуникационного оборудования,26.30,2023,5870.0
Производство коммуникационного оборудования,26.30,2024,8721.0
Производство коммуникационного оборудования,26.30,2025,7701.0
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2020,2183.0
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2024,3115.0
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2025,2388.0
"Производство коммуникационной аппаратуры, радио- и телевизионной передающей аппаратуры, телевизионных камер",26.30.1,2024,7888.0
"Производство коммуникационной аппаратуры, радио- и телевизионной передающей аппаратуры, телевизионных камер",26.30.1,2025,7323.0
"Производство средств связи, выполняющих функцию систем коммутации",26.30.11,2024,2578.0
"Производство средств связи, выполняющих функцию систем коммутации",26.30.11,2025,2968.0
Производство радио- и телевизионной передающей аппаратуры,26.30.17,2024,1893.0
Производство радио- и телевизионной передающей аппаратуры,26.30.17,2025,1527.0
Производство прочего коммуникационного оборудования,26.30.19,2024,302.0
Производство прочего коммуникационного оборудования,26.30.19,2025,440.0
Производство охранно-пожарной сигнализации и аналогичных приборов,26.30.6,2024,83.0
Производство охранно-пожарной сигнализации и аналогичных приборов,26.30.6,2025,84.0
Производство бытовой электроники,26.4,2017,602.0
Производство бытовой электроники,26.40,2018,280.0
Производство бытовой электроники,26.40,2019,197.0
Производство бытовой электроники,26.40,2020,259.0
Производство бытовой электроники,26.40,2021,248.0
Производство бытовой электроники,26.40,2022,248.0
Производство бытовой электроники,26.40,2023,142.0
Производство бытовой электроники,26.40,2024,212.0
Производство бытовой электроники,26.40,2025,254.0
Производство электроакустической аппаратуры,26.40.4,2025,150.0
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2017,7417.0
Производство контрольно,26.5,2018,7314.0
Производство контрольно,26.5,2019,10351.0
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2020,12412.0
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2021,12045.0
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2022,14631.0
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2023,18875.0
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2024,20725.0
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2025,25948.0
"Производство инструментов и приборов для измерения, тестирования и навигации",26.51,2024,20725.0
"Производство инструментов и приборов для измерения, тестирования и навигации",26.51,2025,25948.0
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2017,5186.0
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2018,4393.0
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2019,5356.0
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2020,7274.0
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2024,15704.0
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2025,19891.0
"Производство навигационных, метеорологических, геодезических, геофизических и аналогичного типа приборов, аппаратуры и инструментов",26.51.1,2024,3739.0
"Производство навигационных, метеорологических, геодезических, геофизических и аналогичного типа приборов, аппаратуры и инструментов",26.51.1,2025,3551.0
Производство приборов и аппаратуры для измерения электрических величин или ионизирующих излучений,26.51.4,2024,144.0
Производство приборов и аппаратуры для измерения электрических величин или ионизирующих излучений,26.51.4,2025,200.0
Производство приборов для контроля прочих физических величин,26.51.5,2024,446.0
Производство приборов для контроля прочих физических величин,26.51.5,2025,444.0
"Производство прочих приборов, датчиков, аппаратуры и инструментов для измерения, контроля и испытаний",26.51.6,2024,658.0
"Производство прочих приборов, датчиков, аппаратуры и инструментов для измерения, контроля и испытаний",26.51.6,2025,1862.0
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2017,338.0
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2018,335.0
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2019,166.0
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2020,122.0
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2021,140.0
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2022,208.0
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2023,299.0
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.60,2024,309.0
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.60,2025,342.0
"Производство аппаратов, применяемых в медицинских целях, основанных на использовании рентгеновского, альфа-, бета- и гамма-излучений",26.60.1,2024,148.0
"Производство аппаратов, применяемых в медицинских целях, основанных на использовании рентгеновского, альфа-, бета- и гамма-излучений",26.60.1,2025,137.0
"Производство диагностического и терапевтического оборудования, применяемого в медицинских целях",26.60.5,2024,161.0
"Производство оптических приборов, фото- и кинооборудования",26.7,2017,1142.0
"Производство оптических приборов, фото",26.7,2018,523.0
"Производство оптических приборов, фото",26.7,2019,389.0
"Производство оптических приборов, фото- и кинооборудования",26.7,2020,778.0
"Производство оптических приборов, фото- и кинооборудования",26.7,2021,723.0
"Производство оптических приборов, фото- и кинооборудования",26.7,2022,800.0
"Производство оптических приборов, фото- и кинооборудования",26.7,2023,776.0
"Производство оптических приборов, фото- и кинооборудования",26.70,2024,843.0
"Производство оптических приборов, фото- и кинооборудования",26.70,2025,2272.0
Производство фото- и кинооборудования,26.70.1,2024,67.0
Производство оптических прицелов и приборов определения координат целей,26.70.6,2024,621.0
Производство оптических прицелов и приборов определения координат целей,26.70.6,2025,653.0
Производство электрического оборудования,27,2017,2623.0
Производство электрического оборудования,27,2018,3093.0
Производство электрического оборудования,27,2019,2328.0
Производство электрического оборудования,27,2020,2608.0
Производство электрического оборудования,27,2021,2866.0
Производство электрического оборудования,27,2022,2246.0
Производство электрического оборудования,27,2023,2978.0
Производство электрического оборудования,27,2024,3336.0
Производство электрического оборудования,27,2025,3196.0
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2017,1556.0
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно",27.1,2018,1613.0
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно",27.1,2019,1317.0
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2020,2106.0
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2021,1426.0
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2022,1502.0
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2023,1936.0
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2024,2077.0
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2025,1899.0
"Производство электродвигателей, электрогенераторов и трансформаторов",27.11,2024,592.0
"Производство электродвигателей, электрогенераторов и трансформаторов",27.11,2025,838.0
"Производство электродвигателей, генераторов и трансформаторов, кроме ремонта",27.11.1,2024,592.0
"Производство электродвигателей, генераторов и трансформаторов, кроме ремонта",27.11.1,2025,523.0
Производство электродвигателей,27.11.11,2024,434.0
Производство электродвигателей,27.11.11,2025,369.0
Производство электрической распределительной и регулирующей аппаратуры,27.12,2024,1485.0
Производство электрической распределительной и регулирующей аппаратуры,27.12,2025,1061.0
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2017,267.0
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2018,277.0
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2019,260.0
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2020,251.0
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2021,1151.0
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2022,244.0
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2023,276.0
Производство электрических аккумуляторов и аккумуляторных батарей,27.20,2024,294.0
Производство электрических аккумуляторов и аккумуляторных батарей,27.20,2025,294.0
"Производство первичных элементов, батарей первичных элементов и их частей",27.20.1,2024,196.0
"Производство аккумуляторов, в том числе для автомобилей, аккумуляторных батарей и их составных частей",27.20.2,2024,98.0
"Производство аккумуляторов, в том числе для автомобилей, аккумуляторных батарей и их составных частей",27.20.2,2025,154.0
Производство аккумуляторных батарей и их частей,27.20.22,2025,101.0
Производство кабелей и кабельной арматуры,27.3,2017,403.0
Производство кабелей и кабельной арматуры,27.3,2018,390.0
Производство кабелей и кабельной арматуры,27.3,2020,36.0
Производство кабелей и кабельной арматуры,27.3,2021,71.0
Производство кабелей и кабельной арматуры,27.3,2022,306.0
Производство кабелей и кабельной арматуры,27.3,2023,555.0
Производство кабелей и кабельной арматуры,27.3,2024,417.0
Производство кабелей и кабельной арматуры,27.3,2025,367.0
Производство прочих проводов и кабелей для электронного и электрического оборудования,27.32,2024,274.0
Производство прочих проводов и кабелей для электронного и электрического оборудования,27.32,2025,262.0
Производство силовых кабелей,27.32.2,2024,106.0
Производство электроустановочных изделий,27.33,2024,141.0
Производство электроустановочных изделий,27.33,2025,103.0
Производство электрических ламп и осветительного оборудования,27.4,2020,60.0
Производство электрических ламп и осветительного оборудования,27.4,2021,62.0
Производство электрических ламп и осветительного оборудования,27.4,2022,70.0
Производство электрических ламп и осветительного оборудования,27.4,2023,81.0
Производство электрических ламп и осветительного оборудования,27.40,2024,74.0
Производство электрических ламп и осветительного оборудования,27.40,2025,67.0
Производство бытовых приборов,27.5,2021,7.0
Производство прочего электрического оборудования,27.9,2017,355.0
Производство прочего электрического оборудования,27.9,2018,766.0
Производство прочего электрического оборудования,27.9,2019,367.0
Производство прочего электрического оборудования,27.9,2020,155.0
Производство прочего электрического оборудования,27.9,2021,149.0
Производство прочего электрического оборудования,27.9,2022,123.0
Производство прочего электрического оборудования,27.9,2023,130.0
Производство прочего электрического оборудования,27.90,2024,474.0
Производство прочего электрического оборудования,27.90,2025,568.0
"Производство электрического оборудования прочего, не включенного в другие группировки",27.90.9,2024,474.0
"Производство электрического оборудования прочего, не включенного в другие группировки",27.90.9,2025,501.0
"Производство машин и оборудования, не включенных в другие группировки",28,2017,6017.0
"Производство машин и оборудования, не включенных в другие группировки",28,2018,5249.0
"Производство машин и оборудования, не включенных в другие группировки",28,2019,6471.0
"Производство машин и оборудования, не включенных в другие группировки",28,2020,3883.0
"Производство машин и оборудования, не включенных в другие группировки",28,2021,5259.0
"Производство машин и оборудования, не включенных в другие группировки",28,2022,5500.0
"Производство машин и оборудования, не включенных в другие группировки",28,2023,6058.0
"Производство машин и оборудования, не включенных в другие группировки",28,2024,6878.0
"Производство машин и оборудования, не включенных в другие группировки",28,2025,5675.0
Производство машин и оборудования общего назначения,28.1,2017,3266.0
Производство машин и оборудования общего назначения,28.1,2018,3528.0
Производство машин и оборудования общего назначения,28.1,2019,3548.0
Производство машин и оборудования общего назначения,28.1,2020,1032.0
Производство машин и оборудования общего назначения,28.1,2021,1125.0
Производство машин и оборудования общего назначения,28.1,2022,1585.0
Производство машин и оборудования общего назначения,28.1,2023,1562.0
Производство машин и оборудования общего назначения,28.1,2024,1767.0
Производство машин и оборудования общего назначения,28.1,2025,1495.0
"Производство двигателей и турбин, кроме авиационных, автомобильных и мотоциклетных двигателей",28.11,2024,470.0
"Производство двигателей и турбин, кроме авиационных, автомобильных и мотоциклетных двигателей",28.11,2025,414.0
"Производство двигателей, кроме авиационных, автомобильных и мотоциклетных",28.11.1,2024,145.0
"Производство двигателей, кроме авиационных, автомобильных и мотоциклетных",28.11.1,2025,130.0
Производство гидравлического и пневматического силового оборудования,28.12,2024,113.0
Производство гидравлических и пневматических силовых установок и двигателей,28.12.1,2024,112.0
Производство прочих насосов и компрессоров,28.13,2024,859.0
Производство прочих насосов и компрессоров,28.13,2025,612.0
Производство прочих машин и оборудования общего назначения,28.2,2017,354.0
Производство прочих машин и оборудования общего назначения,28.2,2019,759.0
Производство прочих машин и оборудования общего назначения,28.2,2020,541.0
Производство прочих машин и оборудования общего назначения,28.2,2021,410.0
Производство прочих машин и оборудования общего назначения,28.2,2022,457.0
Производство прочих машин и оборудования общего назначения,28.2,2023,508.0
Производство прочих машин и оборудования общего назначения,28.2,2024,389.0
Производство прочих машин и оборудования общего назначения,28.2,2025,277.0
Производство промышленного холодильного и вентиляционного оборудования,28.25,2024,315.0
Производство промышленного холодильного и вентиляционного оборудования,28.25,2025,232.0
"Производство теплообменных устройств, оборудования для кондиционирования воздуха промышленного холодильного и морозильного оборудования, производство оборудования для фильтрования и очистки газов",28.25.1,2024,315.0
"Производство теплообменных устройств, оборудования для кондиционирования воздуха промышленного холодильного и морозильного оборудования, производство оборудования для фильтрования и очистки газов",28.25.1,2025,232.0
"Производство прочих машин и оборудования общего назначения, не включенного в другие группировки",28.29,2025,24.0
Производство машин и оборудования для сельского и лесного хозяйства,28.3,2017,73.0
Производство машин и оборудования для сельского и лесного хозяйства,28.3,2020,10.0
Производство машин и оборудования для сельского и лесного хозяйства,28.3,2021,27.0
Производство машин и оборудования для сельского и лесного хозяйства,28.3,2023,66.0
"Производство станков, машин и оборудования для обработки металлов и прочих твердых материалов",28.4,2020,15.0
"Производство станков, машин и оборудования для обработки металлов и прочих твердых материалов",28.4,2021,5.0
