sector,okved2,year,researchers_s
"Собирательная классификационная группировка видов экономической деятельности в области лазерных, оптических и оптоэлектронных технологий (фотоники) на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД 2) ОК 029-2014 (КДЕС Ред.2)",1323500.029.36,2025,2274.0
Сектор информационно-коммуникационных технологий,1324500.029.01,2017,16743.0
Сектор информационно,1324500.029.01,2018,16567.0
Сектор информационно,1324500.029.01,2019,14820.0
Сектор информационно-коммуникационных технологий,1324500.029.01,2020,20272.0
Сектор информационно-коммуникационных технологий,1324500.029.01,2021,16930.0
Сектор информационно-коммуникационных технологий,1324500.029.01,2022,20580.0
Сектор информационно-коммуникационных технологий,1324500.029.01,2023,17933.0
Сектор информационно-коммуникационных технологий,1324500.029.01,2024,25310.0
Сектор информационно-коммуникационных технологий,1324500.029.01,2025,25208.0
Сектор контента и средств массовой информации,1324500.029.02,2020,21.0
Сектор контента и средств массовой информации,1324500.029.02,2021,26.0
Сектор контента и средств массовой информации,1324500.029.02,2022,14.0
Сектор контента и средств массовой информации,1324500.029.02,2023,30.0
Сектор контента и средств массовой информации,1324500.029.02,2025,37.0
Собирательная классификация группировка видов экономической деятельности «Отрасль информационных технологий» на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред. 2),1324500.029.11,2017,2320.0
Отрасль информационных технологий,1324500.029.11,2018,2282.0
Отрасль информационных технологий,1324500.029.11,2019,2805.0
Отрасль информационных технологий,1324500.029.11,2020,4812.0
Отрасль информационных технологий,1324500.029.11,2021,3030.0
Отрасль информационных технологий,1324500.029.11,2022,3072.0
Отрасль информационных технологий,1324500.029.11,2023,3416.0
Отрасль информационных технологий,1324500.029.11,2024,5349.0
Отрасль информационных технологий,1324500.029.11,2025,4419.0
Собирательная классификационная группировка видов экономической деятельности 'Агропромышленный комплекс' на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2),1325000.029.01,2017,550135.0
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029",1325000.029.01,2018,523168.0
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029",1325000.029.01,2019,489266.0
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2020,483247.0
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2021,471405.0
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2022,465640.0
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2023,464463.0
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2024,448946.0
Наукоемкие виды экономической деятельности.,136.АГ,2024,545794.0
Наукоемкие виды экономической деятельности.,136.АГ,2025,544508.0
Производство одежды,14,2021,105.0
Производство одежды,14,2024,206.0
Производство одежды,14,2025,192.0
"Производство одежды, кроме одежды из меха",14.1,2021,105.0
"Производство одежды, кроме одежды из меха",14.1,2024,206.0
"Производство одежды, кроме одежды из меха",14.1,2025,192.0
Производство спецодежды,14.12,2024,206.0
Производство спецодежды,14.12,2025,192.0
Производство бумаги и бумажных изделий,17,2021,2.0
Деятельность полиграфическая и копирование носителей информации,18,2017,559.0
