region,okato,year,BDusage_r
Липецкая область,42,2023,298
Липецкая область,42,2024,218
Магаданская область,44,2021,207
Магаданская область,44,2022,223
Магаданская область,44,2023,111
Магаданская область,44,2024,43
Город Москва столица Российской Федерации город федерального значения,45,2021,7876
Город Москва столица Российской Федерации город федерального значения,45,2022,9409
Город Москва столица Российской Федерации город федерального значения,45,2023,5072
Город Москва столица Российской Федерации город федерального значения,45,2024,3190
Московская область,46,2021,5025
Московская область,46,2022,7956
Московская область,46,2023,3898
Московская область,46,2024,2266
Мурманская область,47,2021,486
Мурманская область,47,2022,612
Мурманская область,47,2023,282
Мурманская область,47,2024,181
Новгородская область,49,2021,477
Новгородская область,49,2022,728
Новгородская область,49,2023,300
Новгородская область,49,2024,146
Приморский край,5,2021,957
Приморский край,5,2022,1042
Приморский край,5,2023,554
Приморский край,5,2024,325
Новосибирская область,50,2021,1540
Новосибирская область,50,2022,1739
Новосибирская область,50,2023,888
Новосибирская область,50,2024,591
Омская область,52,2021,399
Омская область,52,2022,612
Омская область,52,2023,315
Омская область,52,2024,174
Оренбургская область,53,2021,869
Оренбургская область,53,2022,1046
Оренбургская область,53,2023,497
Оренбургская область,53,2024,318
Орловская область,54,2021,327
Орловская область,54,2022,444
Орловская область,54,2023,220
Орловская область,54,2024,94
Пензенская область,56,2021,574
Пензенская область,56,2022,654
Пензенская область,56,2023,325
Пензенская область,56,2024,206
Пермский край,57,2021,1265
Пермский край,57,2022,1698
Пермский край,57,2023,711
Пермский край,57,2024,377
Псковская область,58,2021,458
Псковская область,58,2022,584
Псковская область,58,2023,279
Псковская область,58,2024,142
Ростовская область,60,2021,2017
Ростовская область,60,2022,2596
Ростовская область,60,2023,1261
Ростовская область,60,2024,731
Рязанская область,61,2021,402
Рязанская область,61,2022,613
Рязанская область,61,2023,313
Рязанская область,61,2024,151
Саратовская область,63,2021,1077
Саратовская область,63,2022,1317
Саратовская область,63,2023,634
Саратовская область,63,2024,376
Сахалинская область,64,2021,550
Сахалинская область,64,2022,632
Сахалинская область,64,2023,327
Сахалинская область,64,2024,212
Российская Федерация,643,2021,78172
Российская Федерация,643,2022,94537
Российская Федерация,643,2023,47314
Российская Федерация,643,2024,27243
Свердловская область,65,2021,2703
Свердловская область,65,2022,3279
Свердловская область,65,2023,1653
Свердловская область,65,2024,856
Смоленская область,66,2021,452
Смоленская область,66,2022,571
Смоленская область,66,2023,260
Смоленская область,66,2024,161
Тамбовская область,68,2021,419
Тамбовская область,68,2022,634
Тамбовская область,68,2023,286
Тамбовская область,68,2024,198
Томская область,69,2021,582
Томская область,69,2022,671
Томская область,69,2023,352
Томская область,69,2024,171
Ставропольский край,7,2021,1032
Ставропольский край,7,2022,1201
Ставропольский край,7,2023,604
Ставропольский край,7,2024,282
Тульская область,70,2021,840
Тульская область,70,2022,1043
Тульская область,70,2023,522
Тульская область,70,2024,289
Тюменская область,71,2021,2954
Тюменская область,71,2022,3425
Тюменская область,71,2023,1687
Тюменская область,71,2024,966
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2021,938
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2022,1179
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2023,597
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2024,364
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2021,1307
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2022,1494
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2023,721
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2024,398
Ямало-Ненецкий автономный округ (Тюменская область),7114,2021,709
Ямало-Ненецкий автономный округ (Тюменская область),7114,2022,752
Ямало-Ненецкий автономный округ (Тюменская область),7114,2023,369
Ямало-Ненецкий автономный округ (Тюменская область),7114,2024,204
Ульяновская область,73,2021,400
Ульяновская область,73,2022,606
Ульяновская область,73,2023,310
Ульяновская область,73,2024,198
Челябинская область,75,2021,1652
Челябинская область,75,2022,1083
Челябинская область,75,2023,531
Челябинская область,75,2024,329
Забайкальский край,76,2021,674
Забайкальский край,76,2022,726
Забайкальский край,76,2023,340
Забайкальский край,76,2024,155
Чукотский автономный округ,77,2021,146
Чукотский автономный округ,77,2022,184
Чукотский автономный округ,77,2023,72
Чукотский автономный округ,77,2024,10
Ярославская область,78,2021,729
Ярославская область,78,2022,1070
Ярославская область,78,2023,524
Ярославская область,78,2024,97
Республика Адыгея (Адыгея),79,2021,260
Республика Адыгея (Адыгея),79,2022,391
Республика Адыгея (Адыгея),79,2023,195
Республика Адыгея (Адыгея),79,2024,130
Хабаровский край,8,2021,837
Хабаровский край,8,2022,801
Хабаровский край,8,2023,376
Хабаровский край,8,2024,183
Республика Башкортостан,80,2021,1720
Республика Башкортостан,80,2022,1970
Республика Башкортостан,80,2023,983
Республика Башкортостан,80,2024,593
Республика Бурятия,81,2021,546
Республика Бурятия,81,2022,639
Республика Бурятия,81,2023,324
Республика Бурятия,81,2024,214
Республика Дагестан,82,2021,823
Республика Дагестан,82,2022,951
Республика Дагестан,82,2023,500
Республика Дагестан,82,2024,328
Кабардино-Балкарская Республика,83,2021,239
Кабардино-Балкарская Республика,83,2022,263
Кабардино-Балкарская Республика,83,2023,165
Кабардино-Балкарская Республика,83,2024,155
Республика Алтай,84,2021,155
Республика Алтай,84,2022,164
Республика Алтай,84,2023,78
Республика Алтай,84,2024,35
Республика Калмыкия,85,2021,155
Республика Калмыкия,85,2022,208
Республика Калмыкия,85,2023,106
Республика Калмыкия,85,2024,72
Республика Карелия,86,2021,370
Республика Карелия,86,2022,166
Республика Карелия,86,2023,119
Республика Карелия,86,2024,81
Республика Коми,87,2021,357
Республика Коми,87,2022,479
Республика Коми,87,2023,233
Республика Коми,87,2024,132
Республика Марий Эл,88,2021,262
Республика Марий Эл,88,2022,370
Республика Марий Эл,88,2023,185
Республика Марий Эл,88,2024,144
Республика Мордовия,89,2021,336
Республика Мордовия,89,2022,426
Республика Мордовия,89,2023,213
Республика Мордовия,89,2024,147
Республика Северная Осетия-Алания,90,2021,275
Республика Северная Осетия-Алания,90,2022,333
Республика Северная Осетия-Алания,90,2023,183
Республика Северная Осетия-Алания,90,2024,150
Карачаево-Черкесская Республика,91,2021,262
Карачаево-Черкесская Республика,91,2022,293
Карачаево-Черкесская Республика,91,2023,148
Карачаево-Черкесская Республика,91,2024,89
Республика Татарстан (Татарстан),92,2021,2104
Республика Татарстан (Татарстан),92,2022,2123
Республика Татарстан (Татарстан),92,2023,1111
Республика Татарстан (Татарстан),92,2024,663
Республика Тыва,93,2021,139
Республика Тыва,93,2022,149
Республика Тыва,93,2023,52
Республика Тыва,93,2024,12
Удмуртская Республика,94,2021,326
Удмуртская Республика,94,2022,426
Удмуртская Республика,94,2023,207
Удмуртская Республика,94,2024,130
Республика Хакасия,95,2021,342
Республика Хакасия,95,2022,276
Республика Хакасия,95,2023,177
Республика Хакасия,95,2024,73
Чеченская Республика,96,2021,707
Чеченская Республика,96,2022,940
Чеченская Республика,96,2023,544
Чеченская Республика,96,2024,478
Чувашская Республика - Чувашия,97,2021,534
Чувашская Республика - Чувашия,97,2022,632
Чувашская Республика - Чувашия,97,2023,303
Чувашская Республика - Чувашия,97,2024,148
Республика Саха (Якутия),98,2021,986
Республика Саха (Якутия),98,2022,857
Республика Саха (Якутия),98,2023,649
Республика Саха (Якутия),98,2024,69
Еврейская автономная область,99,2021,206
Еврейская автономная область,99,2022,210
Еврейская автономная область,99,2023,108
Еврейская автономная область,99,2024,34
