region,okato,year,AIusage_r
Костромская область,34,2022,165
Костромская область,34,2023,134
Костромская область,34,2024,114
Самарская область,36,2021,387
Самарская область,36,2022,380
Самарская область,36,2023,341
Самарская область,36,2024,400
Курганская область,37,2021,93
Курганская область,37,2022,98
Курганская область,37,2023,82
Курганская область,37,2024,78
Курская область,38,2021,156
Курская область,38,2022,107
Курская область,38,2023,99
Курская область,38,2024,126
Красноярский край,4,2021,254
Красноярский край,4,2022,281
Красноярский край,4,2023,169
Красноярский край,4,2024,197
Город Санкт-Петербург город федерального значения,40,2021,451
Город Санкт-Петербург город федерального значения,40,2022,745
Город Санкт-Петербург город федерального значения,40,2023,489
Город Санкт-Петербург город федерального значения,40,2024,521
Ленинградская область,41,2021,224
Ленинградская область,41,2022,307
Ленинградская область,41,2023,203
Ленинградская область,41,2024,165
Липецкая область,42,2021,170
Липецкая область,42,2022,176
Липецкая область,42,2023,140
Липецкая область,42,2024,160
Магаданская область,44,2021,33
Магаданская область,44,2022,48
Магаданская область,44,2023,42
Магаданская область,44,2024,31
Город Москва столица Российской Федерации город федерального значения,45,2021,1191
Город Москва столица Российской Федерации город федерального значения,45,2022,1824
Город Москва столица Российской Федерации город федерального значения,45,2023,1394
Город Москва столица Российской Федерации город федерального значения,45,2024,1617
Московская область,46,2021,1748
Московская область,46,2022,2075
Московская область,46,2023,1589
Московская область,46,2024,1191
Мурманская область,47,2021,129
Мурманская область,47,2022,139
Мурманская область,47,2023,116
Мурманская область,47,2024,108
Новгородская область,49,2021,187
Новгородская область,49,2022,160
Новгородская область,49,2023,56
Новгородская область,49,2024,68
Приморский край,5,2021,153
Приморский край,5,2022,228
Приморский край,5,2023,139
Приморский край,5,2024,143
Новосибирская область,50,2021,343
Новосибирская область,50,2022,433
Новосибирская область,50,2023,314
Новосибирская область,50,2024,319
Омская область,52,2021,113
Омская область,52,2022,169
Омская область,52,2023,131
Омская область,52,2024,131
Оренбургская область,53,2021,208
Оренбургская область,53,2022,272
Оренбургская область,53,2023,205
Оренбургская область,53,2024,173
Орловская область,54,2021,122
Орловская область,54,2022,108
