sector,okved2,year,factoriescap_s,ITcosts_s,skvozcosts_s,trainingcosts_s,x,y,clust
"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",D,2024.0,0.2213182400434738,0.3218334419265262,0.0706103084227081,0.0321121409678925,0.040864125553769934,0.1936114771726843,3
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2024.0,0.0174877830081835,0.1105461150883769,0.0064352917746096,0.0028611776104637,-0.05698313397535035,-0.004087032988866993,2
Производство строительных металлических конструкций и изделий,25.1,2021.0,0.0381160919127291,0.0955021892186364,0.0007089406983261,0.032337090845978,-0.06390909305538987,-0.009152326555009097,2
Производство напитков,11,2021.0,0.04198339301493,0.0757151479183137,0.0062216208201345,0.0169607410808094,-0.06217666303169859,-0.03307068945848207,2
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.3,2023.0,0.0401782436527467,0.4111322813023401,0.002132625591825,0.0438085480662484,-0.012135012780394708,0.29250264614597693,3
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2021.0,0.0930437783544887,0.0160178348912757,0.1020361856233215,0.0323409424564681,0.023493731401724685,-0.1008183985717489,2
Производство изделий из пластмасс,22.2,2024.0,0.0580895536055088,0.0450124835319074,0.0027219844419602,0.0078918712260424,-0.0708273636573538,-0.06409173450261829,2
"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",E,2023.0,0.0674463201365542,0.1253885350809265,0.0034368700472951,0.0212269944267472,-0.056905095001317574,0.015579849583323674,0
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2022.0,0.0351202755234243,0.0581245162358791,0.0223867450345735,0.0121155598855249,-0.04919142486853757,-0.05369581123236069,2
Производство готовых кормов для животных,10.9,2021.0,0.0289321732004109,0.0121702272543819,0.0405920515409971,0.5515345715821397,-0.018287319128475643,0.050674218653955924,5
Добыча нефти и нефтяного (попутного) газа,06.1,2023.0,0.5225057649832335,0.0521235098198389,0.000830044803474,0.0304370754920086,-0.07072423922184147,-0.05075219001365381,2
Добыча угля,05,2021.0,0.0929461744215247,0.0289395815225919,0.028210331518909,0.0080037238070665,-0.04821709452856527,-0.08340846330354601,2
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.3,2024.0,0.0452561097385637,0.3178240967130879,0.0267882994310786,0.0483699585786337,-0.0023999029090749774,0.2014778347354408,3
"Забор, очистка и распределение воды",36,2024.0,0.0117138353835053,0.2140909202310615,0.0166786024273942,0.020129173389294,-0.029846078072479812,0.09706152660915231,0
"Производство автотранспортных средств, прицепов и полуприцепов",29,2021.0,0.1402805263681658,0.1150125874921252,0.0013837872084337,0.2319718655135996,-0.052675945295825366,0.06501507552038512,0
"Производство изделий из бетона, цемента и гипса",23.6,2023.0,0.037410578621514,0.0515945793690399,0.0050542092262275,0.0071786014609494,-0.06751147148483422,-0.05844121543515614,2
Производство напитков,11,2022.0,0.0437424722928353,0.0570265096636381,0.0001008582191792,0.0108635757433591,-0.07140138052327766,-0.05146652729443026,2
