sector,okved2,year,pBDusage_s
Разведение домашних северных оленей,01.49.41,2021.0,0.30303030303030304
Разведение домашних северных оленей,01.49.41,2023.0,0.0967741935483871
Разведение домашних северных оленей,01.49.41,2024.0,
"Разведение благородных оленей (европейских, кавказских, маралов, изюбрей)",01.49.43,2021.0,0.5
"Разведение благородных оленей (европейских, кавказских, маралов, изюбрей)",01.49.43,2023.0,0.3333333333333333
"Разведение благородных оленей (европейских, кавказских, маралов, изюбрей)",01.49.43,2024.0,
"Производство пантов северных оленей, пятнистых оленей, благородных оленей (европейских, кавказских, маралов, изюбрей), ланей",01.49.44,2021.0,0.5
"Производство пантов северных оленей, пятнистых оленей, благородных оленей (европейских, кавказских, маралов, изюбрей), ланей",01.49.44,2023.0,
Разведение домашних животных,01.49.5,2021.0,
Разведение домашних животных,01.49.5,2023.0,
Разведение домашних животных,01.49.5,2024.0,
Разведение лабораторных животных,01.49.6,2021.0,1.0
Разведение лабораторных животных,01.49.6,2023.0,
Разведение лабораторных животных,01.49.6,2024.0,
"Разведение прочих животных, не включенных в другие группировки",01.49.9,2021.0,1.0
"Разведение прочих животных, не включенных в другие группировки",01.49.9,2023.0,
"Разведение прочих животных, не включенных в другие группировки",01.49.9,2024.0,
Смешанное сельское хозяйство,01.50,2021.0,0.3181818181818182
Смешанное сельское хозяйство,01.50,2023.0,0.15625
Смешанное сельское хозяйство,01.50,2024.0,0.14285714285714285
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2021.0,0.26199261992619927
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2023.0,0.1490566037735849
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2024.0,0.08761904761904762
Предоставление услуг в области растениеводства,01.61,2021.0,0.26232741617357
Предоставление услуг в области растениеводства,01.61,2023.0,0.1557377049180328
Предоставление услуг в области растениеводства,01.61,2024.0,0.08713692946058091
Предоставление услуг в области животноводства,01.62,2021.0,0.32142857142857145
Предоставление услуг в области животноводства,01.62,2023.0,0.1
Предоставление услуг в области животноводства,01.62,2024.0,0.10714285714285714
Деятельность сельскохозяйственная после сбора урожая,01.63,2021.0,
Деятельность сельскохозяйственная после сбора урожая,01.63,2023.0,
Деятельность сельскохозяйственная после сбора урожая,01.63,2024.0,0.25
Обработка семян для посадки,01.64,2021.0,
Обработка семян для посадки,01.64,2023.0,
Обработка семян для посадки,01.64,2024.0,
"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",01.70,2021.0,0.3269230769230769
"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",01.70,2023.0,0.06896551724137931
"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",01.70,2024.0,0.03361344537815126
Лесоводство и лесозаготовки,02,2021.0,0.2783582089552239
Лесоводство и лесозаготовки,02,2023.0,0.1296875
Лесоводство и лесозаготовки,02,2024.0,0.09403669724770643
Лесоводство и прочая лесохозяйственная деятельность,02.10,2021.0,0.2566995768688293
Лесоводство и прочая лесохозяйственная деятельность,02.10,2023.0,0.11263736263736264
Лесоводство и прочая лесохозяйственная деятельность,02.10,2024.0,0.10117302052785923
Деятельность лесопитомников,02.10.1,2021.0,0.2727272727272727
Деятельность лесопитомников,02.10.1,2023.0,0.045454545454545456
Деятельность лесопитомников,02.10.1,2024.0,0.058823529411764705
"Выращивание посадочного материала лесных растений (саженцев, сеянцев)",02.10.11,2021.0,0.35294117647058826
"Выращивание посадочного материала лесных растений (саженцев, сеянцев)",02.10.11,2023.0,0.07692307692307693
"Выращивание посадочного материала лесных растений (саженцев, сеянцев)",02.10.11,2024.0,0.1111111111111111
Деятельность лесохозяйственная прочая,02.10.2,2021.0,0.24193548387096775
Деятельность лесохозяйственная прочая,02.10.2,2023.0,0.11764705882352941
Деятельность лесохозяйственная прочая,02.10.2,2024.0,0.0625
Лесозаготовки,02.20,2021.0,0.34418604651162793
Лесозаготовки,02.20,2023.0,0.11235955056179775
Лесозаготовки,02.20,2024.0,0.045454545454545456
"Сбор и заготовка пищевых лесных ресурсов, недревесных лесных ресурсов и лекарственных растений",02.30,2021.0,
"Сбор и заготовка пищевых лесных ресурсов, недревесных лесных ресурсов и лекарственных растений",02.30,2023.0,0.2
"Сбор и заготовка пищевых лесных ресурсов, недревесных лесных ресурсов и лекарственных растений",02.30,2024.0,
Сбор и заготовка пищевых лесных ресурсов,02.30.1,2021.0,
Сбор и заготовка пищевых лесных ресурсов,02.30.1,2023.0,0.25
Сбор и заготовка пищевых лесных ресурсов,02.30.1,2024.0,
Сбор и заготовка дикорастущих грибов,02.30.11,2023.0,
Сбор и заготовка дикорастущих грибов,02.30.11,2024.0,
"Сбор и заготовка дикорастущих плодов, ягод",02.30.12,2021.0,
"Сбор и заготовка дикорастущих плодов, ягод",02.30.12,2023.0,0.3333333333333333
"Сбор и заготовка дикорастущих плодов, ягод",02.30.12,2024.0,
Сбор и заготовка дикорастущих орехов,02.30.13,2021.0,
Сбор и заготовка дикорастущих орехов,02.30.13,2023.0,
Сбор и заготовка дикорастущих орехов,02.30.13,2024.0,
Сбор и заготовка недревесных лесных ресурсов,02.30.2,2021.0,
Сбор и заготовка недревесных лесных ресурсов,02.30.2,2023.0,
Предоставление услуг в области лесоводства и лесозаготовок,02.40,2021.0,0.2819277108433735
Предоставление услуг в области лесоводства и лесозаготовок,02.40,2023.0,0.17073170731707318
Предоставление услуг в области лесоводства и лесозаготовок,02.40,2024.0,0.1029082774049217
Предоставление услуг в области лесоводства,02.40.1,2021.0,0.2972222222222222
Предоставление услуг в области лесоводства,02.40.1,2023.0,0.17684887459807075
Предоставление услуг в области лесоводства,02.40.1,2024.0,0.09615384615384616
Предоставление услуг в области лесозаготовок,02.40.2,2021.0,0.16666666666666666
Предоставление услуг в области лесозаготовок,02.40.2,2023.0,0.2727272727272727
Предоставление услуг в области лесозаготовок,02.40.2,2024.0,0.125
Рыболовство и рыбоводство,03,2021.0,0.30662983425414364
Рыболовство и рыбоводство,03,2023.0,0.11171662125340599
Рыболовство и рыбоводство,03,2024.0,0.05808080808080808
Рыболовство,03.1,2021.0,0.386046511627907
Рыболовство,03.1,2023.0,0.1409090909090909
Рыболовство,03.1,2024.0,0.06072874493927125
Рыболовство морское,03.11,2021.0,0.36065573770491804
Рыболовство морское,03.11,2023.0,0.143646408839779
Рыболовство морское,03.11,2024.0,0.058823529411764705
Рыболовство морское промышленное,03.11.1,2021.0,0.2
Рыболовство морское промышленное,03.11.1,2023.0,0.2
Рыболовство морское промышленное,03.11.1,2024.0,0.10606060606060606
Рыболовство морское прибрежное,03.11.2,2021.0,0.3333333333333333
Рыболовство морское прибрежное,03.11.2,2023.0,0.25
Рыболовство морское прибрежное,03.11.2,2024.0,0.16666666666666666
Рыболовство пресноводное,03.12,2021.0,0.53125
Рыболовство пресноводное,03.12,2023.0,0.1282051282051282
Рыболовство пресноводное,03.12,2024.0,0.06976744186046512
Рыболовство пресноводное промышленное,03.12.1,2021.0,0.3125
Рыболовство пресноводное промышленное,03.12.1,2023.0,0.07142857142857142
Рыболовство пресноводное промышленное,03.12.1,2024.0,0.13333333333333333
Рыболовство пресноводное в целях аквакультуры (рыбоводства),03.12.2,2021.0,1.0
Рыболовство пресноводное в целях аквакультуры (рыбоводства),03.12.2,2023.0,
Рыболовство пресноводное в целях аквакультуры (рыбоводства),03.12.2,2024.0,
Рыболовство любительское и спортивное,03.12.3,2021.0,
Рыболовство любительское и спортивное,03.12.3,2023.0,
Рыболовство любительское и спортивное,03.12.3,2024.0,
"Рыболовство в целях обеспечения ведения традиционного образа жизни и осуществления традиционной хозяйственной деятельности коренных малочисленных народов Севера, Сибири и Дальнего Востока Российской Федерации",03.12.4,2021.0,0.75
"Рыболовство в целях обеспечения ведения традиционного образа жизни и осуществления традиционной хозяйственной деятельности коренных малочисленных народов Севера, Сибири и Дальнего Востока Российской Федерации",03.12.4,2024.0,
Рыбоводство,03.2,2021.0,0.19047619047619047
Рыбоводство,03.2,2023.0,0.06802721088435375
Рыбоводство,03.2,2024.0,0.053691275167785234
Рыбоводство морское,03.21,2021.0,0.25
Рыбоводство морское,03.21,2023.0,
Рыбоводство морское,03.21,2024.0,0.1111111111111111
Рыбоводство морское индустриальное,03.21.1,2021.0,0.3333333333333333
Рыбоводство морское индустриальное,03.21.1,2023.0,
Рыбоводство морское индустриальное,03.21.1,2024.0,0.25
Рыбоводство морское пастбищное,03.21.2,2023.0,
Мелиорация рыбохозяйственная морских и минерализированных водных объектов,03.21.3,2023.0,
Мелиорация рыбохозяйственная морских и минерализированных водных объектов,03.21.3,2024.0,
Воспроизводство морских биоресурсов искусственное,03.21.4,2021.0,0.25
Воспроизводство морских биоресурсов искусственное,03.21.4,2023.0,
Воспроизводство морских биоресурсов искусственное,03.21.4,2024.0,
Рыбоводство пресноводное,03.22,2021.0,0.18705035971223022
Рыбоводство пресноводное,03.22,2023.0,0.07407407407407407
Рыбоводство пресноводное,03.22,2024.0,0.05
Рыбоводство пресноводное индустриальное,03.22.1,2021.0,0.4
Рыбоводство пресноводное индустриальное,03.22.1,2023.0,0.3333333333333333
