sector,okved2,year,pPCusage_s
"Выращивание растений, используемых в основном в парфюмерии, фармации или в качестве инсектицидов, фунгицидов и для аналогичных целей",01.28.3,2023.0,
Выращивание прочих многолетних культур,01.29,2021.0,1.0
Выращивание прочих многолетних культур,01.29,2022.0,1.0
Выращивание прочих многолетних культур,01.29,2023.0,1.0
Выращивание прочих многолетних культур,01.29,2024.0,1.0
Выращивание рассады,01.30,2019.0,1.0
Выращивание рассады,01.30,2021.0,1.0
Выращивание рассады,01.30,2022.0,1.0
Выращивание рассады,01.30,2023.0,1.0
Выращивание рассады,01.30,2024.0,0.875
Животноводство,01.4,2019.0,0.9979674796747967
Животноводство,01.4,2021.0,1.0
Животноводство,01.4,2022.0,1.0
Животноводство,01.4,2023.0,0.9891238670694864
Животноводство,01.4,2024.0,0.9713930348258707
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2021.0,1.0
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2022.0,1.0
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2023.0,0.9929006085192698
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2024.0,0.9840933191940615
Разведение молочного крупного рогатого скота,01.41.1,2021.0,1.0
Разведение молочного крупного рогатого скота,01.41.1,2022.0,1.0
Разведение молочного крупного рогатого скота,01.41.1,2023.0,0.9972972972972973
Разведение молочного крупного рогатого скота,01.41.1,2024.0,0.9734513274336283
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2021.0,1.0
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2022.0,1.0
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2023.0,0.9957627118644068
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2024.0,0.9666666666666667
Разведение племенного молочного крупного рогатого скота,01.41.12,2021.0,1.0
Разведение племенного молочного крупного рогатого скота,01.41.12,2022.0,1.0
Разведение племенного молочного крупного рогатого скота,01.41.12,2023.0,1.0
Разведение племенного молочного крупного рогатого скота,01.41.12,2024.0,0.991869918699187
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2021.0,1.0
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2022.0,1.0
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2023.0,1.0
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2024.0,0.9901380670611439
Производство сырого коровьего молока,01.41.21,2021.0,1.0
Производство сырого коровьего молока,01.41.21,2022.0,1.0
Производство сырого коровьего молока,01.41.21,2023.0,1.0
Производство сырого коровьего молока,01.41.21,2024.0,0.9899799599198397
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2021.0,1.0
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2022.0,1.0
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2023.0,1.0
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2024.0,1.0
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2021.0,1.0
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2022.0,1.0
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2023.0,1.0
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2024.0,0.9464285714285714
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2021.0,1.0
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2022.0,1.0
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2023.0,1.0
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2024.0,0.8888888888888888
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2021.0,1.0
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2022.0,1.0
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2023.0,1.0
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2024.0,0.9411764705882353
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2021.0,1.0
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2022.0,1.0
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2023.0,1.0
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2024.0,1.0
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2021.0,1.0
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2022.0,1.0
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2023.0,1.0
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2024.0,1.0
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2021.0,1.0
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2022.0,1.0
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2023.0,0.9
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2024.0,0.95
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2021.0,1.0
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2022.0,1.0
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2023.0,0.8888888888888888
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2024.0,0.9411764705882353
Разведение верблюдов и прочих животных семейства верблюжьих,01.44,2021.0,1.0
Разведение верблюдов и прочих животных семейства верблюжьих,01.44,2023.0,1.0
Разведение овец и коз,01.45,2023.0,0.9629629629629629
Разведение овец и коз,01.45,2024.0,0.8888888888888888
Разведение овец и коз,01.45.1,2021.0,1.0
Разведение овец и коз,01.45.1,2022.0,1.0
Разведение овец и коз,01.45.1,2023.0,1.0
Разведение овец и коз,01.45.1,2024.0,0.9047619047619048
Производство сырого овечьего и козьего молока,01.45.2,2023.0,1.0
Производство сырой (немытой) шерсти и волоса козы,01.45.3,2022.0,
Производство сырой (немытой) шерсти и волоса козы,01.45.3,2023.0,
Производство сырой (немытой) шерсти и волоса козы,01.45.3,2024.0,
Разведение племенных овец и коз,01.45.4,2021.0,1.0
Разведение племенных овец и коз,01.45.4,2022.0,
Разведение племенных овец и коз,01.45.4,2023.0,1.0
Разведение племенных овец и коз,01.45.4,2024.0,1.0
Разведение свиней,01.46,2021.0,1.0
Разведение свиней,01.46,2022.0,1.0
Разведение свиней,01.46,2023.0,1.0
Разведение свиней,01.46,2024.0,0.9685863874345549
Выращивание и разведение свиней,01.46.1,2021.0,1.0
Выращивание и разведение свиней,01.46.1,2022.0,1.0
Выращивание и разведение свиней,01.46.1,2023.0,1.0061349693251533
Выращивание и разведение свиней,01.46.1,2024.0,0.9705882352941176
Выращивание свиней на мясо,01.46.11,2021.0,1.0
Выращивание свиней на мясо,01.46.11,2022.0,1.0
Выращивание свиней на мясо,01.46.11,2023.0,1.00625
Выращивание свиней на мясо,01.46.11,2024.0,0.9700598802395209
Разведение племенного поголовья свиней,01.46.12,2021.0,1.0
Разведение племенного поголовья свиней,01.46.12,2022.0,1.0
Разведение племенного поголовья свиней,01.46.12,2023.0,1.0
Разведение племенного поголовья свиней,01.46.12,2024.0,1.0
Разведение сельскохозяйственной птицы,01.47,2021.0,1.0
Разведение сельскохозяйственной птицы,01.47,2022.0,1.0
Разведение сельскохозяйственной птицы,01.47,2023.0,0.9832214765100671
Разведение сельскохозяйственной птицы,01.47,2024.0,0.9795221843003413
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2021.0,1.0
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2022.0,1.0
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2023.0,1.0
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2024.0,0.9696969696969697
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2021.0,1.0
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2022.0,1.0
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2023.0,1.0
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2024.0,0.974025974025974
Разведение племенной сельскохозяйственной птицы,01.47.12,2021.0,1.0
Разведение племенной сельскохозяйственной птицы,01.47.12,2022.0,1.0
Разведение племенной сельскохозяйственной птицы,01.47.12,2023.0,1.0
Разведение племенной сельскохозяйственной птицы,01.47.12,2024.0,0.95
Производство яиц сельскохозяйственной птицы,01.47.2,2021.0,1.0
Производство яиц сельскохозяйственной птицы,01.47.2,2022.0,1.0
Производство яиц сельскохозяйственной птицы,01.47.2,2023.0,0.9752066115702479
Производство яиц сельскохозяйственной птицы,01.47.2,2024.0,1.0
Деятельность инкубаторов для птицеводства,01.47.3,2021.0,1.0
Деятельность инкубаторов для птицеводства,01.47.3,2022.0,1.0
Деятельность инкубаторов для птицеводства,01.47.3,2023.0,1.0
Деятельность инкубаторов для птицеводства,01.47.3,2024.0,1.0
Разведение прочих животных,01.49,2021.0,1.0
Разведение прочих животных,01.49,2022.0,1.0
Разведение прочих животных,01.49,2023.0,0.9605263157894737
Разведение прочих животных,01.49,2024.0,0.8461538461538461
Пчеловодство,01.49.1,2021.0,1.0
Пчеловодство,01.49.1,2022.0,1.0
Пчеловодство,01.49.1,2024.0,0.75
Пчеловодство медового направления,01.49.11,2021.0,1.0
Пчеловодство медового направления,01.49.11,2022.0,1.0
Пчеловодство медового направления,01.49.11,2024.0,1.0
Пчеловодство опылительного направления,01.49.12,2021.0,1.0
Разведение кроликов и прочих пушных зверей на фермах,01.49.2,2021.0,1.0
Разведение кроликов и прочих пушных зверей на фермах,01.49.2,2022.0,1.0
Разведение кроликов и прочих пушных зверей на фермах,01.49.2,2023.0,1.0
Разведение кроликов и прочих пушных зверей на фермах,01.49.2,2024.0,1.0
"Разведение кроликов, производство тонкого волоса кроликов на фермах",01.49.21,2021.0,
"Разведение кроликов, производство тонкого волоса кроликов на фермах",01.49.21,2022.0,
"Разведение кроликов, производство тонкого волоса кроликов на фермах",01.49.21,2023.0,
"Разведение кроликов, производство тонкого волоса кроликов на фермах",01.49.21,2024.0,
Разведение прочих пушных зверей на фермах,01.49.22,2021.0,1.0
Разведение прочих пушных зверей на фермах,01.49.22,2022.0,1.0
Разведение прочих пушных зверей на фермах,01.49.22,2023.0,1.0
Разведение прочих пушных зверей на фермах,01.49.22,2024.0,1.0
Разведение шелкопряда,01.49.3,2021.0,
Разведение шелкопряда,01.49.3,2022.0,
Разведение шелкопряда,01.49.3,2024.0,
Разведение оленей,01.49.4,2021.0,1.0
Разведение оленей,01.49.4,2022.0,1.0
Разведение оленей,01.49.4,2023.0,0.9824561403508771
Разведение оленей,01.49.4,2024.0,0.9137931034482759
Разведение домашних северных оленей,01.49.41,2021.0,1.0
Разведение домашних северных оленей,01.49.41,2022.0,1.0
Разведение домашних северных оленей,01.49.41,2023.0,0.967741935483871
Разведение домашних северных оленей,01.49.41,2024.0,0.9714285714285714
"Разведение благородных оленей (европейских, кавказских, маралов, изюбрей)",01.49.43,2021.0,1.0
"Разведение благородных оленей (европейских, кавказских, маралов, изюбрей)",01.49.43,2022.0,1.0
"Разведение благородных оленей (европейских, кавказских, маралов, изюбрей)",01.49.43,2023.0,1.0
"Разведение благородных оленей (европейских, кавказских, маралов, изюбрей)",01.49.43,2024.0,1.0
"Производство пантов северных оленей, пятнистых оленей, благородных оленей (европейских, кавказских, маралов, изюбрей), ланей",01.49.44,2021.0,1.0
"Производство пантов северных оленей, пятнистых оленей, благородных оленей (европейских, кавказских, маралов, изюбрей), ланей",01.49.44,2022.0,1.0
"Производство пантов северных оленей, пятнистых оленей, благородных оленей (европейских, кавказских, маралов, изюбрей), ланей",01.49.44,2023.0,1.0
Разведение домашних животных,01.49.5,2021.0,
Разведение домашних животных,01.49.5,2022.0,1.0
Разведение домашних животных,01.49.5,2023.0,
Разведение домашних животных,01.49.5,2024.0,
Разведение лабораторных животных,01.49.6,2021.0,1.0
